#  file: fmRawProjectAuthors2010-May.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in May of 2010
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT fp.project_id, fp.projectname_short, fpa.author_name, fpa.author_role 
#  FROM `fm_project_authors` fpa, fm_projects fp 
#  WHERE fp.datasource_id=218
#  AND fpa.datasource_id=218
#  AND fpa.project_id = fp.project_id
#  ORDER BY fp.project_id
#
#  datasource_id = 218 is the May 2010 run on freshmeat.
project_id	projectname_short	author_name	author_role
2	0verkill\n    	Petr Kulhavy	Owner
6	1394-baseddigitalcameracontrollibrary\n    	Gord Peters	Owner
8	spatializer-x11-reference\n    	timecop	Owner
13	3d\n    	imipak	Owner
14	3dfile\n    	mircea	Owner
20	3dsiaprototype\n    	xandi	Owner
26	4p\n    	Jerronimo	Owner
27	4suite\n    	uche	Owner
27	4suite\n    	Mike Brown	Owner
30	5dtdataglovedriver\n    	Martin Oellermann	Owner
38	phatcat\n    	Dustin Grau	Owner
40	ah-tty\n    	Randy Maas	Owner
48	aafid2\n    	ZZamboni	Owner
53	abacus4\n    	FrankMcN	Owner
54	abcde\n    	Jesus Climent	Developer
54	abcde\n    	Robert Woodcock	Creator
55	abclock\n    	Peter Kleiweg	Owner
56	abiword\n    	Dom Lachowicz	Owner
56	abiword\n    	hippietrail	Contributor
56	abiword\n    	Hub	Contributor
56	abiword\n    	uwog	Contributor
58	abook\n    	JH	Owner
63	abyss\n    	Moez Mahfoudh	Owner
64	ac3d\n    	Inivis	Owner
66	acalc\n    	googleman	Owner
69	accurev\n    	AccuRev Inc.	Owner
80	ace\n    	Douglas C. Schmidt	Owner
81	acecad\n    	Edouard TISSERANT	Owner
82	achievo\n    	Sandy Pleyte	Owner
83	achilles\n    	emu	Owner
86	acidim\n    	Leandro Pereira	Owner
87	acmemail\n    	acme	Owner
87	acmemail\n    	Wim Kerkhoff	New admin
88	acpmodem\n    	IBM Linux Technology Center	Owner
93	acrotsr\n    	kapheine	Owner
95	actionpoll\n    	Robert Ladstaetter	Owner
98	activeperl\n    	Activator	Owner
99	activepython\n    	Activator	Owner
102	adacgi\n    	David A. Wheeler	Owner
108	addluser\n    	Joe Little	Owner
109	addns_pl\n    	David Hasson	Owner
114	adept\n    	Mikael Ulfenborg	Owner
116	adflib\n    	Laurent Clevy	Owner
122	adodb\n    	John Lim	Owner
123	adonthell\n    	Alexandre Courbot	Right Hand
123	adonthell\n    	Kai Sterker	Owner
130	advancedbashscriptingguide\n    	M. Leo Cooper	Owner
133	atftp\n    	Remi Lefebvre	Owner
136	aee\n    	hmahon	Owner
137	aegis\n    	Peter Miller	Owner
139	aescrypt\n    	Eric Lee Green	Owner
140	aewm\n    	Decklin Foster	Owner
141	afbackup\n    	Jalon Q. Zimmerman	Owner
142	afd\n    	Holger Kiehl	Owner
143	aqotdd\n    	Afghan Hound	Owner
144	afio\n    	Koen Holtman	Owner
145	afk\n    	Dave O Connor	Owner
146	ghostscript\n    	Raph Levien	Owner
148	aft\n    	Maroc	Owner
150	afterstep\n    	born2late	Documentation & Website
150	afterstep\n    	Sasha Vasko	Owner
150	afterstep\n    	Vaevictus	PR+ release manager
155	aglaophone\n    	Steve Holland	Owner
157	agnesbbs\n    	dB.	Owner
