#  file: fmRawProjectLicense2010-May.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT project_id, projectname_short, license
#  FROM fm_projects
#  WHERE datasource_id=218
#  ORDER BY project_id
#
#  datasource_id = 218 is the 2010-May run on freshmeat.
project_id	projectname_short	license
2	0verkill\n    	GPL\n    
6	1394-baseddigitalcameracontrollibrary\n    	LGPL\n    
8	spatializer-x11-reference\n    	GPL\n    
13	3d\n    	\n    
14	3dfile\n    	GPL\n    
16	3dom\n    	GPL\n    
17	3dplanetary\n    	\n    
20	3dsiaprototype\n    	GPL\n    
25	4inarow\n    	GPL\n    
26	4p\n    	LGPL\n    
27	4suite\n    	Apache\n    
30	5dtdataglovedriver\n    	\n    
38	phatcat\n    	GPL\n    
39	atmail\n    	\n    
40	ah-tty\n    	GPL\n    
41	asse\n    	GPL\n    
43	a_l_i_c_e_andaiml\n    	GPL\n    
45	a2ps\n    	GPL\n    
46	a3com\n    	GPL\n    
48	aafid2\n    	\n    
53	abacus4\n    	Other\n    
54	abcde\n    	Artistic\n    
55	abclock\n    	GPL\n    
56	abiword\n    	GPL\n    
57	able\n    	\n    
58	abook\n    	GPL\n    
63	abyss\n    	BSD Original\n    
64	ac3d\n    	Shareware\n    
66	acalc\n    	GPL\n    
69	accurev\n    	\n    
78	acdk_tcl\n    	QPL\n    
80	ace\n    	\n    
81	acecad\n    	GPL\n    
82	achievo\n    	GPL\n    
83	achilles\n    	GPL\n    
86	acidim\n    	GPL\n    
87	acmemail\n    	Artistic\n    
88	acpmodem\n    	GPL\n    
92	acrobatreader\n    	\n    
93	acrotsr\n    	GPL\n    
95	actionpoll\n    	GPL\n    
98	activeperl\n    	\n    
99	activepython\n    	\n    
102	adacgi\n    	LGPL\n    
105	adaptiveserverenterprise\n    	\n    
106	addbib\n    	Public Domain\n    
108	addluser\n    	Public Domain\n    
109	addns_pl\n    	BSD Original\n    
110	addpsx\n    	GPL\n    
114	adept\n    	GPL\n    
115	adevs\n    	LGPL\n    
116	adflib\n    	GPL\n    
118	adjtimex\n    	GPL\n    
120	admuserforsquid\n    	GPL\n    
121	adns\n    	GPL\n    
122	adodb\n    	LGPL\n    
123	adonthell\n    	GPL\n    
124	adora\n    	GPL\n    
127	adsl_sh\n    	GPL\n    
128	adsmclient\n    	Other\n    
129	aduvizor\n    	\n    
130	advancedbashscriptingguide\n    	FDL\n    
133	atftp\n    	GPL\n    
136	aee\n    	Artistic\n    
137	aegis\n    	GPL\n    
139	aescrypt\n    	BSD Original\n    
140	aewm\n    	MIT/X\n    
141	afbackup\n    	GPL\n    
142	afd\n    	GPL\n    
143	aqotdd\n    	GPL\n    
144	afio\n    	\n    
145	afk\n    	Artistic\n    
146	ghostscript\n    	AFPL\n    
148	aft\n    	Artistic\n    
150	afterstep\n    	GPL\n    
155	aglaophone\n    	GPL\n    
157	agnesbbs\n    	\n    
158	agnostos\n    	GPL\n    
159	agora\n    	GPL\n    
160	agt\n    	BSD Original\n    
164	aide\n    	GPL\n    
166	aime\n    	GPL\n    
167	imirc\n    	GPL\n    
168	aips\n    	GPL\n    
170	airtraffic\n    	GPL\n    
171	aixjdk\n    	\n    
173	interchange\n    	GPL\n    
178	alamingsmsmsgateway\n    	GPL\n    
179	alarmapplet\n    	GPL\n    
181	album\n    	Freeware\n    
184	alephone\n    	GPL\n    
189	alfalinux\n    	GPL\n    
191	algorithmdiff\n    	Artistic\n    
192	aliases2cdbm\n    	GPL\n    
194	alien\n    	GPL\n    
196	align\n    	GPL\n    
199	alkalineunixntsearchengine\n    	\n    
200	allcommerce\n    	GPL\n    
201	allegro\n    	Freeware\n    
208	alma\n    	GPL\n    
212	alsadriver\n    	GPL\n    
213	alsaplayer\n    	GPL\n    
214	altconnect\n    	Shareware\n    
217	alteredsaver\n    	Shareware\n    
218	althea\n    	GPL\n    
219	alzabo\n    	\n    
220	am-utils\n    	BSD Original\n    
221	amacdys\n    	\n    
