#  file: fmRawProjectStats2010-May.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT project_id, projectname_short, vitality_score, vitality_percent, 
#  vitality_rank, popularity_score, popularity_percent, popularity_rank, rating, 
#  rating_count, rating_rank, subscriptions
#  FROM `fm_projects`
#  WHERE datasource_id=218
#  ORDER BY project_id
#
#  datasource_id = 218 is the 2010-May run on freshmeat.
project_id	projectname_short	vitality_score	vitality_percent	vitality_rank	popularity_score	popularity_percent	popularity_rank	rating	rating_count	rating_rank	subscriptions
2	0verkill\n    	3.42\n    	NULL	NULL	308.98\n    	NULL	NULL	9\n    	13\n    	NULL	20\n    
6	1394-baseddigitalcameracontrollibrary\n    	1.85\n    	NULL	NULL	286.58\n    	NULL	NULL	0\n    	0\n    	NULL	16\n    
8	spatializer-x11-reference\n    	1.0\n    	NULL	NULL	61.85\n    	NULL	NULL	0\n    	1\n    	NULL	1\n    
13	3d\n    	34.32\n    	NULL	NULL	182.18\n    	NULL	NULL	3\n    	3\n    	NULL	22\n    
14	3dfile\n    	2.96\n    	NULL	NULL	210.53\n    	NULL	NULL	3\n    	5\n    	NULL	13\n    
16	3dom\n    	2.43\n    	NULL	NULL	101.41\n    	NULL	NULL	2\n    	2\n    	NULL	3\n    
17	3dplanetary\n    	1.0\n    	NULL	NULL	106.86\n    	NULL	NULL	7\n    	7\n    	NULL	9\n    
20	3dsiaprototype\n    	1.0\n    	NULL	NULL	61.29\n    	NULL	NULL	1\n    	2\n    	NULL	1\n    
25	4inarow\n    	1.0\n    	NULL	NULL	53.54\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
26	4p\n    	3.01\n    	NULL	NULL	92.74\n    	NULL	NULL	1\n    	1\n    	NULL	3\n    
27	4suite\n    	4.12\n    	NULL	NULL	364.42\n    	NULL	NULL	3\n    	3\n    	NULL	27\n    
30	5dtdataglovedriver\n    	1.49\n    	NULL	NULL	78.4\n    	NULL	NULL	1\n    	1\n    	NULL	2\n    
38	phatcat\n    	0.0\n    	NULL	NULL	86.14\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
39	atmail\n    	103.24\n    	NULL	NULL	580.68\n    	NULL	NULL	9\n    	21\n    	NULL	58\n    
40	ah-tty\n    	1.74\n    	NULL	NULL	160.25\n    	NULL	NULL	0\n    	0\n    	NULL	5\n    
41	asse\n    	0.0\n    	NULL	NULL	71.55\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
43	a_l_i_c_e_andaiml\n    	0.0\n    	NULL	NULL	82.49\n    	NULL	NULL	1\n    	2\n    	NULL	5\n    
45	a2ps\n    	2.75\n    	NULL	NULL	261.06\n    	NULL	NULL	7\n    	7\n    	NULL	49\n    
46	a3com\n    	1.0\n    	NULL	NULL	58.4\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
48	aafid2\n    	1.0\n    	NULL	NULL	34.57\n    	NULL	NULL	0\n    	1\n    	NULL	0\n    
53	abacus4\n    	1.46\n    	NULL	NULL	50.28\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
54	abcde\n    	7.77\n    	NULL	NULL	551.03\n    	NULL	NULL	17\n    	17\n    	NULL	86\n    
55	abclock\n    	1.73\n    	NULL	NULL	89.22\n    	NULL	NULL	2\n    	2\n    	NULL	4\n    
56	abiword\n    	13.09\n    	NULL	NULL	782.65\n    	NULL	NULL	36\n    	39\n    	NULL	218\n    
57	able\n    	0.0\n    	NULL	NULL	73.42\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
58	abook\n    	106.18\n    	NULL	NULL	407.43\n    	NULL	NULL	6\n    	6\n    	NULL	49\n    
63	abyss\n    	1.43\n    	NULL	NULL	126.76\n    	NULL	NULL	3\n    	4\n    	NULL	5\n    
64	ac3d\n    	13.11\n    	NULL	NULL	313.88\n    	NULL	NULL	3\n    	3\n    	NULL	30\n    
66	acalc\n    	1.43\n    	NULL	NULL	50.12\n    	NULL	NULL	0\n    	2\n    	NULL	1\n    
69	accurev\n    	8.75\n    	NULL	NULL	202.62\n    	NULL	NULL	3\n    	4\n    	NULL	15\n    
78	acdk_tcl\n    	1.55\n    	NULL	NULL	77.77\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
80	ace\n    	91.27\n    	NULL	NULL	463.54\n    	NULL	NULL	6\n    	10\n    	NULL	68\n    
81	acecad\n    	2.13\n    	NULL	NULL	32.85\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
82	achievo\n    	36.47\n    	NULL	NULL	967.18\n    	NULL	NULL	9\n    	11\n    	NULL	136\n    
83	achilles\n    	1.83\n    	NULL	NULL	95.6\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
86	acidim\n    	1.0\n    	NULL	NULL	43.28\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
87	acmemail\n    	4.32\n    	NULL	NULL	235.95\n    	NULL	NULL	1\n    	2\n    	NULL	8\n    
88	acpmodem\n    	4.1\n    	NULL	NULL	128.75\n    	NULL	NULL	0\n    	0\n    	NULL	10\n    
92	acrobatreader\n    	77.07\n    	NULL	NULL	1052.35\n    	NULL	NULL	9\n    	17\n    	NULL	220\n    
93	acrotsr\n    	1.0\n    	NULL	NULL	59.6\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
95	actionpoll\n    	1.8\n    	NULL	NULL	126.21\n    	NULL	NULL	1\n    	2\n    	NULL	5\n    
98	activeperl\n    	4.66\n    	NULL	NULL	183.1\n    	NULL	NULL	0\n    	0\n    	NULL	24\n    
99	activepython\n    	23.65\n    	NULL	NULL	176.47\n    	NULL	NULL	2\n    	2\n    	NULL	11\n    
102	adacgi\n    	1.53\n    	NULL	NULL	97.41\n    	NULL	NULL	-1\n    	1\n    	NULL	3\n    
105	adaptiveserverenterprise\n    	1.0\n    	NULL	NULL	81.58\n    	NULL	NULL	1\n    	1\n    	NULL	7\n    
106	addbib\n    	0.0\n    	NULL	NULL	27.04\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
108	addluser\n    	2.26\n    	NULL	NULL	94.55\n    	NULL	NULL	0\n    	1\n    	NULL	5\n    
109	addns_pl\n    	4.62\n    	NULL	NULL	194.16\n    	NULL	NULL	2\n    	2\n    	NULL	19\n    
110	addpsx\n    	0.0\n    	NULL	NULL	41.57\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
114	adept\n    	2.43\n    	NULL	NULL	139.59\n    	NULL	NULL	1\n    	3\n    	NULL	4\n    
115	adevs\n    	47.77\n    	NULL	NULL	236.19\n    	NULL	NULL	2\n    	2\n    	NULL	18\n    
116	adflib\n    	0.0\n    	NULL	NULL	69.05\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
118	adjtimex\n    	1.0\n    	NULL	NULL	63.91\n    	NULL	NULL	0\n    	0\n    	NULL	4\n    
120	admuserforsquid\n    	0.0\n    	NULL	NULL	91.89\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
121	adns\n    	2.86\n    	NULL	NULL	138.85\n    	NULL	NULL	4\n    	5\n    	NULL	17\n    
122	adodb\n    	11.94\n    	NULL	NULL	917.98\n    	NULL	NULL	31\n    	35\n    	NULL	265\n    
123	adonthell\n    	10.78\n    	NULL	NULL	516.66\n    	NULL	NULL	9\n    	10\n    	NULL	60\n    
124	adora\n    	2.05\n    	NULL	NULL	64.11\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
127	adsl_sh\n    	2.04\n    	NULL	NULL	41.69\n    	NULL	NULL	1\n    	1\n    	NULL	1\n    
128	adsmclient\n    	2.49\n    	NULL	NULL	67.88\n    	NULL	NULL	0\n    	1\n    	NULL	3\n    
129	aduvizor\n    	1.42\n    	NULL	NULL	58.28\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
130	advancedbashscriptingguide\n    	58.85\n    	NULL	NULL	2344.71\n    	NULL	NULL	35\n    	38\n    	NULL	569\n    
133	atftp\n    	3.56\n    	NULL	NULL	355.18\n    	NULL	NULL	5\n    	5\n    	NULL	29\n    
136	aee\n    	2.23\n    	NULL	NULL	66.15\n    	NULL	NULL	1\n    	1\n    	NULL	3\n    
137	aegis\n    	14.46\n    	NULL	NULL	360.29\n    	NULL	NULL	6\n    	6\n    	NULL	67\n    
139	aescrypt\n    	1.77\n    	NULL	NULL	101.62\n    	NULL	NULL	0\n    	0\n    	NULL	5\n    
140	aewm\n    	9.29\n    	NULL	NULL	128.31\n    	NULL	NULL	3\n    	5\n    	NULL	11\n    
141	afbackup\n    	5.78\n    	NULL	NULL	244.85\n    	NULL	NULL	2\n    	3\n    	NULL	23\n    
142	afd\n    	50.57\n    	NULL	NULL	477.93\n    	NULL	NULL	3\n    	3\n    	NULL	54\n    
143	aqotdd\n    	1.42\n    	NULL	NULL	68.93\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
144	afio\n    	2.5\n    	NULL	NULL	369.5\n    	NULL	NULL	6\n    	6\n    	NULL	43\n    
145	afk\n    	1.0\n    	NULL	NULL	47.62\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
146	ghostscript\n    	46.99\n    	NULL	NULL	1034.98\n    	NULL	NULL	6\n    	7\n    	NULL	158\n    
148	aft\n    	16.26\n    	NULL	NULL	253.27\n    	NULL	NULL	2\n    	2\n    	NULL	37\n    
150	afterstep\n    	27.43\n    	NULL	NULL	466.71\n    	NULL	NULL	13\n    	13\n    	NULL	75\n    
155	aglaophone\n    	2.62\n    	NULL	NULL	140.12\n    	NULL	NULL	1\n    	3\n    	NULL	14\n    
157	agnesbbs\n    	1.0\n    	NULL	NULL	166.23\n    	NULL	NULL	0\n    	1\n    	NULL	7\n    
158	agnostos\n    	1.43\n    	NULL	NULL	59.3\n    	NULL	NULL	2\n    	2\n    	NULL	5\n    
159	agora\n    	0.0\n    	NULL	NULL	65.71\n    	NULL	NULL	1\n    	1\n    	NULL	1\n    
160	agt\n    	4.68\n    	NULL	NULL	230.02\n    	NULL	NULL	3\n    	6\n    	NULL	36\n    
