#  file: fmTroveDefs2010-May.txt
#  package: fmProjectInfo
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT *
#  FROM fm_trove_defs
#  WHERE datasource_id=81
#  ORDER BY trove_id
#
#  datasource_id = 81 is the latest trove defs that we have
trove_id	root	parent	name	datasource_id
1	0	0	Intended Audience	81
2	1	1	Intended Audience :: End Users/Desktop	81
3	1	1	Intended Audience :: Developers	81
4	1	1	Intended Audience :: System Administrators	81
5	1	1	Intended Audience :: Other Audience	81
6	0	0	Development Status	81
7	6	6	Development Status :: 1 - Planning (disabled category)	81
8	6	6	Development Status :: 2 - Pre-Alpha	81
9	6	6	Development Status :: 3 - Alpha	81
10	6	6	Development Status :: 4 - Beta	81
11	6	6	Development Status :: 5 - Production/Stable	81
12	6	6	Development Status :: 6 - Mature	81
13	0	0	License	81
14	13	13	License :: OSI Approved	81
15	13	14	License :: OSI Approved :: GNU General Public License (GPL)	81
16	13	14	License :: OSI Approved :: GNU Lesser General Public License (LGPL)	81
17	13	14	License :: OSI Approved :: Artistic License	81
18	0	0	Topic	81
19	18	136	Topic :: System :: Archiving	81
20	18	18	Topic :: Communications	81
21	18	20	Topic :: Communications :: BBS	81
22	18	20	Topic :: Communications :: Chat	81
23	18	22	Topic :: Communications :: Chat :: ICQ	81
24	18	22	Topic :: Communications :: Chat :: Internet Relay Chat	81
25	18	22	Topic :: Communications :: Chat :: Unix Talk	81
26	18	22	Topic :: Communications :: Chat :: AOL Instant Messenger	81
27	18	20	Topic :: Communications :: Conferencing	81
28	18	20	Topic :: Communications :: Email	81
29	18	28	Topic :: Communications :: Email :: Filters	81
30	18	28	Topic :: Communications :: Email :: Mailing List Servers	81
31	18	28	Topic :: Communications :: Email :: Email Clients (MUA)	81
32	18	28	Topic :: Communications :: Email :: Mail Transport Agents	81
33	18	28	Topic :: Communications :: Email :: Post-Office	81
34	18	33	Topic :: Communications :: Email :: Post-Office :: POP3	81
35	18	33	Topic :: Communications :: Email :: Post-Office :: IMAP	81
36	18	20	Topic :: Communications :: Fax	81
37	18	20	Topic :: Communications :: FIDO	81
38	18	20	Topic :: Communications :: Ham Radio	81
39	18	20	Topic :: Communications :: Usenet News	81
40	18	20	Topic :: Communications :: Internet Phone	81
41	18	19	Topic :: System :: Archiving :: Packaging	81
42	18	19	Topic :: System :: Archiving :: Compression	81
43	18	18	Topic :: Security	81
44	18	43	Topic :: Security :: Cryptography	81
45	18	18	Topic :: Software Development	81
46	18	45	Topic :: Software Development :: Build Tools	81
47	18	45	Topic :: Software Development :: Debuggers	81
48	18	45	Topic :: Software Development :: Compilers	81
49	18	45	Topic :: Software Development :: Interpreters	81
50	18	45	Topic :: Software Development :: Object Brokering	81
51	18	50	Topic :: Software Development :: Object Brokering :: CORBA	81
52	18	45	Topic :: Software Development :: Version Control	81
53	18	52	Topic :: Software Development :: Version Control :: CVS	81
54	18	52	Topic :: Software Development :: Version Control :: RCS	81
55	18	18	Topic :: Desktop Environment	81
56	18	55	Topic :: Desktop Environment :: Window Managers	81
57	18	55	Topic :: Desktop Environment :: K Desktop Environment (KDE)	81
58	18	55	Topic :: Desktop Environment :: Gnome	81
59	18	56	Topic :: Desktop Environment :: Window Managers :: Enlightenment	81
60	18	59	Topic :: Desktop Environment :: Window Managers :: Enlightenment :: Themes DR16	81
61	18	57	Topic :: Desktop Environment :: K Desktop Environment (KDE) :: Themes KDE 1.x	81
62	18	55	Topic :: Desktop Environment :: Screen Savers	81
63	18	18	Topic :: Text Editors	81
64	18	63	Topic :: Text Editors :: Emacs	81
65	18	63	Topic :: Text Editors :: Integrated Development Environments (IDE)	81
66	18	18	Topic :: Database	81
67	18	66	Topic :: Database :: Database Engines/Servers	81
68	18	66	Topic :: Database :: Front-Ends	81
69	18	63	Topic :: Text Editors :: Documentation	81
70	18	63	Topic :: Text Editors :: Word Processors	81
71	18	18	Topic :: Education	81
72	18	71	Topic :: Education :: Computer Aided Instruction (CAI)	81
73	18	71	Topic :: Education :: Testing	81
74	18	136	Topic :: System :: Emulators	81
75	18	129	Topic :: Office/Business :: Financial	81
76	18	75	Topic :: Office/Business :: Financial :: Accounting	81
77	18	75	Topic :: Office/Business :: Financial :: Investment	81
78	18	75	Topic :: Office/Business :: Financial :: Spreadsheet	81
79	18	75	Topic :: Office/Business :: Financial :: Point-Of-Sale	81
80	18	18	Topic :: Games/Entertainment	81
81	18	80	Topic :: Games/Entertainment :: Real Time Strategy	81
82	18	80	Topic :: Games/Entertainment :: First Person Shooters	81
83	18	80	Topic :: Games/Entertainment :: Turn Based Strategy	81
84	18	80	Topic :: Games/Entertainment :: Role-Playing	81
85	18	80	Topic :: Games/Entertainment :: Simulation	81
86	18	80	Topic :: Games/Entertainment :: Multi-User Dungeons (MUD)	81
87	18	18	Topic :: Internet	81
88	18	87	Topic :: Internet :: Finger	81
89	18	87	Topic :: Internet :: File Transfer Protocol (FTP)	81
90	18	87	Topic :: Internet :: WWW/HTTP	81
91	18	90	Topic :: Internet :: WWW/HTTP :: Browsers	81
92	18	90	Topic :: Internet :: WWW/HTTP :: Dynamic Content	81
93	18	90	Topic :: Internet :: WWW/HTTP :: Indexing/Search	81
94	18	92	Topic :: Internet :: WWW/HTTP :: Dynamic Content :: Page Counters	81
95	18	92	Topic :: Internet :: WWW/HTTP :: Dynamic Content :: Message Boards	81
96	18	92	Topic :: Internet :: WWW/HTTP :: Dynamic Content :: CGI Tools/Libraries	81
97	18	18	Topic :: Scientific/Engineering	81
98	18	97	Topic :: Scientific/Engineering :: Mathematics	81
99	18	18	Topic :: Multimedia	81
100	18	99	Topic :: Multimedia :: Graphics	81
101	18	100	Topic :: Multimedia :: Graphics :: Capture	81
102	18	101	Topic :: Multimedia :: Graphics :: Capture :: Scanners	81
103	18	101	Topic :: Multimedia :: Graphics :: Capture :: Digital Camera	81
104	18	101	Topic :: Multimedia :: Graphics :: Capture :: Screen Capture	81
105	18	100	Topic :: Multimedia :: Graphics :: Graphics Conversion	81
106	18	100	Topic :: Multimedia :: Graphics :: Editors	81
107	18	106	Topic :: Multimedia :: Graphics :: Editors :: Vector-Based	81
108	18	106	Topic :: Multimedia :: Graphics :: Editors :: Raster-Based	81
109	18	100	Topic :: Multimedia :: Graphics :: 3D Modeling	81
110	18	100	Topic :: Multimedia :: Graphics :: 3D Rendering	81
111	18	100	Topic :: Multimedia :: Graphics :: Presentation	81
112	18	100	Topic :: Multimedia :: Graphics :: Viewers	81
113	18	99	Topic :: Multimedia :: Sound/Audio	81
114	18	113	Topic :: Multimedia :: Sound/Audio :: Analysis	81
115	18	113	Topic :: Multimedia :: Sound/Audio :: Capture/Recording	81
116	18	113	Topic :: Multimedia :: Sound/Audio :: CD Audio	81
117	18	116	Topic :: Multimedia :: Sound/Audio :: CD Audio :: CD Playing	81
118	18	116	Topic :: Multimedia :: Sound/Audio :: CD Audio :: CD Ripping	81
119	18	113	Topic :: Multimedia :: Sound/Audio :: Conversion	81
120	18	113	Topic :: Multimedia :: Sound/Audio :: Editors	81
121	18	113	Topic :: Multimedia :: Sound/Audio :: Mixers	81
122	18	113	Topic :: Multimedia :: Sound/Audio :: Players	81
123	18	122	Topic :: Multimedia :: Sound/Audio :: Players :: MP3	81
124	18	113	Topic :: Multimedia :: Sound/Audio :: Speech	81
125	18	99	Topic :: Multimedia :: Video	81
126	18	125	Topic :: Multimedia :: Video :: Capture	81
127	18	125	Topic :: Multimedia :: Video :: Conversion	81
128	18	125	Topic :: Multimedia :: Video :: Display	81
129	18	18	Topic :: Office/Business	81
130	18	129	Topic :: Office/Business :: Scheduling	81
131	18	129	Topic :: Office/Business :: Office Suites	81
132	18	18	Topic :: Religion	81
133	18	97	Topic :: Scientific/Engineering :: Artificial Intelligence	81
134	18	97	Topic :: Scientific/Engineering :: Astronomy	81
135	18	97	Topic :: Scientific/Engineering :: Visualization	81
136	18	18	Topic :: System	81
137	18	19	Topic :: System :: Archiving :: Backup	81
138	18	136	Topic :: System :: Benchmark	81
139	18	136	Topic :: System :: Boot	81
140	18	139	Topic :: System :: Boot :: Init	81
141	18	136	Topic :: System :: Clustering/Distributed Networks	81
142	18	136	Topic :: System :: Filesystems	81
143	18	144	Topic :: System :: Operating System Kernels :: Linux	81
144	18	136	Topic :: System :: Operating System Kernels	81
145	18	144	Topic :: System :: Operating System Kernels :: BSD	81
146	18	136	Topic :: System :: Hardware	81
147	18	136	Topic :: System :: Installation/Setup	81
148	18	136	Topic :: System :: Logging	81
149	18	87	Topic :: Internet :: Name Service (DNS)	81
150	18	136	Topic :: System :: Networking	81
151	18	150	Topic :: System :: Networking :: Firewalls	81
152	18	150	Topic :: System :: Networking :: Monitoring	81
153	18	136	Topic :: System :: Power (UPS)	81
154	18	18	Topic :: Printing	81
155	18	152	Topic :: System :: Networking :: Monitoring :: Hardware Watchdog	81
156	18	18	Topic :: Terminals	81
157	18	156	Topic :: Terminals :: Serial	81
158	18	156	Topic :: Terminals :: Terminal Emulators/X Terminals	81
159	18	156	Topic :: Terminals :: Telnet	81
160	0	0	Programming Language	81
161	160	160	Programming Language :: APL	81
162	160	160	Programming Language :: Assembly	81
163	160	160	Programming Language :: Ada	81
164	160	160	Programming Language :: C	81
165	160	160	Programming Language :: C++	81
166	160	160	Programming Language :: Eiffel	81
167	160	160	Programming Language :: Euler	81
168	160	160	Programming Language :: Forth	81
169	160	160	Programming Language :: Fortran	81
170	160	160	Programming Language :: Lisp	81
171	160	160	Programming Language :: Logo	81
172	160	160	Programming Language :: ML	81
173	160	160	Programming Language :: Modula	81
174	160	160	Programming Language :: Objective C	81
175	160	160	Programming Language :: Pascal	81
176	160	160	Programming Language :: Perl	81
177	160	160	Programming Language :: Prolog	81
178	160	160	Programming Language :: Python	81
179	160	160	Programming Language :: Rexx	81
180	160	160	Programming Language :: Simula	81
181	160	160	Programming Language :: Smalltalk	81
182	160	160	Programming Language :: Tcl	81
183	160	160	Programming Language :: PHP	81
184	160	160	Programming Language :: ASP	81
185	160	160	Programming Language :: Unix Shell	81
186	160	160	Programming Language :: Visual Basic	81
187	13	14	License :: OSI Approved :: BSD License (original)	81
188	13	14	License :: OSI Approved :: MIT/X Consortium License	81
189	13	14	License :: OSI Approved :: Mozilla Public License (MPL)	81
190	13	14	License :: OSI Approved :: Q Public License (QPL)	81
191	13	14	License :: OSI Approved :: IBM Public License	81
192	13	14	License :: OSI Approved :: MITRE Collaborative Virtual Workspace License (CVW)	81
193	13	14	License :: OSI Approved :: Ricoh Source Code Public License	81
194	13	14	License :: OSI Approved :: Python License	81
195	13	14	License :: OSI Approved :: zlib/libpng License	81
196	13	13	License :: Other/Proprietary License	81
197	13	13	License :: Public Domain	81
198	160	160	Programming Language :: Java	81
199	0	0	Operating System	81
200	199	199	Operating System :: POSIX	81
201	199	200	Operating System :: POSIX :: Linux	81
202	199	200	Operating System :: POSIX :: BSD	81
203	199	202	Operating System :: POSIX :: BSD :: FreeBSD	81
204	199	202	Operating System :: POSIX :: BSD :: NetBSD	81
