#  file: fsfProjectInfo2010-May.txt
#  package: fsfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of Free Software 
#  Foundation project information generated from the list of projects gathered 
#  in 2010-May
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#  
#  SELECT proj_num, proj_unixname, date_collected, datasource_id, url, real_url, desc_short, desc_long, user_level 
#  FROM fsf_projects 
#  WHERE datasource_id=221 
#  ORDER BY proj_num
#
#  datasource_id = 221 is the 2010-May collection from FSF.
proj_num	proj_unixname	date_collected	datasource_id	url	real_url	desc_short	desc_long	user_level
2	zynaddsubfx	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zynaddsubfx	http://zynaddsubfx.sourceforge.net/	Free implementation of a sound synthesizer	ZynAddSubFX is a free software implementation of a\nsoftware synthesizer. It can imitate countless numbers of instruments,\nfrom some commonly heard from expensive hardware to interesting sounds\nthat you'll boost to an amazing universe of sounds.\n	
3	zthread	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zthread	http://zthread.sourceforge.net/	Object-oriented threading and synchronization library	ZThread is an advanced object-oriented threading\nand synchronization library, implemented in C++. It provides an\nexcellent and powerful abstraction from native threads. It includes\ninterruptable thread objects and several other synchronization control\nobjects and lets you safely terminate threads without the complications\nof using cancellation handlers or other similar constructs.\n	
4	zsh	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zsh	http://www.zsh.org/	Shell resembling the Korn shell	'Zsh' is a *NIX command interpreter (shell) which\nof all the standard shells most resembles the Korn shell (ksh). It\nincludes enhancements of many types, notably in the command-line\neditor, options for customising its behaviour, filename globbing,\nfeatures to make C-shell (csh) users feel more at home and extra\nfeatures drawn from tcsh.\n	
5	zorp	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zorp	http://www.balabit.com/products/zorp_gpl/	Proxy firewall suite	Zorp is a proxy firewall suite. Its core framework\nallows the administrator to finetune proxy decisions (with its\nbuilt-in script language), and fully analyze complex protocols\n(including SSH with several forwarded TCP connections, or SSL with an\nembedded POP3 protocol). FTP, HTTP, finger, whois, and SSL protocols\nare fully supported with an application-level gateway. Zorp aims for\ncompliance with Common Criteria/Application-level Firewall Protection\nProfile for Medium Robustness Enviroment.\n	
6	zope	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zope	http://www.zope.org/	Web application server	Zope is a web application platform used for\nbuilding high-performance, dynamic web sites. It contains a powerful\nand simple scripting object model and high-performance, integrated\nobject database.\n	
7	zoidberg	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zoidberg	http://zoidberg.student.utwente.nl/	Shell written, configured, and operated entirely in Perl	A modular Perl shell written, configured, and\noperated entirely in Perl. It aspires to be a fully operational login\nshell with all the features one normally expects. But it also gives\ndirect access to Perl objects and data structures from the command\nline, and allows you to run Perl code within the scope of your command\nline.\n	
8	zoem	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zoem	http://micans.org/zoem/	General purpose macro language	Zoem is a general purpose macro/programming\nlanguage. It supports inside-out evaluation, dictionary stacks,\narithmetic evaluation, iteration, regular expressions,\nmultidimensional data storage, comprehensive IO, control operators,\nsystem commands, and more.\n\n<P>One specific use is its support for creating small mark-up\nlanguages that map to+different devices. It has character filtering\ncapabilities tailored to this application. Two such languages come\npackaged with zoem; one for creating manual pages that can be output\neither in troff or in cross-linked HTML, the other for creating FAQs\nagain in either troff or HTML output.\n	
9	zmixer	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zmixer	http://zwin.org/projects/zmixer/	Simple volume control	'zmixer' is a volume control that tries to be\nminimalistic yet useful. It uses the Advanced Linux Sound Architecture\n(ALSA) interface.\n	
10	zlib	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zlib	http://www.gzip.org/zlib/	Data compression library	A free, lossless data compression lib for use on\nvirtually any computer hardware and operating system. The zlib data\nformat is itself portable across platforms. The compression method\ncurrently used in zlib never expands the data. Zlib's memory footprint\nis also independent of the input data by more than a few bytes and can\nbe reduced (at some cost in compression).\n	
11	ziproxy	2010-05-03 16:09:19	221	http://directory.fsf.org/project/ziproxy	http://ziproxy.sourceforge.net/	Proxy that gzips files and reduces image size	'ziproxy' is a forwarding (non-caching) proxy that\ngzips text and HTML files, and reduces the size of images by\nconverting them to low quality JPEGs. It is intended to increase the\nspeed for dial-up Internet connections. Most browsers support gzipped\ncontent, so Web pages appear as normal, but as they are only a\nfraction of their original page size, pages are much quicker to\nload. Even for browsers that don't support it, hints how to overcome\nit using SSH port forwarding are included. \n\n<P>Images are on average one third smaller with only marginal visible\nimage quality loss. It should be used with inetd/xinetd, but if you\ncan't use them, a simple replacement "netd" is provided\n	
12	zinf	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zinf	http://www.zinf.org/	Cross-platform audio player	Zinf is an extensible, cross-platform audio player\nformerly known as Free Amp. As per the zinf web site "Zinf is based on\nthe FreeAmp source code. However, AMP is a trademark of PlayMedia\nSystems, Inc., and therefore the original name of the project cannot\nbe used any longer. On this website the old project will be referred\nto as FreeA*p."\n\nZinf features an optimized version of the GPLed Xing MPEG\ndecoder, a powerful music browser and playlist editor, and a built in\ndownload manager which supports downloading files from sites using the\nRMP (RealJukebox) download process, and a number of the most common\nfeatures users have come to expect in a clean, easy to use interface,\nincluding:	
13	zina	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zina	http://www.pancake.org/zina.html	GUI tool for audio	Zina is a graphical interface to your MP3\ncollection, a personal jukebox, and an MP3/Ogg/WAV streamer. It has\ncustom, session, and random playlists, can skip tracks as desired, and\ncan search by artist, title, or song. It can also be run as a Postnuke\nmodule.\n	
14	zim	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zim	http://zoidberg.student.utwente.nl/zim/	A desktop wiki.	Zim is a WYSIWYG text editor written in Gtk2-Perl\nIt aims to bring the concept of a wiki to your\ndesktop. Every page is saved as a text file with wiki\nmarkup. Pages can contain links to other pages,\nand are saved automatically. Creating a new page\nis as easy as linking to a non-existing page. This\ntool is intended to keep track of TODO lists or\nto serve as a personal scratch book.\n	
15	zile	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zile	http://www.gnu.org/software/zile/	An Emacs clone.	Zile is a small, fast, and powerful Emacs clone. It is useful for small footprint installations (e.g. on floppy disk) or quick editing sessions.  Festures include:\n<ul>\n<li>Small.	Intermediate
16	zgv	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zgv	http://www.svgalib.org/rus/zgv/	Picture viewer for VGA/SVGA	'zgv' is a full-featured, svgalib-based picture\nviewer for VGA/SVGA displays which supports most popular formats. It\nprovides a file selector with thumbnails to select file(s) to view,\nand allows panning and fit-to-screen methods of viewing, slideshows,\nscaling, gamma adjustment, etc.\n	
17	zerotools	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zerotools	http://koltsoff.com/pub/zerotools	Tools to aid compression of virtual machine disks with Linux virtual machines.	Zerotools are a set of tools to aid keeping virtual disks clean by filling binary zero to those regions which are no longer in "use". This is done on-the-fly or manually, depending on which tool suits the needs best. The tools do not compete with other programs that rewrite removed files in order to make their restoration close to impossible. Zerotools are mostly useful for people who compress or archive virtual machines constantly. The tools are run inside the virtualized Linux system and are distribution-agnostic.	
18	zeppoo	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zeppoo	http://www.zeppoo.net	Software to detect if a rootkit is installed on your system.	Zeppoo allows you to detect rootkits on the i386\narchitecture under Linux by using /dev/kmem and\n/dev/mem. It can also detect hidden tasks,\nmodules, syscalls, some corrupted symbols, and\nhidden connections. Anti-Rootkits which don't use\nthese methods can be fooled easily.\n	
19	zenslideshow	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zenslideshow	http://www.zen-slideshow.com	Is a php slideshow application for web sites	Zen-slideshow is a free software php slideshow application for web sites. Zen-slideshow was designed to provide the web developer with a configurable slideshow application. The web developer decides: <br>\n<ul>\n<li>Where zen-slideshow will be installed.</li>\n<li>Where is the folder which will contain the images for the slideshow.</li>\n<li>What is the maximum width and height for the images in the slide show.</li>\n<li>Will there be thumbnails.</li>\n<li>What is the maximum width and height of the thumbnails.</li>\n<li>Will their be manual slideshow navigatioin controls. </li>\n<li>Will their be auto slideshow controls.</li>\n<li>Will there be a auto slideshow delay controls.</li>\n<li>What will be the auto slideshow delay contorl options.</li>\n<li>Will the slideshow be its own web page or will it be included in another web page.</li>\n<li>How the slide show will look</li>\n</ul>\n Once installed, the content for zen-slideshow is changed by adding and deleting images in the image folder.\n	
20	zenity	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zenity	http://cvs.gnome.org/bonsai/rview.cgi?cvsroot=/cvs/gnome&amp;dir=zenity	Displays Gtk+ dialog boxes from the command line or shell scripts	Zenity lets you display Gtk+ dialog boxes from the\ncommand line and through shell scripts. It is similar to gdialog, but\nis intended to be saner. It comes from the same family as dialog,\nXdialog, and cdialog, but it surpasses those projects by having a\ncooler name.\n	
21	zebra	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zebra	http://www.zebra.org/	Implementation of routing protocols	Zebra is a multi-server routing protocol that\nprovides TCP/IP based routing protocols. It's meant to be used as a\nroute server and router reflector. Not just a toolkit, it provides\nfull routing power under a new architecture. The user can dynamically\nchange configuration and use command line completion and history from\nthe terminal interface.\n\nThe programs supports:	
22	zebedee	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zebedee	http://www.winton.org.uk/zebedee/	Secure tunnel for TCP/IP or UDP data transfer	Zebedee establishes an encrypted, compressed\ntunnel for TCP/IP or UDP data transfer between two systems. This\nprotects telnet, ftp and X traffic from snooping. It has a small\nfootprint, low wire protocol overhead, and gives significant traffic\nreduction by the use of compression.\n	
23	zdisk	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zdisk	http://www.ibiblio.org/pub/Linux/system/recovery/	Creates a boot/rescue floppy or CD	Zdisk lets you have a kernel and a rescue system\non one floppy. The programs copies a kernel of your choice to a floppy\nand then adds a rescue system to the same floppy (the kernel can't be\nbigger than 975 Kb on a floppy, although it can be bigger on a\nCD). Zdisk has almost the same rescue system as ramf-86, except\nramf-86 comes with a kernel.\n	
24	zapping	2010-05-03 16:09:19	221	http://directory.fsf.org/project/zapping	http://zapping.sourceforge.net/	A TV viewer program for GNOME.	Zapping is a TV viewer for GNOME that supports Video4Linux, Video4Linux2, and XVideo. It's extensible through plugins.	
25	z2html	2010-05-03 16:09:19	221	http://directory.fsf.org/project/z2html	http://project.departure.dk/zdl.html	Converts files in the Z document language to HTML	'z2html' translates files written in the free Z\nDocument Language to compliant XHTML 1.1. It is both SGML and\nXML-compliant.\n	
26	yuv4mpeg	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yuv4mpeg	http://frodo.dyn.gno.org/~brettk/yuv4mpeg/	Let users creat yuv4mpeg filters in Perl	'yuv4mpeg' is a Perl module which provides access\nto the yuv4mpeg library, which is part of mjpegtools.  The library\nprovides functions for reading/writing stream and frame header\ninformation, as well as the frame data itself. Also, the Perl bindings\nhave been augmented with some fast data-access methods to make it\nquick and easy to pull out the raw frame data in various forms.  The\nmodule is meant to lets users create yuv4mpeg filters in Perl.\n	
27	yum-repo-sync	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yum-repo-sync	http://www.dotsharp.com.br/programas/yum-repo-sync.html	A script for creating a local repository for yum.	This shell script automatically downloads \nand synchronizes a Fedora Core repository with a local yum \nrepository. There are already configurations for FC3, FC4, \nFC5, and FC6 which only need to be activated. \n	
28	yudit	2010-05-03 16:09:19	221	http://directory.fsf.org/project/yudit	http://www.yudit.org/	Unicode text editor for the X Window System	Yudit is a unicode text editor for the X Window\nSystem. It can do True Type font rendering, printing, transliterated\nkeyboard input, and handwriting recognition with no dependencies on \nexternal engines. Its conversion utilities can convert text between\nvarious encodings. Keyboard input maps can also act like text\nconverters for instant transliterations of your text. There is no need\nfor a pre-installed multi-lingual environment. The menus are available\nin many languages.\n\nThe program supports handwriting recognition and right-to-left\nwriting, and has built-in printing support and direct TrueType\nsupport. You can display and print your text in a combination of\nTrueType and X11 fonts.	
