#  file: fsfProjectInterfaces2010-May.txt
#  package: fsfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of Free Software 
#  Foundation project information generated from the list of projects gathered 
#  in 2010-May
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#  
#  SELECT pi.proj_num, p.proj_unixname, pi.interface, pi.datasource_id 
#  FROM fsf_project_interfaces pi, fsf_projects p 
#  WHERE p.proj_num = pi.proj_num AND pi.datasource_id=221 
#  ORDER BY p.proj_unixname, pi.interface
#
#  datasource_id = 221 is the 2010-May collection from FSF.
proj_num	proj_unixname	interface	datasource_id
5294	123sqlengine	Command Line	221
5293	2do	Web	221
5289	3dbattlego	X Window System	221
5290	3dFB	X Window System	221
5292	3DKit	Library	221
5288	3dldf	Command Line	221
5291	3DPong	X Window System	221
5287	4tH	Command Line	221
3955	a2b	Command Line	221
3956	a2b-game	X Window System	221
5286	A2K	Daemon	221
3954	a2png	Command Line	221
3953	a2ps	Command Line	221
5958	aafigure	Command Line	221
5958	aafigure	Console	221
3948	aalib	Library	221
5750	aap	X Window System	221
3947	aapl	Library	221
3946	aardvark	Command Line	221
6263	aasm	Command Line	221
3945	abc2ps	Command Line	221
3944	abcde	Command Line	221
3943	abclock	Command Line	221
3943	abclock	Library	221
3943	abclock	X Window System	221
3942	abcm2ps	Command Line	221
3941	abcpp	Command Line	221
3941	abcpp	X Window System	221
3940	abcsh	X Window System	221
3939	abdabi	Web	221
3938	abiword	X Window System	221
3937	abook	Command Line	221
3937	abook	Console	221
3952	aBridge	Web	221
3935	absense	Web	221
5263	AbsolutEngine	Web	221
3934	abuse	X Window System	221
5283	ACal	Web	221
6116	accerciser	X Window System	221
3933	access_user_class	Web	221
3932	acct	Command Line	221
5285	ACDK	Command Line	221
3931	achievo	Web	221
3930	achievoATK	Library	221
3929	ackerTodo	Web	221
5284	ACL2	Command Line	221
3928	acm	X Window System	221
3927	acme	X Window System	221
3926	acmemail	Web	221
3925	acon	Console	221
3924	acovea	Command Line	221
3923	acpitool	Command Line	221
3922	actim	Command Line	221
3922	actim	X Window System	221
3921	active	Command Line	221
3921	active	Web	221
5262	ActiveCalendar	Web	221
3920	adacom	Library	221
5258	AdacURL	Command Line	221
5261	AdaDoc	Command Line	221
5260	AdaSockets	Library	221
5259	AdaUnits	Library	221
3919	adcd	Command Line	221
5257	Addendat	Command Line	221
5257	Addendat	Web	221
5788	adg	Console	221
5788	adg	Web	221
5788	adg	X Window System	221
3918	adie	X Window System	221
3917	adjtimex	Command Line	221
3917	adjtimex	Console	221
5282	ADM	X Window System	221
3916	adns	Library	221
5665	adodb	Library	221
5667	adodblite	Library	221
5666	adodbpy	Library	221
3915	adtool	Command Line	221
3914	advance	X Window System	221
3913	advancestocktracker	Web	221
5953	adx	Web	221
3912	aegis	Command Line	221
3912	aegis	Web	221
3912	aegis	X Window System	221
5706	aeiou	Web	221
5649	aeneas	X Window System	221
5959	aerocalc	Console	221
5256	Aetherspace	X Window System	221
5255	Aewan	Command Line	221
3910	aewm	X Window System	221
5281	AFD	X Window System	221
3909	affero	Web	221
3908	affinity	X Window System	221
3906	afick	Command Line	221
3907	afick-Webmin	Web	221
5280	AFR	Web	221
5279	AFT	Command Line	221
5279	AFT	Web	221
3905	aften	Library	221
5254	AfterStep	X Window System	221
5253	AfterStepclockapplet	X Window System	221
5594	aftp	Command Line	221
3904	agatha	Web	221
3903	agave	X Window System	221
3902	agendaroids	X Window System	221
5872	agfl	Command Line	221
5751	agide	X Window System	221
3901	agnostos	Web	221
5278	AGT	Command Line	221
5396	ah3	X Window System	221
3900	aide	Console	221
3899	aigaion	Web	221
3897	aiocp	Web	221
3896	aircrack	Command Line	221
5871	airhook	Library	221
5405	airs	X Window System	221
5252	AirTraffic	X Window System	221
5707	ajaxchat	X Window System	221
3895	ajaxmytop	Web	221
5450	akfavatar	X Window System	221
5277	AKFQuiz	Command Line	221
5277	AKFQuiz	Console	221
5277	AKFQuiz	Web	221
5277	AKFQuiz	X Window System	221
3894	akregator	X Window System	221
3893	alarmpinger	Daemon	221
3892	ald	Command Line	221
3891	aldo	Command Line	221
3890	ale	Command Line	221
5276	ALE	Command Line	221
3889	alerttail	X Window System	221
3888	alexandria	X Window System	221
3887	alfandega	Command Line	221
3887	alfandega	X Window System	221
5251	Algol68G	Command Line	221
3886	aliaslu	Command Line	221
3885	alien	Command Line	221
3884	aliens	X Window System	221
3883	align	Command Line	221
3882	alist	Daemon	221
3882	alist	Web	221
3881	alive	Daemon	221
5250	AllCommerce	X Window System	221
3880	allegro	Command Line	221
3880	allegro	Console	221
3880	allegro	Library	221
3880	allegro	X Window System	221
5874	alleyoop	Command Line	221
5874	alleyoop	X Window System	221
3879	alliance	Library	221
3879	alliance	X Window System	221
5345	allocpsa	X Window System	221
6257	allpairs	Console	221
3878	alltray	X Window System	221
3877	almclk	Command Line	221
3876	alogg	Library	221
3875	alphamail	Web	221
5482	Alpine	Web	221
3874	alpy	Library	221
5875	alsadriver	Daemon	221
5877	alsalib	Library	221
5880	alsaoss	Library	221
5881	alsapatchbay	Console	221
3873	alsaplayer	Command Line	221
3873	alsaplayer	Daemon	221
3873	alsaplayer	X Window System	221
5876	alsaplugins	Command Line	221
5879	alsatools	Console	221
5878	alsautils	Console	221
3872	alterMIME	Daemon	221
5761	alterparagraphs	Command Line	221
3871	althea	X Window System	221
3869	am-utils	Daemon	221
5595	amake	Command Line	221
3868	amanda	Command Line	221
6146	amara	Library	221
3867	amaroK	X Window System	221
5275	AMaViS	Daemon	221
3866	amavisd-new	Daemon	221
3865	amaya	Web	221
3864	amber	Command Line	221
3863	ambinding	Library	221
5315	ambisuite	Command Line	221
5249	AmigaShell	X Window System	221
3862	ampache	Web	221
5248	AmphetaDesk	Daemon	221
5248	AmphetaDesk	Web	221
3860	amportal	Web	221
3950	aMule	Command Line	221
5973	anagramarama	X Window System	221
3858	analog	Web	221
3857	and-httpd	Command Line	221
3857	and-httpd	Daemon	221
3856	andatool	Command Line	221
5556	andrew	Command Line	221
5247	AnGramadoir	Command Line	221
5246	Anguly_Mail_Client	X Window System	221
3855	animail	Command Line	221
3854	anjuta	X Window System	221
5274	ANK_djbdbs	Web	221
3853	annif	Web	221
6259	anolis	Console	221
3852	anomysanitizer	Daemon	221
5245	Ansel	Web	221
3851	ansiprint	Command Line	221
5273	ANT	Command Line	221
3850	ant	Command Line	221
3849	anteil	Web	221
5244	Anti-Web	Command Line	221
5243	AntiAliasingTool	Command Line	221
3848	antidialer	X Window System	221
5242	AntiExploit	Command Line	221
5752	antiparser	Command Line	221
5241	AntiRight	X Window System	221
3846	anttweakbar	Library	221
3845	anubis	Command Line	221
3845	anubis	Daemon	221
3843	aolserver	Daemon	221
3843	aolserver	Web	221
3841	apache	Daemon	221
3842	apache-session	Command Line	221
3840	apaz	Web	221
6346	apetaglibs	Library	221
3839	apf	Daemon	221
3838	aphpkb	Web	221
3837	aping	Console	221
3836	aplus	Command Line	221
3836	aplus	X Window System	221
5240	Apophenia	Library	221
5239	App	Command Line	221
3835	apparix	Command Line	221
3834	appctl	Command Line	221
3833	appliworks	X Window System	221
5960	apptools	Command Line	221
5960	apptools	Library	221
3832	apsfilter	Command Line	221
5272	APSR	Command Line	221
3831	apt-torrent	Daemon	221
3830	apvsys	Command Line	221
6260	apydia	Console	221
6260	apydia	Web	221
3829	aqsis	X Window System	221
5238	Aqualung	X Window System	221
5237	Aquarium	Web	221
3828	ara	Command Line	221
3828	ara	X Window System	221
3827	archimedes	Command Line	221
3827	archimedes	X Window System	221
3826	archive	X Window System	221
3825	archmbox	Command Line	221
3824	archzoom	Web	221
6135	ardesia	X Window System	221
3823	ardour	X Window System	221
3822	arfg	Command Line	221
5646	argparser	Command Line	221
3821	argtable	Library	221
3820	arguseye	X Window System	221
3819	aria	X Window System	221
3818	aria2	X Window System	221
3817	aricalc	X Window System	221
5615	armadillo	Library	221
3816	armagetron_advanced	X Window System	221
3815	aroundme	Web	221
3814	arpalert	Command Line	221
3814	arpalert	Daemon	221
3813	arping	Command Line	221
3812	arson	X Window System	221
5236	ArtofIllusion	X Window System	221
3949	aRts	X Window System	221
3811	ascend	Library	221
3811	ascend	X Window System	221
3810	ascii	Command Line	221
3809	ascii2binary	Command Line	221
5235	AsciiDoc	Command Line	221
3808	ascpu	X Window System	221
3807	asgardrpg	X Window System	221
5271	ASK	Daemon	221
5596	aslib	Library	221
5234	AsmEdit	Command Line	221
3806	asmem	X Window System	221
3805	asmide	Console	221
5233	AsmRef	Command Line	221
3804	aspell	Command Line	221
3804	aspell	Console	221
3804	aspell	Library	221
5270	ASPSeek	Daemon	221
5270	ASPSeek	Web	221
5910	asset	Web	221
3803	asterisk-oh	Daemon	221
3802	asteroids3D	X Window System	221
5232	AstroCam	Daemon	221
5232	AstroCam	Web	221
3801	astrocatalog	X Window System	221
3800	astroconst	Command Line	221
3799	astyle	Command Line	221
5231	Asymptote	Command Line	221
5231	Asymptote	X Window System	221
3798	at-spi	Library	221
3798	at-spi	X Window System	221
3797	atchange	Command Line	221
3796	aterm	X Window System	221
3795	aterr	Web	221
3794	atheism	Command Line	221
5269	ATK	Library	221
5269	ATK	X Window System	221
3793	atkins	Command Line	221
3792	atlas	Command Line	221
3791	atlc	Command Line	221
3791	atlc	X Window System	221
6258	atomthreads	Library	221
3790	atool	Command Line	221
3789	atop	Command Line	221
3789	atop	Console	221
6380	atrack	Command Line	221
3788	atsar	Command Line	221
3787	atslog	Command Line	221
3787	atslog	Web	221
3786	aub	Daemon	221
3785	aubio	Command Line	221
