#  file: fsfProjectLicenses2010-May.txt
#  package: fsfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of Free Software 
#  Foundation project information generated from the list of projects gathered 
#  in 2010-May
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#  
#  SELECT pi.proj_num, p.proj_unixname, pi.license, pi.datasource_id 
#  FROM fsf_project_licenses pi, fsf_projects p 
#  WHERE p.proj_num = pi.proj_num AND pi.datasource_id=221 
#  ORDER BY p.proj_unixname, pi.license
#
#  datasource_id = 221 is the 2010-May collection from FSF.
proj_num	proj_unixname	license	datasource_id
5294	123sqlengine	GPLv2orlater	221
5293	2do	BSD_3Clause	221
5289	3dbattlego	GPLv2	221
5290	3dFB	GPLv2	221
5292	3DKit	LGPL	221
5288	3dldf	GPLv2orlater	221
5291	3DPong	GPLv2	221
5287	4tH	GPLv2orlater	221
3955	a2b	GPLv2orlater	221
3956	a2b-game	GPLv2	221
5286	A2K	GPLv2orlater	221
3954	a2png	GPLv2orlater	221
3953	a2ps	GPLv2orlater	221
5958	aafigure	BSD_3Clause	221
3948	aalib	LGPL	221
5750	aap	Expat	221
5750	aap	GPLv2	221
5750	aap	ISC	221
3947	aapl	GPLv2orlater	221
3946	aardvark	GPLv2orlater	221
6263	aasm	GPLv3orlater	221
3945	abc2ps	GPLv2orlater	221
3944	abcde	Perl	221
3943	abclock	GPLv2orlater	221
3942	abcm2ps	GPLv2orlater	221
3941	abcpp	GPLv2orlater	221
3940	abcsh	GPLv2orlater	221
3939	abdabi	GPL	221
3938	abiword	GPLv2orlater	221
3937	abook	GPLv2	221
3952	aBridge	GPLv2orlater	221
3936	abscan	GPLv2orlater	221
3935	absense	GPLv2	221
5263	AbsolutEngine	GPLv2	221
3934	abuse	GPLv2	221
5283	ACal	GPLv2	221
6116	accerciser	BSD_3Clause	221
3933	access_user_class	BSD_3Clause	221
3932	acct	GPLv2	221
5285	ACDK	LGPL	221
3931	achievo	GPLv2	221
3930	achievoATK	ATK License	221
3929	ackerTodo	GPLv2orlater	221
5284	ACL2	GPLv2	221
3928	acm	GPLv2orlater	221
3927	acme	GPLv2orlater	221
3926	acmemail	Perl	221
3925	acon	GPLv2	221
3924	acovea	GPLv2	221
3923	acpitool	GPLv2orlater	221
3922	actim	GPLv2orlater	221
3921	active	GPLv2	221
5262	ActiveCalendar	LGPL	221
3920	adacom	GPLv2	221
5258	AdacURL	GPLv2orlater with exception	221
5261	AdaDoc	GPLv2	221
5260	AdaSockets	GPLv2orlater with exception	221
5259	AdaUnits	GPLv2orlater with exception	221
3919	adcd	GPLv2orlater	221
5257	Addendat	GPLv2	221
5788	adg	LGPLv2.1	221
3918	adie	LGPL	221
3917	adjtimex	GPLv2	221
5282	ADM	GPLv2orlater	221
3916	adns	GPLv2orlater	221
5665	adodb	BSD_3Clause	221
5665	adodb	LGPLv2.1	221
5667	adodblite	BSD_3Clause	221
5667	adodblite	LGPLv2.1	221
5666	adodbpy	BSD_3Clause	221
3915	adtool	GPLv2orlater	221
3914	advance	GPLv2	221
3913	advancestocktracker	GPLv2orlater	221
5953	adx	BSD_3Clause	221
3912	aegis	GPLv2orlater	221
5706	aeiou	AGPLv3 or later	221
5706	aeiou	BSD_2Clause	221
5649	aeneas	GPLv3	221
5959	aerocalc	BSD_3Clause	221
5256	Aetherspace	GPLv2orlater	221
5255	Aewan	GPLv2orlater	221
3910	aewm	X11	221
5281	AFD	GPLv2	221
3909	affero	Affero General Public License	221
3908	affinity	GPLv2orlater	221
3906	afick	GPLv2orlater	221
3907	afick-Webmin	GPLv2orlater	221
5280	AFR	GPLv2orlater	221
5279	AFT	Perl	221
3905	aften	GPLv2orlater	221
5254	AfterStep	GPLv2orlater	221
5253	AfterStepclockapplet	GPLv2	221
5594	aftp	GPLv2orlater	221
3904	agatha	GPLv2	221
3903	agave	GPLv2orlater	221
3902	agendaroids	GPLv2	221
5872	agfl	GPLv2orlater	221
5872	agfl	LGPLv2.1orlater	221
5751	agide	GPLv2	221
3901	agnostos	GPLv2orlater	221
5278	AGT	BSD_3Clause	221
5396	ah3	GPLv2orlater	221
3900	aide	GPLv2	221
3899	aigaion	GPLv2orlater	221
3898	aimsniff	GPLv2orlater	221
3897	aiocp	GPL	221
3896	aircrack	GPLv2orlater	221
5871	airhook	GPLv2orlater	221
5405	airs	GPLv2	221
5252	AirTraffic	GPLv2orlater	221
3951	aITALC	GPLv2orlater	221
5707	ajaxchat	AGPLv3 or later	221
5707	ajaxchat	Creative Commons Attribution Share-Alike 2.5	221
5707	ajaxchat	Expat	221
3895	ajaxmytop	GPLv2orlater	221
5450	akfavatar	GPLv3orlater	221
5277	AKFQuiz	GPLv3orlater	221
3894	akregator	GPLv2	221
3893	alarmpinger	GPLv2	221
3892	ald	GPLv2orlater	221
3891	aldo	GPLv2orlater	221
3890	ale	GPL	221
5276	ALE	GPLv2orlater	221
3889	alerttail	GPLv2orlater	221
3888	alexandria	GPLv2orlater	221
3887	alfandega	GPLv2	221
5251	Algol68G	GPLv3	221
3886	aliaslu	GPLv2	221
3885	alien	GPLv2	221
3884	aliens	GPLv2	221
3883	align	GPLv2orlater	221
3882	alist	GPLv2	221
3881	alive	GPLv2orlater	221
5250	AllCommerce	GPLv2	221
3880	allegro	SimplePermissive	221
5874	alleyoop	GPLv3orlater	221
3879	alliance	GPLv2orlater	221
5345	allocpsa	AGPLv3 or later	221
6257	allpairs	Expat	221
3878	alltray	GPLv2	221
3877	almclk	GPLv2orlater	221
3876	alogg	LGPL	221
3875	alphamail	GPLv2orlater	221
5482	Alpine	Apache2.0	221
5482	Alpine	BSD_4Clause	221
3874	alpy	X11	221
5875	alsadriver	BSD_2Clause	221
5875	alsadriver	GPLv2orlater	221
5877	alsalib	GPLv2orlater	221
5877	alsalib	LGPLv2.1orlater	221
5880	alsaoss	GPLv2orlater	221
5881	alsapatchbay	GPLv2orlater	221
3873	alsaplayer	GPLv3orlater	221
5876	alsaplugins	BSD_3Clause	221
5876	alsaplugins	GPLv2orlater	221
5876	alsaplugins	LGPLv2.1	221
5879	alsatools	GPLv2orlater	221
5879	alsatools	LGPLv2.1orlater	221
5878	alsautils	GPLv2orlater	221
3872	alterMIME	BSD_AdClause	221
5761	alterparagraphs	GPLv3	221
3871	althea	GPLv2orlater	221
3870	alumni-online	GPL	221
3869	am-utils	BSD_AdClause	221
5595	amake	GPLv2orlater	221
3868	amanda	X11	221
6146	amara	Apache2.0	221
6146	amara	Expat	221
3867	amaroK	BSD_3Clause	221
3867	amaroK	GFDL	221
3867	amaroK	GPLv2orlater	221
3867	amaroK	LGPLv2.1	221
5275	AMaViS	GPLv2	221
3866	amavisd-new	GPLv2orlater	221
3865	amaya	W3C	221
3864	amber	GPLv2orlater	221
3863	ambinding	GPLv2orlater	221
5315	ambisuite	GPLv3orlater	221
5249	AmigaShell	GPL	221
3862	ampache	GPLv2	221
5248	AmphetaDesk	ClarifiedArtistic	221
3861	amphetarate	GPLv2orlater	221
3860	amportal	GPLv2	221
3859	ams	GPLv2orlater	221
3950	aMule	GPLv2orlater	221
5973	anagramarama	GPLv2orlater	221
3858	analog	PublicDomain	221
3857	and-httpd	GPLv2orlater	221
3856	andatool	GPLv2	221
5556	andrew	GPLv3orlater	221
5247	AnGramadoir	GPLv2orlater	221
5246	Anguly_Mail_Client	GPLv2	221
3855	animail	GPLv2	221
3854	anjuta	GPLv2orlater	221
5274	ANK_djbdbs	SimplePermissiveNoNonWarranty	221
3853	annif	GPLv2orlater	221
6259	anolis	Expat	221
3852	anomysanitizer	GPLv2	221
5245	Ansel	BSD_3Clause	221
3851	ansiprint	BSD_AdClause	221
3850	ant	Apache	221
5273	ANT	GPLv2orlater	221
3849	anteil	GPLv2orlater	221
5244	Anti-Web	GPLv2	221
5243	AntiAliasingTool	GPL	221
3848	antidialer	GPLv2orlater	221
5242	AntiExploit	GPLv2orlater	221
5752	antiparser	GPLv2	221
5241	AntiRight	GPLv2orlater	221
3847	antiword	GPLv2	221
3846	anttweakbar	Zlib	221
3845	anubis	GPLv3orlater	221
3844	anymeal	GPLv2orlater	221
3843	aolserver	GPL	221
3843	aolserver	MPL	221
3841	apache	Apache	221
3842	apache-session	Perl	221
3840	apaz	GPLv2orlater	221
6346	apetaglibs	Expat	221
3839	apf	GPLv2orlater	221
3838	aphpkb	GPLv2orlater	221
3837	aping	GPLv2	221
3836	aplus	GPLv2	221
5240	Apophenia	GPLv2	221
5239	App	GPLv2orlater	221
3835	apparix	GPLv3orlater	221
3834	appctl	GPLv2	221
3833	appliworks	GPLv2orlater	221
5960	apptools	BSD_3Clause	221
5960	apptools	LGPLv2.1	221
3832	apsfilter	GPLv2orlater	221
5272	APSR	GPLv2	221
3831	apt-torrent	GPLv2orlater	221
3830	apvsys	GPLv2	221
6260	apydia	Expat	221
3829	aqsis	GPLv2orlater	221
5238	Aqualung	GPL	221
5237	Aquarium	BSD_3Clause	221
3828	ara	GPLv2	221
3827	archimedes	GPLv3	221
3826	archive	GPLv2	221
3825	archmbox	GPLv2orlater	221
3824	archzoom	GPLv2orlater	221
6135	ardesia	GPLv3	221
3823	ardour	GPLv2	221
3822	arfg	GPLv2orlater	221
5646	argparser	GPLv3orlater	221
3821	argtable	LGPL	221
3820	arguseye	GPLv2	221
3819	aria	GPLv2	221
3818	aria2	GPLv2orlater	221
3817	aricalc	GPLv2orlater	221
5615	armadillo	GPLv2 with exception	221
3816	armagetron_advanced	GPLv2orlater	221
3815	aroundme	GPLv3orlater	221
3814	arpalert	GPLv2	221
3813	arping	GPLv2	221
3812	arson	GPLv2orlater	221
5236	ArtofIllusion	GPLv2orlater	221
3949	aRts	LGPLv2orlater	221
3811	ascend	GPLv2	221
3810	ascii	GPLv2	221
3809	ascii2binary	GPLv2orlater	221
5235	AsciiDoc	GPLv2orlater	221
3808	ascpu	GPLv2	221
3807	asgardrpg	GPLv2orlater	221
5271	ASK	GPLv2orlater	221
5596	aslib	GPLv2	221
5596	aslib	X11	221
5234	AsmEdit	GPLv2orlater	221
3806	asmem	GPLv2	221
3805	asmide	GPLv2orlater	221
5233	AsmRef	GPLv2orlater	221
3804	aspell	LGPL	221
5270	ASPSeek	GPLv2orlater	221
5910	asset	GPLv2orlater	221
3803	asterisk-oh	GPLv2orlater	221
3802	asteroids3D	GPLv2	221
5232	AstroCam	BSD_3Clause	221
3801	astrocatalog	GPLv2orlater	221
3800	astroconst	GPLv2	221
3799	astyle	Perl	221
5231	Asymptote	GPLv2orlater	221
3798	at-spi	LGPLv2orlater	221
3797	atchange	PublicDomain	221
3796	aterm	GPLv2orlater	221
3795	aterr	GPLv2	221
3794	atheism	GPLv2orlater	221
5269	ATK	LGPLv2orlater	221
3793	atkins	GPLv2orlater	221
3792	atlas	BSD_3Clause	221
3791	atlc	GPLv2	221
6258	atomthreads	BSD_3Clause	221
6258	atomthreads	other	221
3790	atool	GPLv2	221
3789	atop	GPLv2orlater	221
6380	atrack	PublicDomain	221
3788	atsar	GPLv2orlater	221
3787	atslog	GPLv2orlater	221
3786	aub	GPLv2	221
3785	aubio	GPLv2orlater	221
3784	auch	GPLv2orlater	221
3783	auctex	GPLv2orlater	221
5230	AuctionGallery	GPLv2orlater	221
3782	audacity	GPLv2	221
3781	audio-convert	GPLv2orlater	221
3780	audiomove	GPL	221
5446	audiospace	GPLv3	221
5785	audioutils	GPLv3orlater	221
3779	audit	GPLv2orlater	221
3778	aumix	GPLv2orlater	221
3777	authfail	GPLv2orlater	221
3776	authforce	GPLv2	221
3775	authz-tools	GPLv2	221
3774	auto-autofs	GPLv2orlater	221
3773	autobench	GPLv2orlater	221
5224	Autobuild	GPLv2orlater	221
3772	autoclass	PublicDomain	221
5229	AutoCodeGenerator	GPLv2orlater	221
3771	autoconf	GPLv3 or later with exception	221
3770	autoconvert	GPLv2orlater	221
3769	autodia	GPLv2	221
5223	Autodist	BSD_3Clause	221
5222	Autofiler	GPLv2orlater	221
5810	autofw	GPLv2	221
3768	autogen	GPLv3orlater	221
3767	autoindex	GPLv2	221
5828	autojump	GPLv3orlater	221
3766	autolame	GPLv2orlater	221
3765	automake	GPLv2orlater	221
3764	autonicedaemon	GPLv2	221
3763	autopackage	LGPLv2.1orlater	221
3762	autopoweroff	GPLv2orlater	221
5228	AutoProfile	GPLv2	221
3761	autoproject	GPLv2	221
3760	autorun	GPLv2orlater	221
5227	AutoScan	GPLv2orlater	221
5226	AutoScrapbook	X11	221
5221	Autossh	SimplePermissiveNoNonWarranty	221
3759	autotable	GPLv2	221
5220	Autothrottle	GPLv2	221
3758	autotrace	GPLv2orlater	221
5225	AutoUpdate	GPLv2orlater	221
3757	autovaca	GPLv2orlater	221
3756	avant_window_navigator	GPLv2orlater	221
5829	avbin	GPLv3	221
5829	avbin	LGPLv3orlater	221
3755	avdbtools	GPLv2orlater	221
3754	averist	GPLv2	221
5268	AVFS	GPLv2	221
3753	avidemux	GPL	221
3752	aview	GPLv2	221
3751	avimanager	GPLv2	221
5267	AVInfo	GPLv2orlater	221
3750	avl	GPLv3orlater	221
3750	avl	LGPLv3orlater	221
3749	avsomat	GPLv2orlater	221
5219	AweMUD	BSD_2Clause	221
5266	AWF	GPLv2orlater	221
3748	awhttpd	GPLv2	221
5265	AWOL	GPLv2	221
5264	AWStats	GPLv2orlater	221
3747	axiom	BSD_3Clause	221
6145	axkit	Apache2.0	221
6145	axkit	BSD_2Clause	221
5218	AxPoint	Perl	221
3746	ayam	BSD_3Clause	221
3745	ayttm	GPLv2orlater with exception	221
3744	b	GPLv2	221
5217	B-Forms	LGPLv2.1orlater	221
5540	b2epms	GPLv2	221
3743	b2evolution	GPLv2	221
3742	b4step	PublicDomain	221
5824	babel	BSD_3Clause	221
5196	Baby	GPLv2orlater	221
3741	babylon	GPLv2	221
5195	Backroute	GPLv2	221
3740	backup2l	GPLv2orlater	221
5193	Backuper	GPLv2orlater	221
6434	backupninja	GPLv2orlater	221
3738	backuppc	GPLv2orlater	221
5194	BackupShell	GPLv2orlater	221
3739	backup_manager	GPLv2orlater	221
3737	bacula	other	221
5541	badharvest	GPLv2	221
3736	bagelview	GPLv3orlater	221
3735	bakasub	GPLv2	221
3734	bakery	LGPL	221
3733	balance	GPLv2	221
3732	balazarbrothers	GPLv2orlater	221
5650	ballandpaddle	GFDL	221
5650	ballandpaddle	GPLv3	221
3731	balsa	GPLv2	221
5192	BananaPos	GPLv2orlater	221
3730	bandwidthd	GPLv2	221
3729	bangla	GPLv2orlater	221
3728	banner	PublicDomain	221
5191	BannerFilter	GPLv2orlater	221
3727	bannerkiller	GPLv2orlater	221
3726	baobob	GPLv2	221
3725	bar	GPLv2orlater	221
5216	BAR	GPLv2orlater	221
3724	barbie	GPLv2orlater	221
3723	barcat	BSD_3Clause	221
3722	barcode	GPLv2	221
5190	BarcodeWriter	X11	221
3721	bartlby	GPLv2orlater	221
3720	basE91	BSD_3Clause	221
3719	bash	GPLv2orlater	221
5189	Bash.Diff	GPLv2	221
3718	bashblogger	GPLv2orlater	221
3717	bashburn	GPLv2	221
3716	bashdb	GPLv2orlater	221
3715	bashdiff	GPLv2orlater	221
5188	Basilic	GPLv2orlater	221
3714	batchelor	GPLv2orlater	221
5187	Batchput	GPLv2orlater	221
3713	batemail	GPLv2	221
6041	batik	Apache 1.1	221
6041	batik	Apache2.0	221
6041	batik	BSD_2Clause	221
6041	batik	Creative Commons Attribution Share-Alike 2.5	221
6041	batik	PublicDomain	221
6041	batik	W3C	221
3712	batren	GPLv2orlater	221
3711	battstat	GPLv2orlater	221
3710	bayonne	GPLv2orlater	221
5215	BBBike	Perl	221
5214	BBclone	GPLv2orlater	221
3709	bbe	GPLv2orlater	221
5213	BBrun	GPLv2	221
3708	bbs100	GPLv2	221
3707	bc	GPLv2orlater	221
5439	bcaml	LGPLv2.1	221
3706	bcfg2	BSD_2Clause	221
3705	bchunk	GPLv2orlater	221
5212	BClock	GPLv2orlater	221
5618	bdmd	LGPLv3orlater	221
3704	beacon	GPLv2orlater	221
3703	beancounter	GPLv2orlater	221
6147	beanstalkc	Apache2.0	221
3702	beast	GPL	221
3701	beatforce	GPLv2orlater	221
5868	beautifulsoup	BSD_3Clause	221
5186	BeeCrypt	LGPLv2.1orlater	221
3699	beep	GPLv2	221
3700	beep-player	GPLv2orlater	221
6095	belooted	GPLv2orlater	221
5185	Benchmark-Timer	GPLv2	221
5592	bennu	LGPLv2.1	221
5184	BerkeleyDB	Sleepycat	221
3698	bestfit	GPLv2	221
3697	bff	BSD_3Clause	221
3696	bffft	GPLv2orlater	221
5211	BFilter	GPLv2orlater	221
6220	bfloop	Expat	221
6220	bfloop	GPLv3 with exception	221
3695	bfr	GPLv2	221
3694	bfsplit	GPLv2	221
3693	bgchanger	LGPLv2.1	221
5210	BHL	GPLv2orlater	221
3692	bhv	GPLv2orlater	221
5209	BIABAM	GPLv2orlater	221
3691	bib2html	GPLv2	221
5183	Bib2html	GPLv2orlater	221
3690	bib2xhtml	GPLv2orlater	221
3689	biblos	GPLv2orlater	221
5182	BibShelf	GPLv2orlater	221
5181	BidMonkey	LGPL	221
3688	bidwatcher	GPLv2orlater	221
3687	bie	GPL	221
3686	biew	GPLv2	221
5208	BIF	GPLv2	221
5180	Biferno	GPLv2orlater	221
5451	bigace	GPLv2orlater	221
