#  file: fsfProjectRelated2010-May.txt
#  package: fsfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of Free Software 
#  Foundation project information generated from the list of projects gathered 
#  in 2010-May
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#  
#  SELECT pi.proj_num, p.proj_unixname, pi.related_project_name, pi.datasource_id 
#  FROM fsf_project_related pi, fsf_projects p 
#  WHERE p.proj_num = pi.proj_num AND pi.datasource_id=221 
#  ORDER BY p.proj_unixname, pi.related_project_name
#
#  datasource_id = 221 is the 2010-May collection from FSF.
proj_num	proj_unixname	related_project_name	datasource_id
5293	2do	ackerTodo	221
5293	2do	Agnostos	221
5293	2do	nTodo	221
5293	2do	Odot	221
5293	2do	Tdl	221
5293	2do	To-Do	221
5293	2do	todolist.php	221
5293	2do	TuxToDo	221
5289	3dbattlego	CGoban	221
5289	3dbattlego	GNU go	221
5292	3DKit	Aqsis	221
5292	3DKit	Lib3ds	221
5287	4tH	bigFORTH	221
5287	4tH	gforth	221
5287	4tH	RetroForth	221
3955	a2b	uni2ascii	221
5286	A2K	mbot	221
5286	A2K	pjirc	221
5286	A2K	Tuxaator	221
3953	a2ps	Enscript 	221
3953	a2ps	Ghostview 	221
3953	a2ps	GNU ghostscript  	221
3953	a2ps	GNU trueprint	221
3953	a2ps	PPR	221
3948	aalib	Aewan	221
3948	aalib	aview	221
3948	aalib	Cave	221
3948	aalib	hasciicam	221
5750	aap	Agide	221
3946	aardvark	coreutils	221
3945	abc2ps	abcm2ps	221
3945	abc2ps	abcpp	221
3945	abc2ps	abcsh	221
3945	abc2ps	Denemo	221
3945	abc2ps	JedABC	221
3945	abc2ps	Lilypond	221
3945	abc2ps	Rosegarden	221
3945	abc2ps	TTRM	221
3944	abcde	LAME	221
3944	abcde	ripit	221
3944	abcde	ripperX	221
3943	abclock	BClock	221
3942	abcm2ps	abc2ps	221
3942	abcm2ps	abcpp	221
3942	abcm2ps	abcsh	221
3942	abcm2ps	JedABC	221
3941	abcpp	abc2ps	221
3941	abcpp	abcm2ps	221
3941	abcpp	abcsh	221
3941	abcpp	JedABC	221
3941	abcpp	TTRM	221
3940	abcsh	abc2ps	221
3940	abcsh	abcm2ps	221
3940	abcsh	abcpp	221
3940	abcsh	JedABC	221
3938	abiword	Cooledit	221
3938	abiword	Ted	221
3937	abook	mutt 	221
3952	aBridge	Autovaca	221
3952	aBridge	Duo	221
3952	aBridge	Euchre	221
3935	absense	AWOL	221
5263	AbsolutEngine	Drupal	221
5263	AbsolutEngine	eZ publish	221
5263	AbsolutEngine	Mambo	221
5263	AbsolutEngine	PHPX	221
5263	AbsolutEngine	TikiWiki	221
5263	AbsolutEngine	Typo3	221
5283	ACal	Active Calendar	221
5283	ACal	CGI Calendar	221
5283	ACal	MyCalendar	221
5283	ACal	Plans	221
5283	ACal	Wcal	221
3931	achievo	Achievo ATK	221
3931	achievo	Issue Dealer	221
3931	achievo	Pimengest2	221
3931	achievo	Planner	221
3931	achievo	taglog	221
3931	achievo	TaskJuggler	221
3931	achievo	ToutDoux	221
3930	achievoATK	Achievo	221
3930	achievoATK	Pimengest2	221
3929	ackerTodo	2do	221
3929	ackerTodo	nTodo	221
3929	ackerTodo	Odot	221
3929	ackerTodo	Tdl	221
3929	ackerTodo	To-Do	221
3929	ackerTodo	TuxToDo	221
5284	ACL2	clisp	221
5284	ACL2	CMUCL	221
5284	ACL2	Garnet	221
5284	ACL2	GCL	221
3928	acm	GL-117	221
3927	acme	wmxkb	221
3927	acme	xhkeys	221
3926	acmemail	PopDot	221
3925	acon	fribidi	221
3924	acovea	LLVM	221
3924	acovea	superopt	221
3921	active	GLUE	221
3921	active	Mioga	221
3921	active	Moregroupware	221
3921	active	PHP GroupWare	221
3921	active	TWIG	221
3921	active	TWiki	221
5262	ActiveCalendar	ACal	221
5262	ActiveCalendar	CGI Calendar	221
5262	ActiveCalendar	Plans	221
5262	ActiveCalendar	Wcal	221
5262	ActiveCalendar	WebCalendar	221
3920	adacom	Ada/Motif binding library	221
3920	adacom	AdacURL	221
3920	adacom	AdaSockets	221
3920	adacom	AdaUnits	221
3920	adacom	GNADE	221
3920	adacom	GNAT	221
3920	adacom	ImgSvr	221
3920	adacom	Intervals	221
5258	AdacURL	Ada Components	221
5258	AdacURL	curl	221
5258	AdacURL	GNADE	221
5258	AdacURL	GNAT	221
5258	AdacURL	GtkAda 	221
5258	AdacURL	Libcurl	221
5261	AdaDoc	Ada/Motif binding library	221
5261	AdaDoc	AdaUnits	221
5261	AdaDoc	GNADE	221
5261	AdaDoc	GNAT	221
5261	AdaDoc	Intervals	221
5260	AdaSockets	Ada Components	221
5260	AdaSockets	Ada/Motif binding library	221
5260	AdaSockets	AdaUnits	221
5260	AdaSockets	GNADE	221
5260	AdaSockets	GNAT	221
5260	AdaSockets	GtkAda 	221
5260	AdaSockets	Intervals	221
5259	AdaUnits	Ada Components	221
5259	AdaUnits	Ada/Motif binding library	221
5259	AdaUnits	AdaDoc	221
5259	AdaUnits	AdaSockets	221
5259	AdaUnits	GNADE	221
5259	AdaUnits	GNAT	221
5259	AdaUnits	GtkAda 	221
5259	AdaUnits	Intervals	221
3919	adcd	sbcd	221
3919	adcd	TCD	221
5257	Addendat	Addendat	221
5257	Addendat	BLOG-CMS	221
5257	Addendat	Blosxom	221
5257	Addendat	LiveJournal	221
5257	Addendat	Microblogger	221
5257	Addendat	MyBlog	221
5257	Addendat	Nanoblogger	221
5257	Addendat	NewsBruiser	221
5257	Addendat	PerlBlog	221
5257	Addendat	PluggedOutBlog	221
5257	Addendat	rb.log	221
5257	Addendat	Sadlittlewebjournal 	221
