#  file: fsfProjectRequirements2010-May.txt
#  package: fsfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of Free Software 
#  Foundation project information generated from the list of projects gathered 
#  in 2010-May
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#  
#  SELECT pi.proj_num, p.proj_unixname, pi.requirement, pi.requirement_type, pi.datasource_id 
#  FROM fsf_project_requirements pi, fsf_projects p 
#  WHERE p.proj_num = pi.proj_num AND pi.datasource_id=221 
#  ORDER BY p.proj_unixname, pi.requirement
#
#  datasource_id = 221 is the 2010-May collection from FSF.
proj_num	proj_unixname	requirement	requirement_type	datasource_id
5293	2do	MySQL 3.23.5	Use Requirement	221
5293	2do	PHP 4.2.0	Use Requirement	221
5289	3dbattlego	GLUT	Weak Prerequisite	221
5292	3DKit	glut	Weak Prerequisite	221
5292	3DKit	GNUStep	Use Requirement	221
5292	3DKit	GNUStep libraries	Build Prerequisite	221
5292	3DKit	Objective-C	Build Prerequisite	221
5292	3DKit	OpenGL 1.2	Use Requirement	221
5292	3DKit	OpenGL 1.2 copmliant graphics library	Build Prerequisite	221
5292	3DKit	SDL	Weak Prerequisite	221
5288	3dldf	CWEB	Use Requirement	221
5288	3dldf	dvips	Weak Prerequisite	221
5288	3dldf	make	Build Prerequisite	221
5288	3dldf	MetaPost	Use Requirement	221
5288	3dldf	PostScript viewer	Use Requirement	221
5288	3dldf	TeX	Weak Prerequisite	221
3954	a2png	libcairo	Weak Prerequisite	221
3954	a2png	libgd	Use Requirement	221
3953	a2ps	acroread	Weak Prerequisite	221
3953	a2ps	bzip2	Weak Prerequisite	221
3953	a2ps	dvips	Weak Prerequisite	221
3953	a2ps	etc.)	Use Requirement	221
3953	a2ps	Ghostscript	Weak Prerequisite	221
3953	a2ps	groff	Weak Prerequisite	221
3953	a2ps	GV	Weak Prerequisite	221
3953	a2ps	gzip	Weak Prerequisite	221
3953	a2ps	ImageMagick	Weak Prerequisite	221
3953	a2ps	LaTeX	Weak Prerequisite	221
