#  file: owDevProjects2010-May.txt
#  package: owRawData
#  description of file/package:
#
#  This package includes raw data files from our database of objectweb project 
#  information generated from the list of projects gathered in May of 2010
#
#  Raw html data was inserted into database by running our java-based objectweb 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, dev_loginname, is_admin, position, date_collected, datasource_id
#  FROM ow_developer_projects
#  WHERE datasource_id=220
#  ORDER BY proj_unixname, dev_loginname
#
#  datasource_id = 220 is the May 2010 run on objectweb.

proj_unixname	dev_loginname	is_admin	position	date_collected	datasource_id
acceleo	allilaire	0	Developer	2010-05-03 15:29:11	220
acceleo	cbrun	1	Developer	2010-05-03 15:29:11	220
acceleo	chouyas	0	Developer	2010-05-03 15:29:11	220
acceleo	cnotot	0	Developer	2010-05-03 15:29:11	220
acceleo	dbonneau	0	Developer	2010-05-03 15:29:11	220
acceleo	ejuliot	1	Developer	2010-05-03 15:29:11	220
acceleo	fgaudin	0	Developer	2010-05-03 15:29:11	220
acceleo	fmorel	0	Developer	2010-05-03 15:29:11	220
acceleo	ggebhart	0	Developer	2010-05-03 15:29:11	220
acceleo	glefur	0	Developer	2010-05-03 15:29:11	220
acceleo	greydet	0	Developer	2010-05-03 15:29:11	220
acceleo	integration	0	Developer	2010-05-03 15:29:11	220
acceleo	jbenois	0	Developer	2010-05-03 15:29:11	220
acceleo	jmusset	1	Project Manager	2010-05-03 15:29:11	220
acceleo	ldelaigue	0	Developer	2010-05-03 15:29:11	220
acceleo	lgoubet	0	Developer	2010-05-03 15:29:11	220
acceleo	mchauvin	0	Undefined	2010-05-03 15:29:11	220
acceleo	moddolibarr	0	Developer	2010-05-03 15:29:11	220
acceleo	nathalielepine	0	Undefined	2010-05-03 15:29:11	220
acceleo	plind	0	Developer	2010-05-03 15:29:11	220
acceleo	pounard	0	Developer	2010-05-03 15:29:11	220
acceleo	praguin	0	Developer	2010-05-03 15:29:11	220
acceleo	praynal	0	Developer	2010-05-03 15:29:11	220
acceleo	sadellahr	0	Developer	2010-05-03 15:29:11	220
acceleo	sbouchet	0	Developer	2010-05-03 15:29:11	220
acceleo	slacrampe	1	Undefined	2010-05-03 15:29:11	220
acceleo	sliard	0	Undefined	2010-05-03 15:29:11	220
acceleo	templth	0	Developer	2010-05-03 15:29:11	220
acceleo	toutpt	0	Developer	2010-05-03 15:29:11	220
acceleo	willpiers	0	Developer	2010-05-03 15:29:11	220
acceleo	ylussaud	0	Developer	2010-05-03 15:29:11	220
acceleo	ymortier	0	Developer	2010-05-03 15:29:11	220
accord	brunoborges	1	Project Manager	2010-05-03 15:29:14	220
accord	rmarins	1	Undefined	2010-05-03 15:29:14	220
apollon	contrera	1	Undefined	2010-05-03 15:29:16	220
apollon	jmesnil	0	Undefined	2010-05-03 15:29:16	220
apollon	rouvoy	0	Undefined	2010-05-03 15:29:16	220
asm	andrei	1	Project Manager	2010-05-03 15:29:19	220
asm	ebruneton	1	Project Manager	2010-05-03 15:29:19	220
asm	ekuleshov	1	Project Manager	2010-05-03 15:29:19	220
asm	forax	0	Developer	2010-05-03 15:29:19	220
aspire	angoca	0	Developer	2010-05-03 15:29:21	220
aspire	baz	0	Developer	2010-05-03 15:29:21	220
aspire	desertom	0	Developer	2010-05-03 15:29:21	220
aspire	donsez	1	Unix Admin	2010-05-03 15:29:21	220
aspire	elka	0	Developer	2010-05-03 15:29:21	220
aspire	fornacif	0	Developer	2010-05-03 15:29:21	220
aspire	gabo_pedraza	0	Developer	2010-05-03 15:29:21	220
aspire	gandrille	0	Developer	2010-05-03 15:29:21	220
aspire	jellart	0	Developer	2010-05-03 15:29:21	220
aspire	jpdomenge	0	Developer	2010-05-03 15:29:21	220
aspire	jsoldat	1	Unix Admin	2010-05-03 15:29:21	220
aspire	kievgama	0	Developer	2010-05-03 15:29:21	220
aspire	nektarios	0	Developer	2010-05-03 15:29:21	220
aspire	nkef	1	Unix Admin	2010-05-03 15:29:21	220
aspire	nkons	0	Developer	2010-05-03 15:29:21	220
aspire	rouvoy	0	Developer	2010-05-03 15:29:21	220
aspire	rudametw	0	Developer	2010-05-03 15:29:21	220
aspire	schmidt	0	Developer	2010-05-03 15:29:21	220
aspire	seintur	0	Developer	2010-05-03 15:29:21	220
aspire	simatic	0	Developer	2010-05-03 15:29:21	220
aspire	smyousuf	0	Undefined	2010-05-03 15:29:21	220
aspire	sribas	0	Undefined	2010-05-03 15:29:21	220
aspire	touseau	0	Developer	2010-05-03 15:29:21	220
aspire	vangelisk	0	Doc Writer	2010-05-03 15:29:21	220
aspire	yluo	0	Developer	2010-05-03 15:29:21	220
azuki	mjucker	1	Project Manager	2010-05-03 15:29:24	220
azuki	robertbakic	1	Project Manager	2010-05-03 15:29:24	220
azuki	yoannperrin	1	Project Manager	2010-05-03 15:29:24	220
barracudamvc	alci	1	Developer	2010-05-03 15:29:26	220
barracudamvc	bugfixer	1	Unix Admin	2010-05-03 15:29:26	220
barracudamvc	christianc	1	Developer	2010-05-03 15:29:26	220
barracudamvc	darthvader	1	Developer	2010-05-03 15:29:26	220
barracudamvc	deets	1	Developer	2010-05-03 15:29:26	220
barracudamvc	jkjome	1	Developer	2010-05-03 15:29:26	220
barracudamvc	lannocc	1	Developer	2010-05-03 15:29:26	220
been	andrej	0	Developer	2010-05-03 15:29:29	220
been	atrac	0	Developer	2010-05-03 15:29:29	220
been	brepcek	0	Developer	2010-05-03 15:29:29	220
been	ceres	1	Project Manager	2010-05-03 15:29:29	220
been	jiri_tauber	0	Developer	2010-05-03 15:29:29	220
been	lehotsky	0	Developer	2010-05-03 15:29:29	220
been	majda	1	Project Manager	2010-05-03 15:29:29	220
been	tkalibera	1	Project Manager	2010-05-03 15:29:29	220
been	tomcanyi	0	Developer	2010-05-03 15:29:29	220
been	tomecek	0	Developer	2010-05-03 15:29:29	220
been	urban	0	Developer	2010-05-03 15:29:29	220
bonita	anthony_b	0	Developer	2010-05-03 15:29:31	220
bonita	blachonm	0	Developer	2010-05-03 15:29:31	220
bonita	chaffotm	0	Developer	2010-05-03 15:29:31	220
bonita	charoy	0	Developer	2010-05-03 15:29:31	220
bonita	dparisek	0	Undefined	2010-05-03 15:29:31	220
bonita	egberts	0	Undefined	2010-05-03 15:29:31	220
bonita	elazzouzi	0	Developer	2010-05-03 15:29:31	220
bonita	hudson	0	Undefined	2010-05-03 15:29:31	220
bonita	joaninh	0	Undefined	2010-05-03 15:29:31	220
bonita	lejeuneg	0	Undefined	2010-05-03 15:29:31	220
bonita	mvaldes	1	Project Manager	2010-05-03 15:29:31	220
bonita	oscarbarrios	0	Developer	2010-05-03 15:29:31	220
bonita	porcherg	0	Developer	2010-05-03 15:29:31	220
bonita	rlg	1	Project Manager	2010-05-03 15:29:31	220
bonita	souillac	1	Project Manager	2010-05-03 15:29:31	220
bonita	vigneras	0	Developer	2010-05-03 15:29:31	220
bpmadmin	blachonm	0	Developer	2010-05-03 15:29:33	220
bpmadmin	brahime	0	Developer	2010-05-03 15:29:33	220
bpmadmin	dparisek	0	Developer	2010-05-03 15:29:33	220
bpmadmin	elkholymaggy	0	Developer	2010-05-03 15:29:33	220
bpmadmin	gaellalire	0	Undefined	2010-05-03 15:29:33	220
bpmadmin	hammamio	0	Developer	2010-05-03 15:29:33	220
bpmadmin	joaninh	0	Developer	2010-05-03 15:29:33	220
