#  file: owProjDesc2010-May.txt
#  package: owRawData
#  description of file/package:
#
#  This package includes raw data files from our database of objectweb project 
#  information generated from the list of projects gathered in May of 2010
#
#  Raw html data was inserted into database by running our java-based objectweb 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, description, date_collected, datasource_id
#  FROM ow_project_description
#  WHERE datasource_id=220
#  ORDER BY proj_unixname
#
#  datasource_id = 220 is the May 2010 run on objectweb.

proj_unixname	description	date_collected	datasource_id
acceleo	Acceleo is a code generator which uses the MDA approach to easily design applications with models. Acceleo is natively based on Eclipse EMF and can be extended to target any technology.	2010-05-03 15:36:06	220
accord	Accord is the first open source Odette FTP 2.0 product suite, providing functionalities to ease the integration of business partners with security and governance in mind. Project is licensed under GNU Affero GPL v3. 	2010-05-03 15:36:35	220
apollon	Generation engine able to build graphical user interfaces (GUI) from DTDs and customization models. This makes the GUIs adapted to the edition of XML documents.	2010-05-03 15:36:35	220
aspire	The AspireRFID project aims at developing and promoting an open-source, lightweight, standards-compliant, scalable, privacy-friendly, and integrated middleware to ease the development, the deployment and the management of RFID-based applications.	2010-05-03 15:36:35	220
barracudamvc	Barracuda is an open-source Presentation Framework designed to make it easier to build servlet based webapps by applying proven client-server patterns to the web development paradigm. It includes a DOM based templating mechanism for better separation	2010-05-03 15:36:35	220
been	BEEN: Framework for Integrating Performance Evaluation in Development Cycle	2010-05-03 15:36:36	220
bonita	Bonita Open Solution provides an intuitive and powerful Open Source BPM solution for simple to complex projects	2010-05-03 15:36:36	220
bpmadmin	NovaBPM is reference open source BPM platform embedding Bonita XPDL Workflow and Orchestra BPEL projects	2010-05-03 15:36:36	220
bsframework	The Bright Side Framework provides ready-to-use high level components to quickly build J2EE business applications accessed by rich java/Swing clients on HTTP.	2010-05-03 15:36:36	220
c-jdbc	Clustered JDBC gives your applications a transparent (no code modification) access to a cluster of databases even if your database engines are not cluster-aware.	2010-05-03 15:36:36	220
cardamom	CARDAMOM is a middleware framework that provides features to configure, deploy and execute near real-time, distributed and fault-tolerant applications.	2010-05-03 15:36:36	220
carol	CAROL (Common Architecture for RMI Objectweb Layer) is a Java RMI (Remote Methods Invocation) management tool.	2010-05-03 15:36:36	220
celtix	Celtix delivers a Java enterprise service bus (ESB) runtime and set of extensibility APIs, simplifying the construction, integration and flexible reuse of technical and business components using a standards-based, service-oriented architecture.	2010-05-03 15:36:36	220
clif	CLIF provides a flexible, extensible Java-based platform for scalable, distributed load injection and performance testing. With the Eclipse-based GUI, use provided or custom load injectors and probes, and run up to millions of vUsers per injector!	2010-05-03 15:36:36	220
cmi	CMI is a framework to enable clustering of all RMI objects. CMI aims to get scalability and high availability for RMI servers. Also, it ensures an up-to-date cluster view for clients and allows to change dynamically the algorithms of load-balancing.	2010-05-03 15:36:36	220
director	Enhydra Director implements web server plugins for Apache, IIS and IPlanet supporting advanced load balancing / clustering and runtime administration. Director can be used with plain Tomcat, Jetty, JBoss, JOnAS or Enhydra Server.	2010-05-03 15:36:36	220
dods	Enhydra DODS is a code generating O/R mapping tool with true SQL queries for predictable performance, configurable templates and data/query caching. Can be used in standalone applications, every application server and of course with Enhydra Server.	2010-05-03 15:36:36	220
dotnetj	DotNetJ is a middleware that gives .NET clients the ability to use Java components or J2EE applications. This project aims at providing .NET-to-Java interoperability without the bottleneck of web services.	2010-05-03 15:36:36	220
dream	Dream is a component-based software framework dedicated to the construction of communication middleware. It provides a component library (based on Fractal) and tools allowing the construction of various communication paradigms.	2010-05-03 15:36:36	220
dryverl	Dryverl is an XML dialect for specifying Erlang-to-C bindings as C port drivers, and a set of XSLT stylesheets that generate all of Erlang and C source code for a binding.	2010-05-03 15:36:36	220
dysoweb	Dysoweb provides modularity and dynamicity to serlvet based web applications. Based on OSGi it allows the dynamic deployment of services packaged as bundles.	2010-05-03 15:36:36	220
eaf	Enhydra Application Framework implements the Enhydra &quot;super-servlet&quot;, provides dynamic URL-JSESSIONID rewriting, PO caching, session-, database-, logging-, configuration- and XMLC APIs using adapters for different application servers.	2010-05-03 15:36:36	220
easywsdl	Easy WSDL Toolbox provides a simple and extensible library to handle  WSDL documents with a common and high level API. It handles both WSDL 1.1 or WSDL2.0	2010-05-03 15:36:36	220
eclipse-update	This project is used to manage the ObjectWeb Consortium Eclipse update sites (download.[fr2,us,zh].forge.objectweb.org/eclipse-update) which allow Eclipse users to download ObjectWeb plugins directly from Eclipse.	2010-05-03 15:36:36	220
edemos	Enhydra Demos contains many applications showing various aspects of Enhydra tools and technologies like EAF, XMLC, DODS, Barracuda, Flash, FOP, XSLT, WAP/WML, VXML, SOAP, etc.	2010-05-03 15:36:36	220
enhydra	Enhydra Server is the leading Open Source Java/XML application server supporting latest Servlet and Webservice standards. Enhydra Enterprise is based on JOnAS and supports the full J2EE stack.	2010-05-03 15:36:36	220
epaf	This tool is an Eclipse plug-in based on EPF, which can define process aspects and weave them into SPEM 2.0 (Software Process Engineering Meta-model 2.0) process models.	2010-05-03 15:36:36	220
exoplatform	eXo platform product line: a Portlet Container (JSR 168 + JSR 286 + WSRP2), a Java Content Repository (JCR - JSR 170), an AJAX based Portal (with WebOS layout), a full Enterprise Content Managament (ECM) and a Collaboration Suite 	2010-05-03 15:36:36	220
federid	The FederID project aim to offer a real solution of Identity Management and Identity Federation. Built on existing free software, it profits of the support and the financing of the French National Agency of Research.	2010-05-03 15:36:36	220
frascati	FraSCAti is a Java-based open source implementation of Service Component Architecture (SCA) specifications. Based on the OW2 Fractal component model, FraSCAti provides an open architecture to integrate new SCA component, binding, and intent technologies.	2010-05-03 15:36:36	220
fwkdemoiselle	Demoiselle Framework is a Java Application Framework designed to accelerate the development of transactional database Web applications.	2010-05-03 15:36:36	220
gasp	GASP project (GAming Services Platform) deals with middleware solutions to support Multiplayer Mobile Games (MMG) and Multiplayer Ubiquitous Games (MUGs), that implement and extends the Open Mobile Alliance GS specifications.	2010-05-03 15:36:36	220
gotm	GoTM (GoTM is an open Transaction Monitor) is a component-based framework for building various transaction services. GoTM is developped with the Fractal component model.	2010-05-03 15:36:36	220
howl	HOWL is a logger implementation providing features required by the JOTM project. HOWL uses unformatted binary logs to maximize performance and specifies a journalization API with methods necessary to support JOTM recovery operations.	2010-05-03 15:36:36	220
interldap	InterLDAP is an identity management project based on a Java framework. Main goals are to solve self-management, provisioning, access control and profil management.	2010-05-03 15:36:36	220
introspector	The introspector project aims to create a semantic interface into the GNU GCC compiler and other free tools. The data extracted will be useful for other object brokers. Currently hosted on sourceforge, we will be migrating the project to objectweb.	2010-05-03 15:36:36	220
ivy	This project is used to manage the OW2's Ivy Repository (ivy.objectweb.org) which allows project managers using ivy to use a commmon repository.	2010-05-03 15:36:36	220
j2ws	J2WS is a transforming tool to help develop web services efficiently.	2010-05-03 15:36:36	220
jac	Java Aspect Components (JAC) is a framework for aspect-oriented sofware development in Java.	2010-05-03 15:36:36	220
jasmine	JASMINe is an administration tool for the SOA platform aiming to simplify the administrator's job and reduce the management costs. It relies on an autonomic system (Jade project) for implementing some autonomous behaviors (self-repair, self-healing).	2010-05-03 15:36:36	220
jaspte	Bench4Q is a QoS oriented B2C benchmark for Internet Middleware. It makes many extensions of TPC-W, especially for load simulation and metrics analysis of a benchmark. This project is hosted on the Trustie forge, operated by the OW2 China Local Chapter.	2010-05-03 15:36:36	220
javaservice	JavaService allows server-type Java programs to be run in the background as a Windows NT/2000/XP system service (aka Unix daemon process).	2010-05-03 15:36:36	220
jawe	Enhydra JaWE is a graphical Java Workflow Editor according to WfMC specifications supporting XPDL as its native file format. JaWE can be used to edit workflow definitions for Enhydra Shark or every other XPDL conformant Workflow server.	2010-05-03 15:36:36	220
jeffree	Java Embedded Framework Free. Based on OSGi v2.0 specification.	2010-05-03 15:36:37	220
jmimetypelib	jmimetypelib is a java library used to find the mime-type of files and streams using file extension and/or magic numbers. Additionally it may return an icon to represent the mime-type file and a locale description.	2010-05-03 15:36:37	220
jnetcontrol	Management and configuring network equipment with support to Telnet protocol ie: Cisco tm, 3COM.	2010-05-03 15:36:37	220
jonas-doc	The jonas-doc project goal is to hold JOnAS documentation translations. The repository will contain one directory per language (French -&gt; jonas-doc-fr, German -&gt; jonas-doc-de, ...).	2010-05-03 15:36:37	220
jonathan	Jonathan is an open source adaptable distributed object platform, which currently provides several personalities, including on compliant with the OMG CORBA specifications and another with the RMI specification.	2010-05-03 15:36:37	220
joram	JORAM (Java Open Reliable Asynchronous Messaging) is an open source implementation of the JMS (Java Message Service) 1.1 API.	2010-05-03 15:36:37	220
jorm	JORM (Java Object Repository Mapping) is an open source adaptable persistence service.	2010-05-03 15:36:37	220
jotm	JOTM (Java Open Transaction Manager) is a fully functional open source standalone transaction manager that implements the XA protocol and is compliant with the JTA APIs.	2010-05-03 15:36:37	220
jsurvey	The purpose of JSurvey is to provide tools for building online survey based on Java (J2EE) technologies. For the moment JSurvey is a started project so there is only a cvs repository with the sources of an online graphical survey example. see the cvs REA	2010-05-03 15:36:37	220
kelp	Enhydra Kelp is the IDE plugin for JBuilder, Netbeans, Eclipse and JDeveloper integrating EAF, Enhydra XMLC and Enhydra DODS into your favorite development environment. It also includes an application wizard for your first steps.	2010-05-03 15:36:37	220
kilim	Kilim is a generic configuration framework based on the concept of configuration by software assembly.	2010-05-03 15:36:37	220
kilim2	This project has not yet submitted a description.	2010-05-03 15:36:37	220
lemonldap	LemonLDAP::NG is a single sign on handler for Apache web server. It manages several levels of cache and gets authentication data from an LDAP directory.	2010-05-03 15:36:37	220
lewys	LeWYS hosts a number of frameworks related to monitoring, based on OW2 Fractal component model. It contains a primary module called lewys, a Fractal monitoring framework providing a library of probes for both hardware and software resources.	2010-05-03 15:36:37	220
lomboz	Lomboz is an eclipse plug-in for J2EE developers by extending eclipse JDT. It employs some of the proven open-source technologies. Supporting the complete development cycle: Code, deploy, test and debug.	2010-05-03 15:36:37	220
maven	This project is used to manage the ObjectWeb's Maven Repository (maven.objectweb.org) which allows project managers using maven to use a commmon repository.	2010-05-03 15:36:37	220
mesh	Mesh is a proxy for a remote JDBC driver, which can be accessed as though it were local. 	2010-05-03 15:36:37	220
