#  file: owProjectInfo2010-May.txt
#  package: owRawData
#  description of file/package:
#
#  This package includes raw data files from our database of objectweb project 
#  information generated from the list of projects gathered in May of 2010
#
#  Raw html data was inserted into database by running our java-based objectweb 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, url, date_registered, proj_long_name, proj_id_num, 
#  activity_percentile, dev_count, date_collected, datasource_id
#  FROM ow_projects
#  WHERE datasource_id=220
#  ORDER BY proj_unixname;
#
#  datasource_id = 220 is the May 2010 run on objectweb.

proj_unixname	url	date_registered	proj_long_name	proj_id_num	dev_count	date_collected	datasource_id
acceleo	http://forge.objectweb.org/projects/acceleo	2006-09-07 18:22:00	Acceleo	273	32	NULL	220
accord	http://forge.objectweb.org/projects/accord	2009-11-27 20:23:00	ACCORD	369	2	NULL	220
apollon	http://forge.objectweb.org/projects/apollon	2003-04-22 16:38:00	Apollon	68	3	NULL	220
asm	http://forge.objectweb.org/projects/asm	2002-07-11 09:58:00	ASM	23	4	NULL	220
aspire	http://forge.objectweb.org/projects/aspire	2008-06-03 16:13:00	AspireRFID	324	25	NULL	220
azuki	http://forge.objectweb.org/projects/azuki	2007-11-30 17:55:00	Azuki Framework	315	3	NULL	220
barracudamvc	http://forge.objectweb.org/projects/barracudamvc	2003-11-11 20:39:00	BarracudaMVC	91	7	NULL	220
been	http://forge.objectweb.org/projects/been	2006-05-25 14:25:00	BEEN: Performance Evaluation Framework	259	11	NULL	220
bonita	http://forge.objectweb.org/projects/bonita	2003-02-14 15:17:00	Bonita	56	16	NULL	220
bpmadmin	http://forge.objectweb.org/projects/bpmadmin	2007-02-06 12:06:00	NovaBPM	293	13	NULL	220
bsframework	http://forge.objectweb.org/projects/bsframework	2003-12-03 11:27:00	Bright Side Framework	95	4	NULL	220
byline	http://forge.objectweb.org/projects/byline	2004-08-16 16:31:00	Byline	143	13	NULL	220
