#  file: owProjTopic2010-May.txt
#  package: owRawData
#  description of file/package:
#
#  This package includes raw data files from our database of objectweb project 
#  information generated from the list of projects gathered in May of 2010
#
#  Raw html data was inserted into database by running our java-based objectweb 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, code, description, date_collected, datasource_id
#  FROM ow_project_topic
#  WHERE datasource_id=220
#  ORDER BY proj_unixname
#
#  datasource_id = 220 is the May 2010 run on objectweb.

proj_unixname	code	description	date_collected	datasource_id
acceleo	259	Code Generators	2010-05-03 15:36:06	220
apollon	259	Code Generators	2010-05-03 15:36:35	220
asm	259	Code Generators	2010-05-03 15:36:35	220
aspire	234	Other/Nonlisted Topic	2010-05-03 15:36:35	220
aspire	75	Financial	2010-05-03 15:36:35	220
aspire	20	Communications	2010-05-03 15:36:35	220
azuki	45	Software Development	2010-05-03 15:36:35	220
barracudamvc	92	Dynamic Content	2010-05-03 15:36:36	220
barracudamvc	45	Software Development	2010-05-03 15:36:36	220
been	138	Benchmark	2010-05-03 15:36:36	220
been	45	Software Development	2010-05-03 15:36:36	220
bonita	87	Internet	2010-05-03 15:36:36	220
bonita	45	Software Development	2010-05-03 15:36:36	220
bsframework	45	Software Development	2010-05-03 15:36:36	220
byline	66	Database	2010-05-03 15:36:36	220
byline	243	Site Management	2010-05-03 15:36:36	220
c-jdbc	66	Database	2010-05-03 15:36:36	220
c-jdbc	141	Clustering/Distributed Networks	2010-05-03 15:36:36	220
cardamom	51	CORBA	2010-05-03 15:36:36	220
carol	87	Internet	2010-05-03 15:36:36	220
clif	138	Benchmark	2010-05-03 15:36:36	220
director	250	HTTP Servers	2010-05-03 15:36:36	220
dods	66	Database	2010-05-03 15:36:36	220
dods	234	Other/Nonlisted Topic	2010-05-03 15:36:36	220
dods	259	Code Generators	2010-05-03 15:36:36	220
dotnetj	50	Object Brokering	2010-05-03 15:36:36	220
dream	150	Networking	2010-05-03 15:36:36	220
dryverl	259	Code Generators	2010-05-03 15:36:36	220
dysoweb	92	Dynamic Content	2010-05-03 15:36:36	220
eaf	92	Dynamic Content	2010-05-03 15:36:36	220
edemos	92	Dynamic Content	2010-05-03 15:36:36	220
edemos	250	HTTP Servers	2010-05-03 15:36:36	220
enhydra	66	Database	2010-05-03 15:36:36	220
enhydra	87	Internet	2010-05-03 15:36:36	220
enhydra	234	Other/Nonlisted Topic	2010-05-03 15:36:36	220
exoplatform	46	Build Tools	2010-05-03 15:36:36	220
exoplatform	243	Site Management	2010-05-03 15:36:36	220
federid	87	Internet	2010-05-03 15:36:36	220
fractal	45	Software Development	2010-05-03 15:36:36	220
gasp	20	Communications	2010-05-03 15:36:36	220
gotm	45	Software Development	2010-05-03 15:36:36	220
howl	148	Logging	2010-05-03 15:36:36	220
initiativebi	66	Database	2010-05-03 15:36:36	220
initiativebi	129	Office/Business	2010-05-03 15:36:36	220
initiativebi	45	Software Development	2010-05-03 15:36:36	220
interldap	87	Internet	2010-05-03 15:36:36	220
introspector	135	Visualization	2010-05-03 15:36:36	220
introspector	259	Code Generators	2010-05-03 15:36:36	220
introspector	48	Compilers	2010-05-03 15:36:36	220
ishmael	46	Build Tools	2010-05-03 15:36:36	220
ishmael	41	Packaging	2010-05-03 15:36:36	220
ishmael	257	Software Distribution	2010-05-03 15:36:36	220
jac	45	Software Development	2010-05-03 15:36:36	220
jaspte	138	Benchmark	2010-05-03 15:36:36	220
javaservice	253	Systems Administration	2010-05-03 15:36:36	220
javaservice	139	Boot	2010-05-03 15:36:36	220
javaservice	45	Software Development	2010-05-03 15:36:36	220
jawe	107	Vector-Based	2010-05-03 15:36:37	220
jorm	66	Database	2010-05-03 15:36:37	220
jotm	66	Database	2010-05-03 15:36:37	220
