#  file: rfDevProjects2010-May.txt
#  package: rfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of RubyForge project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw html data was inserted into database by running our java-based Rubyforge 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, dev_loginname, is_admin, position, date_collected, datasource_id
#  FROM rf_developer_projects
#  WHERE datasource_id=219
#  ORDER BY proj_unixname, dev_loginname
#
#  datasource_id = 219 is the 2010-May run on Rubyforge.

proj_unixname	dev_loginname	is_admin	position	date_collected	datasource_id
aaa-openid	airportyh	1	Default	2010-05-03 15:10:04	219
aaap	scottned	1	Default	2010-05-03 15:10:07	219
aaar	mdelgrosso	1	Default	2010-05-03 15:10:11	219
aabytefield	cblackburn	1	Admin	2010-05-03 15:10:15	219
aafc	jimcropcho	1	Admin	2010-05-03 15:10:19	219
aafc	tobinibot	1	Admin	2010-05-03 15:10:19	219
aalib-ruby	toyboat	1	Default	2010-05-03 15:10:23	219
aamm	zenithar	1	Default	2010-05-03 15:10:26	219
aapc	dorrenchen	1	Default	2010-05-03 15:10:30	219
aargvark	zopio	1	Default	2010-05-03 15:10:34	219
aaserverbrowser	tttonyyy	1	Default	2010-05-03 15:10:38	219
aaserviceobject	toric	1	Default	2010-05-03 15:10:42	219
aasubscribeable	railsjitsu	1	Default	2010-05-03 15:10:46	219
aaws	jnunemaker	1	Default	2010-05-03 15:10:51	219
ab-ext	angelbob	1	Default	2010-05-03 15:10:55	219
abcde	dylanegan	1	Default	2010-05-03 15:10:58	219
abcproject	drynish	1	Default	2010-05-03 15:11:02	219
abebooks4r	hasham	1	Default	2010-05-03 15:11:07	219
abelo	leandronunes	1	Default	2010-05-03 15:11:11	219
abookfetcher	giovannelli	1	Default	2010-05-03 15:11:15	219
abplotter	drummr77	1	Default	2010-05-03 15:11:20	219
absrenamer	happynoff	1	Admin	2010-05-03 15:11:23	219
