#  file: rfProjectEnvironment2010-May.txt
#  package: rfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of RubyForge project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw html data was inserted into database by running our java-based Rubyforge 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, code, description, date_collected, datasource_id
#  FROM rf_project_environment
#  WHERE datasource_id=219
#  ORDER BY proj_unixname
#
#  datasource_id = 219 is the 2010-May run on Rubyforge.

proj_unixname	code	description	date_collected	datasource_id
aaap	237	Web Environment	2010-05-04 12:53:43	219
aalib-ruby	227	Curses	2010-05-04 12:53:43	219
aalib-ruby	229	X11 Applications	2010-05-04 12:53:43	219
aamm	233	Other Environment	2010-05-04 12:53:44	219
aamm	237	Web Environment	2010-05-04 12:53:44	219
aapc	237	Web Environment	2010-05-04 12:53:44	219
aargvark	226	Console (Text Based)	2010-05-04 12:53:44	219
aaserverbrowser	230	Win32 (MS Windows)	2010-05-04 12:53:44	219
aaserverbrowser	231	Gnome	2010-05-04 12:53:44	219
absrenamer	226	Console (Text Based)	2010-05-04 12:53:44	219
accelerator	226	Console (Text Based)	2010-05-04 12:53:44	219
accounting	237	Web Environment	2010-05-04 12:53:44	219
accounts4free	237	Web Environment	2010-05-04 12:53:44	219
accra	237	Web Environment	2010-05-04 12:53:44	219
aclport	237	Web Environment	2010-05-04 12:53:44	219
aclsystem	237	Web Environment	2010-05-04 12:53:44	219
act-as-debug	229	X11 Applications	2010-05-04 12:53:44	219
act-as-debug	230	Win32 (MS Windows)	2010-05-04 12:53:44	219
actasenherit	237	Web Environment	2010-05-04 12:53:44	219
actionflow	237	Web Environment	2010-05-04 12:53:44	219
actir4cdp	226	Console (Text Based)	2010-05-04 12:53:44	219
actir4cdp	237	Web Environment	2010-05-04 12:53:44	219
active-lastfm	229	X11 Applications	2010-05-04 12:53:44	219
active-lastfm	237	Web Environment	2010-05-04 12:53:44	219
active-lastfm	226	Console (Text Based)	2010-05-04 12:53:44	219
active-rbac	238	No Input/Output (Daemon)	2010-05-04 12:53:44	219
active-relation	238	No Input/Output (Daemon)	2010-05-04 12:53:45	219
active-relation	233	Other Environment	2010-05-04 12:53:45	219
active-relation	237	Web Environment	2010-05-04 12:53:45	219
activeacl	237	Web Environment	2010-05-04 12:53:45	219
activedirectory	233	Other Environment	2010-05-04 12:53:45	219
activeflow	237	Web Environment	2010-05-04 12:53:45	219
activeform	237	Web Environment	2010-05-04 12:53:45	219
activelocale	237	Web Environment	2010-05-04 12:53:45	219
activemdb	226	Console (Text Based)	2010-05-04 12:53:45	219
activemdb	233	Other Environment	2010-05-04 12:53:45	219
activerdf	237	Web Environment	2010-05-04 12:53:45	219
activerdf	233	Other Environment	2010-05-04 12:53:45	219
activerdf	226	Console (Text Based)	2010-05-04 12:53:45	219
activerdf-rules	238	No Input/Output (Daemon)	2010-05-04 12:53:45	219
activeresources	237	Web Environment	2010-05-04 12:53:45	219
activerest	237	Web Environment	2010-05-04 12:53:45	219
activerevver	237	Web Environment	2010-05-04 12:53:45	219
activerubic	237	Web Environment	2010-05-04 12:53:45	219
activesearch	233	Other Environment	2010-05-04 12:53:45	219
activesearch	237	Web Environment	2010-05-04 12:53:45	219
activesms	237	Web Environment	2010-05-04 12:53:45	219
activesocial	237	Web Environment	2010-05-04 12:53:45	219
activetest	237	Web Environment	2010-05-04 12:53:45	219
activetest	226	Console (Text Based)	2010-05-04 12:53:45	219
activewarehouse	237	Web Environment	2010-05-04 12:53:45	219
activitystreams	226	Console (Text Based)	2010-05-04 12:53:45	219
activrecord2sdb	237	Web Environment	2010-05-04 12:53:46	219
acts-as-cortado	237	Web Environment	2010-05-04 12:53:46	219
acts-as-matree	237	Web Environment	2010-05-04 12:53:46	219
acts-as-secured	237	Web Environment	2010-05-04 12:53:46	219
acts-as-solr	237	Web Environment	2010-05-04 12:53:46	219
acts-as-toucher	237	Web Environment	2010-05-04 12:53:46	219
acts-pollable	237	Web Environment	2010-05-04 12:53:46	219
acts-voteable	237	Web Environment	2010-05-04 12:53:46	219
actsascatalog	237	Web Environment	2010-05-04 12:53:46	219
actsasferret	237	Web Environment	2010-05-04 12:53:46	219
actsasformatted	237	Web Environment	2010-05-04 12:53:46	219
actsasmodified	237	Web Environment	2010-05-04 12:53:46	219
actsasrenderer	237	Web Environment	2010-05-04 12:53:46	219
actsasresource	237	Web Environment	2010-05-04 12:53:46	219
actsassvn	237	Web Environment	2010-05-04 12:53:46	219
actsasupload	237	Web Environment	2010-05-04 12:53:46	219
ad4ruby	233	Other Environment	2010-05-04 12:53:46	219
addressable	226	Console (Text Based)	2010-05-04 12:53:46	219
addressable	237	Web Environment	2010-05-04 12:53:46	219
adesklets-ruby	229	X11 Applications	2010-05-04 12:53:46	219
adminpage	226	Console (Text Based)	2010-05-04 12:53:47	219
adminscaffold	237	Web Environment	2010-05-04 12:53:47	219
admob	237	Web Environment	2010-05-04 12:53:47	219
admreq	237	Web Environment	2010-05-04 12:53:47	219
adocca-plugins	237	Web Environment	2010-05-04 12:53:47	219
adsense	237	Web Environment	2010-05-04 12:53:47	219
