#  file: rfProjIntAud2010-May.txt
#  package: rfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of RubyForge project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw html data was inserted into database by running our java-based Rubyforge 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, code, description, date_collected, datasource_id
#  FROM rf_project_intended_audience
#  WHERE datasource_id=219
#  ORDER BY proj_unixname
#
#  datasource_id = 219 is the 2010-May run on Rubyforge.

proj_unixname	code	description	date_collected	datasource_id
aaap	3	Developers	2010-05-04 12:53:43	219
aabytefield	3	Developers	2010-05-04 12:53:43	219
aafc	3	Developers	2010-05-04 12:53:43	219
aalib-ruby	3	Developers	2010-05-04 12:53:43	219
aamm	3	Developers	2010-05-04 12:53:44	219
aapc	3	Developers	2010-05-04 12:53:44	219
aargvark	3	Developers	2010-05-04 12:53:44	219
aaserverbrowser	2	End Users/Desktop	2010-05-04 12:53:44	219
abplotter	4	System Administrators	2010-05-04 12:53:44	219
absrenamer	4	System Administrators	2010-05-04 12:53:44	219
absrenamer	2	End Users/Desktop	2010-05-04 12:53:44	219
absrenamer	3	Developers	2010-05-04 12:53:44	219
abundance	3	Developers	2010-05-04 12:53:44	219
abundance	4	System Administrators	2010-05-04 12:53:44	219
accelerator	3	Developers	2010-05-04 12:53:44	219
accelerator	4	System Administrators	2010-05-04 12:53:44	219
accounting	3	Developers	2010-05-04 12:53:44	219
accounting	2	End Users/Desktop	2010-05-04 12:53:44	219
accounts4free	3	Developers	2010-05-04 12:53:44	219
accounts4free	2	End Users/Desktop	2010-05-04 12:53:44	219
accra	2	End Users/Desktop	2010-05-04 12:53:44	219
aclport	3	Developers	2010-05-04 12:53:44	219
aclsystem	3	Developers	2010-05-04 12:53:44	219
act-as-debug	3	Developers	2010-05-04 12:53:44	219
actasenherit	3	Developers	2010-05-04 12:53:44	219
actionflow	3	Developers	2010-05-04 12:53:44	219
actionpool	3	Developers	2010-05-04 12:53:44	219
actiontimer	3	Developers	2010-05-04 12:53:44	219
actir4cdp	3	Developers	2010-05-04 12:53:44	219
actir4cdp	4	System Administrators	2010-05-04 12:53:44	219
active-lastfm	3	Developers	2010-05-04 12:53:44	219
active-rbac	3	Developers	2010-05-04 12:53:44	219
active-relation	3	Developers	2010-05-04 12:53:45	219
activeacl	3	Developers	2010-05-04 12:53:45	219
activedirectory	3	Developers	2010-05-04 12:53:45	219
activedirectory	4	System Administrators	2010-05-04 12:53:45	219
activeflow	3	Developers	2010-05-04 12:53:45	219
activeform	3	Developers	2010-05-04 12:53:45	219
activelocale	3	Developers	2010-05-04 12:53:45	219
activemdb	4	System Administrators	2010-05-04 12:53:45	219
activemdb	3	Developers	2010-05-04 12:53:45	219
activemerchant	3	Developers	2010-05-04 12:53:45	219
activerdf	3	Developers	2010-05-04 12:53:45	219
activerdf-rules	3	Developers	2010-05-04 12:53:45	219
activerecord	3	Developers	2010-05-04 12:53:45	219
activeresources	3	Developers	2010-05-04 12:53:45	219
activerest	3	Developers	2010-05-04 12:53:45	219
activerevver	3	Developers	2010-05-04 12:53:45	219
activerubic	3	Developers	2010-05-04 12:53:45	219
activesearch	3	Developers	2010-05-04 12:53:45	219
activesfdc	4	System Administrators	2010-05-04 12:53:45	219
activesfdc	3	Developers	2010-05-04 12:53:45	219
activesms	3	Developers	2010-05-04 12:53:45	219
activesms	4	System Administrators	2010-05-04 12:53:45	219
activesocial	3	Developers	2010-05-04 12:53:45	219
activetest	3	Developers	2010-05-04 12:53:45	219
activewarehouse	3	Developers	2010-05-04 12:53:45	219
activeyahoo	3	Developers	2010-05-04 12:53:45	219
activitystreams	3	Developers	2010-05-04 12:53:45	219
activrecord2sdb	3	Developers	2010-05-04 12:53:46	219
acts-as-aln	3	Developers	2010-05-04 12:53:46	219
acts-as-cortado	3	Developers	2010-05-04 12:53:46	219
acts-as-matree	3	Developers	2010-05-04 12:53:46	219
acts-as-secured	3	Developers	2010-05-04 12:53:46	219
acts-as-solr	3	Developers	2010-05-04 12:53:46	219
acts-as-toucher	3	Developers	2010-05-04 12:53:46	219
acts-as-tsearch	3	Developers	2010-05-04 12:53:46	219
acts-pollable	3	Developers	2010-05-04 12:53:46	219
acts-voteable	3	Developers	2010-05-04 12:53:46	219
actsascatalog	3	Developers	2010-05-04 12:53:46	219
actsasferret	3	Developers	2010-05-04 12:53:46	219
actsasformatted	3	Developers	2010-05-04 12:53:46	219
actsasmodified	3	Developers	2010-05-04 12:53:46	219
actsasrenderer	3	Developers	2010-05-04 12:53:46	219
actsasresource	3	Developers	2010-05-04 12:53:46	219
actsassvn	3	Developers	2010-05-04 12:53:46	219
actsastrashable	3	Developers	2010-05-04 12:53:46	219
actsasupload	3	Developers	2010-05-04 12:53:46	219
ad4ruby	3	Developers	2010-05-04 12:53:46	219
adaptation	4	System Administrators	2010-05-04 12:53:46	219
adaptation	3	Developers	2010-05-04 12:53:46	219
addressable	3	Developers	2010-05-04 12:53:46	219
adesklets-ruby	3	Developers	2010-05-04 12:53:46	219
adesklets-ruby	2	End Users/Desktop	2010-05-04 12:53:46	219
adhearsion	4	System Administrators	2010-05-04 12:53:46	219
adhearsion	5	Other Audience	2010-05-04 12:53:46	219
adhearsion	3	Developers	2010-05-04 12:53:46	219
adminpage	3	Developers	2010-05-04 12:53:47	219
adminscaffold	3	Developers	2010-05-04 12:53:47	219
admob	3	Developers	2010-05-04 12:53:47	219
admreq	3	Developers	2010-05-04 12:53:47	219
adobeshare	3	Developers	2010-05-04 12:53:47	219
adobeshare	4	System Administrators	2010-05-04 12:53:47	219
adocca-plugins	3	Developers	2010-05-04 12:53:47	219
adsense	3	Developers	2010-05-04 12:53:47	219
adsf	3	Developers	2010-05-04 12:53:47	219
adsf	2	End Users/Desktop	2010-05-04 12:53:47	219
advabest	3	Developers	2010-05-04 12:53:47	219
advabest	2	End Users/Desktop	2010-05-04 12:53:47	219
advabest	4	System Administrators	2010-05-04 12:53:47	219
advertnet	3	Developers	2010-05-04 12:53:47	219
advocasee	3	Developers	2010-05-04 12:53:47	219
advocasee	2	End Users/Desktop	2010-05-04 12:53:47	219
adwallah	2	End Users/Desktop	2010-05-04 12:53:47	219
aeditor	3	Developers	2010-05-04 12:53:47	219
aethyr	3	Developers	2010-05-04 12:53:47	219
aethyr	4	System Administrators	2010-05-04 12:53:47	219
affected-items	3	Developers	2010-05-04 12:53:47	219
afphelper	3	Developers	2010-05-04 12:53:47	219
agg4r	3	Developers	2010-05-04 12:53:47	219
ago	3	Developers	2010-05-04 12:53:47	219
agora	3	Developers	2010-05-04 12:53:47	219
agora	2	End Users/Desktop	2010-05-04 12:53:47	219
agoraruby	2	End Users/Desktop	2010-05-04 12:53:47	219
agtools	3	Developers	2010-05-04 12:53:47	219
ahft	2	End Users/Desktop	2010-05-04 12:53:47	219
ai-app-prog	3	Developers	2010-05-04 12:53:47	219
ai4r	3	Developers	2010-05-04 12:53:47	219
ai4r	5	Other Audience	2010-05-04 12:53:47	219
aikidosalvador	2	End Users/Desktop	2010-05-04 12:53:47	219
aiml-programr	2	End Users/Desktop	2010-05-04 12:53:47	219
airport	3	Developers	2010-05-04 12:53:47	219
airscript-fe	2	End Users/Desktop	2010-05-04 12:53:47	219
ajax-grid	3	Developers	2010-05-04 12:53:48	219
ajaxscaffold	3	Developers	2010-05-04 12:53:48	219
aka	2	End Users/Desktop	2010-05-04 12:53:48	219
aka	3	Developers	2010-05-04 12:53:48	219
akiba	3	Developers	2010-05-04 12:53:48	219
akisu	3	Developers	2010-05-04 12:53:48	219
akisu	2	End Users/Desktop	2010-05-04 12:53:48	219
akisu	4	System Administrators	2010-05-04 12:53:48	219
alacarte	4	System Administrators	2010-05-04 12:53:48	219
alacarte	3	Developers	2010-05-04 12:53:48	219
alexandria	2	End Users/Desktop	2010-05-04 12:53:48	219
algorithms	3	Developers	2010-05-04 12:53:48	219
allegro4r	3	Developers	2010-05-04 12:53:48	219
allinoneruby	3	Developers	2010-05-04 12:53:48	219
alogr	3	Developers	2010-05-04 12:53:48	219
alogr	4	System Administrators	2010-05-04 12:53:48	219
alph	3	Developers	2010-05-04 12:53:48	219
alphabar	3	Developers	2010-05-04 12:53:48	219
alumina	3	Developers	2010-05-04 12:53:48	219
alumnionrails	2	End Users/Desktop	2010-05-04 12:53:48	219
aman	4	System Administrators	2010-05-04 12:53:48	219
amatch	3	Developers	2010-05-04 12:53:48	219
amazing	2	End Users/Desktop	2010-05-04 12:53:48	219
amazon	4	System Administrators	2010-05-04 12:53:48	219
amazon	3	Developers	2010-05-04 12:53:48	219
amazon-ec2	3	Developers	2010-05-04 12:53:48	219
amazon-ec2	4	System Administrators	2010-05-04 12:53:48	219
amazon-fps-ruby	3	Developers	2010-05-04 12:53:48	219
amber	4	System Administrators	2010-05-04 12:53:48	219
amber	3	Developers	2010-05-04 12:53:48	219
ambient	3	Developers	2010-05-04 12:53:48	219
ambitioussphinx	3	Developers	2010-05-04 12:53:48	219
ambling	3	Developers	2010-05-04 12:53:48	219
amf4r	3	Developers	2010-05-04 12:53:48	219
amfc	3	Developers	2010-05-04 12:53:49	219
amqp	3	Developers	2010-05-04 12:53:49	219
amqp	4	System Administrators	2010-05-04 12:53:49	219
amused	4	System Administrators	2010-05-04 12:53:49	219
amused	2	End Users/Desktop	2010-05-04 12:53:49	219
amused	3	Developers	2010-05-04 12:53:49	219
analogger	3	Developers	2010-05-04 12:53:49	219
analogger	4	System Administrators	2010-05-04 12:53:49	219
anchor	2	End Users/Desktop	2010-05-04 12:53:49	219
andrewid	3	Developers	2010-05-04 12:53:49	219
anemone	3	Developers	2010-05-04 12:53:49	219
