#  file: rfProjLicense2010-May.txt
#  package: rfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of RubyForge project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw html data was inserted into database by running our java-based Rubyforge 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, code, description, date_collected, datasource_id
#  FROM rf_project_licenses
#  WHERE datasource_id=219
#  ORDER BY proj_unixname
#
#  datasource_id = 219 is the 2010-May run on Rubyforge.

proj_unixname	code	description	date_collected	datasource_id
aaap	187	BSD License	2010-05-04 12:53:43	219
aabytefield	188	MIT/X Consortium License	2010-05-04 12:53:43	219
aafc	188	MIT/X Consortium License	2010-05-04 12:53:43	219
aalib-ruby	15	GNU General Public License (GPL) version 2	2010-05-04 12:53:43	219
aalib-ruby	307	Ruby License	2010-05-04 12:53:43	219
aamm	307	Ruby License	2010-05-04 12:53:44	219
aapc	307	Ruby License	2010-05-04 12:53:44	219
aaserverbrowser	16	GNU Lesser General Public License (LGPL)	2010-05-04 12:53:44	219
ab-ext	307	Ruby License	2010-05-04 12:53:44	219
abplotter	188	MIT/X Consortium License	2010-05-04 12:53:44	219
absrenamer	316	GNU General Public License (GPL) version 3	2010-05-04 12:53:44	219
abundance	188	MIT/X Consortium License	2010-05-04 12:53:44	219
accounting	15	GNU General Public License (GPL) version 2	2010-05-04 12:53:44	219
accounting	316	GNU General Public License (GPL) version 3	2010-05-04 12:53:44	219
accounts4free	316	GNU General Public License (GPL) version 3	2010-05-04 12:53:44	219
accounts4free	15	GNU General Public License (GPL) version 2	2010-05-04 12:53:44	219
accra	187	BSD License	2010-05-04 12:53:44	219
aclport	316	GNU General Public License (GPL) version 3	2010-05-04 12:53:44	219
aclsystem	188	MIT/X Consortium License	2010-05-04 12:53:44	219
act-as-debug	307	Ruby License	2010-05-04 12:53:44	219
actasenherit	307	Ruby License	2010-05-04 12:53:44	219
actionflow	315	Creative Commons	2010-05-04 12:53:44	219
actionpool	16	GNU Lesser General Public License (LGPL)	2010-05-04 12:53:44	219
actiontimer	16	GNU Lesser General Public License (LGPL)	2010-05-04 12:53:44	219
actir4cdp	187	BSD License	2010-05-04 12:53:44	219
active-lastfm	307	Ruby License	2010-05-04 12:53:44	219
active-rbac	187	BSD License	2010-05-04 12:53:44	219
active-relation	16	GNU Lesser General Public License (LGPL)	2010-05-04 12:53:45	219
activeacl	16	GNU Lesser General Public License (LGPL)	2010-05-04 12:53:45	219
activedirectory	316	GNU General Public License (GPL) version 3	2010-05-04 12:53:45	219
activeflow	317	GNU General Public License (GPL) version 1	2010-05-04 12:53:45	219
activeform	14	OSI Approved	2010-05-04 12:53:45	219
activelocale	188	MIT/X Consortium License	2010-05-04 12:53:45	219
activemdb	188	MIT/X Consortium License	2010-05-04 12:53:45	219
activemerchant	188	MIT/X Consortium License	2010-05-04 12:53:45	219
activerdf	16	GNU Lesser General Public License (LGPL)	2010-05-04 12:53:45	219
activerdf-rules	187	BSD License	2010-05-04 12:53:45	219
activerecord	188	MIT/X Consortium License	2010-05-04 12:53:45	219
activeresources	188	MIT/X Consortium License	2010-05-04 12:53:45	219
activerest	187	BSD License	2010-05-04 12:53:45	219
activerubic	307	Ruby License	2010-05-04 12:53:45	219
activesearch	15	GNU General Public License (GPL) version 2	2010-05-04 12:53:45	219
activesearch	196	Other/Proprietary License	2010-05-04 12:53:45	219
activesfdc	296	Apache Software License	2010-05-04 12:53:45	219
activesms	188	MIT/X Consortium License	2010-05-04 12:53:45	219
activesocial	307	Ruby License	2010-05-04 12:53:45	219
activetest	307	Ruby License	2010-05-04 12:53:45	219
activewarehouse	188	MIT/X Consortium License	2010-05-04 12:53:45	219
activeyahoo	188	MIT/X Consortium License	2010-05-04 12:53:45	219
activitystreams	187	BSD License	2010-05-04 12:53:45	219
activrecord2sdb	188	MIT/X Consortium License	2010-05-04 12:53:46	219
acts-as-aln	188	MIT/X Consortium License	2010-05-04 12:53:46	219
acts-as-cortado	316	GNU General Public License (GPL) version 3	2010-05-04 12:53:46	219
acts-as-matree	188	MIT/X Consortium License	2010-05-04 12:53:46	219
acts-as-secured	187	BSD License	2010-05-04 12:53:46	219
acts-as-solr	188	MIT/X Consortium License	2010-05-04 12:53:46	219
acts-as-toucher	187	BSD License	2010-05-04 12:53:46	219
acts-as-tsearch	188	MIT/X Consortium License	2010-05-04 12:53:46	219
actsascatalog	188	MIT/X Consortium License	2010-05-04 12:53:46	219
actsasferret	188	MIT/X Consortium License	2010-05-04 12:53:46	219
actsasformatted	188	MIT/X Consortium License	2010-05-04 12:53:46	219
actsasmodified	188	MIT/X Consortium License	2010-05-04 12:53:46	219
actsasrenderer	188	MIT/X Consortium License	2010-05-04 12:53:46	219
actsasresource	188	MIT/X Consortium License	2010-05-04 12:53:46	219
actsassvn	16	GNU Lesser General Public License (LGPL)	2010-05-04 12:53:46	219
actsastrashable	188	MIT/X Consortium License	2010-05-04 12:53:46	219
actsasupload	197	Public Domain	2010-05-04 12:53:46	219
ad4ruby	16	GNU Lesser General Public License (LGPL)	2010-05-04 12:53:46	219
adaptation	188	MIT/X Consortium License	2010-05-04 12:53:46	219
addressable	188	MIT/X Consortium License	2010-05-04 12:53:46	219
adesklets-ruby	16	GNU Lesser General Public License (LGPL)	2010-05-04 12:53:46	219
adhearsion	16	GNU Lesser General Public License (LGPL)	2010-05-04 12:53:46	219
adminpage	316	GNU General Public License (GPL) version 3	2010-05-04 12:53:47	219
adminpage	315	Creative Commons	2010-05-04 12:53:47	219
admob	187	BSD License	2010-05-04 12:53:47	219
admreq	15	GNU General Public License (GPL) version 2	2010-05-04 12:53:47	219
adobeshare	188	MIT/X Consortium License	2010-05-04 12:53:47	219
adocca-plugins	15	GNU General Public License (GPL) version 2	2010-05-04 12:53:47	219
adocca-plugins	188	MIT/X Consortium License	2010-05-04 12:53:47	219
adsense	188	MIT/X Consortium License	2010-05-04 12:53:47	219
adsf	188	MIT/X Consortium License	2010-05-04 12:53:47	219
advabest	304	Mozilla Public License 1.0	2010-05-04 12:53:47	219
advertnet	316	GNU General Public License (GPL) version 3	2010-05-04 12:53:47	219
aeditor	307	Ruby License	2010-05-04 12:53:47	219
aef	316	GNU General Public License (GPL) version 3	2010-05-04 12:53:47	219
aethyr	188	MIT/X Consortium License	2010-05-04 12:53:47	219
affected-items	188	MIT/X Consortium License	2010-05-04 12:53:47	219
afphelper	188	MIT/X Consortium License	2010-05-04 12:53:47	219
agg4r	15	GNU General Public License (GPL) version 2	2010-05-04 12:53:47	219
ago	188	MIT/X Consortium License	2010-05-04 12:53:47	219
agora	197	Public Domain	2010-05-04 12:53:47	219
agoraruby	15	GNU General Public License (GPL) version 2	2010-05-04 12:53:47	219
agtools	188	MIT/X Consortium License	2010-05-04 12:53:47	219
ahft	317	GNU General Public License (GPL) version 1	2010-05-04 12:53:47	219
ai-app-prog	307	Ruby License	2010-05-04 12:53:47	219
ai4r	305	Mozilla Public License 1.1	2010-05-04 12:53:47	219
airport	307	Ruby License	2010-05-04 12:53:47	219
airscript-fe	15	GNU General Public License (GPL) version 2	2010-05-04 12:53:47	219
ajax-grid	15	GNU General Public License (GPL) version 2	2010-05-04 12:53:48	219
ajaxscaffold	188	MIT/X Consortium License	2010-05-04 12:53:48	219
aka	188	MIT/X Consortium License	2010-05-04 12:53:48	219
akiba	307	Ruby License	2010-05-04 12:53:48	219
alacarte	316	GNU General Public License (GPL) version 3	2010-05-04 12:53:48	219
alexandria	15	GNU General Public License (GPL) version 2	2010-05-04 12:53:48	219
algorithms	188	MIT/X Consortium License	2010-05-04 12:53:48	219
allegro4r	188	MIT/X Consortium License	2010-05-04 12:53:48	219
allinoneruby	15	GNU General Public License (GPL) version 2	2010-05-04 12:53:48	219
alogr	188	MIT/X Consortium License	2010-05-04 12:53:48	219
alphabar	188	MIT/X Consortium License	2010-05-04 12:53:48	219
alumina	191	IBM Public License	2010-05-04 12:53:48	219
alumina	16	GNU Lesser General Public License (LGPL)	2010-05-04 12:53:48	219
alumina	15	GNU General Public License (GPL) version 2	2010-05-04 12:53:48	219
alumnionrails	15	GNU General Public License (GPL) version 2	2010-05-04 12:53:48	219
amatch	15	GNU General Public License (GPL) version 2	2010-05-04 12:53:48	219
amazing	296	Apache Software License	2010-05-04 12:53:48	219
amazon	188	MIT/X Consortium License	2010-05-04 12:53:48	219
amazon-ec2	307	Ruby License	2010-05-04 12:53:48	219
amazon-fps-ruby	188	MIT/X Consortium License	2010-05-04 12:53:48	219
amber	197	Public Domain	2010-05-04 12:53:48	219
ambient	188	MIT/X Consortium License	2010-05-04 12:53:48	219
