#  file: rfProjNatLang2010-May.txt
#  package: rfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of RubyForge project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw html data was inserted into database by running our java-based Rubyforge 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, code, description, date_collected, datasource_id
#  FROM rf_project_natural_language
#  WHERE datasource_id=219
#  ORDER BY proj_unixname
#
#  datasource_id = 219 is the 2010-May run on Rubyforge.

proj_unixname	code	description	date_collected	datasource_id
aaap	275	English	2010-05-04 12:53:43	219
aabytefield	275	English	2010-05-04 12:53:43	219
aafc	275	English	2010-05-04 12:53:43	219
aalib-ruby	275	English	2010-05-04 12:53:43	219
aamm	275	English	2010-05-04 12:53:44	219
aamm	276	French	2010-05-04 12:53:44	219
aapc	275	English	2010-05-04 12:53:44	219
aargvark	275	English	2010-05-04 12:53:44	219
aaserverbrowser	275	English	2010-05-04 12:53:44	219
abplotter	275	English	2010-05-04 12:53:44	219
absrenamer	275	English	2010-05-04 12:53:44	219
abundance	275	English	2010-05-04 12:53:44	219
accelerator	275	English	2010-05-04 12:53:44	219
accounting	275	English	2010-05-04 12:53:44	219
accounts4free	275	English	2010-05-04 12:53:44	219
accra	275	English	2010-05-04 12:53:44	219
aclport	275	English	2010-05-04 12:53:44	219
aclport	279	German	2010-05-04 12:53:44	219
aclsystem	275	English	2010-05-04 12:53:44	219
act-as-debug	275	English	2010-05-04 12:53:44	219
actasenherit	275	English	2010-05-04 12:53:44	219
actionflow	275	English	2010-05-04 12:53:44	219
actionpool	275	English	2010-05-04 12:53:44	219
actiontimer	275	English	2010-05-04 12:53:44	219
active-lastfm	275	English	2010-05-04 12:53:44	219
active-rbac	275	English	2010-05-04 12:53:44	219
active-rbac	279	German	2010-05-04 12:53:44	219
active-relation	275	English	2010-05-04 12:53:45	219
activeacl	275	English	2010-05-04 12:53:45	219
activedirectory	275	English	2010-05-04 12:53:45	219
activeflow	275	English	2010-05-04 12:53:45	219
activeflow	276	French	2010-05-04 12:53:45	219
activeform	275	English	2010-05-04 12:53:45	219
activelocale	275	English	2010-05-04 12:53:45	219
activemdb	275	English	2010-05-04 12:53:45	219
activemerchant	275	English	2010-05-04 12:53:45	219
activerdf	275	English	2010-05-04 12:53:45	219
activerdf-rules	275	English	2010-05-04 12:53:45	219
activerest	275	English	2010-05-04 12:53:45	219
activerevver	275	English	2010-05-04 12:53:45	219
activerubic	275	English	2010-05-04 12:53:45	219
activesearch	275	English	2010-05-04 12:53:45	219
activesms	275	English	2010-05-04 12:53:45	219
activesocial	275	English	2010-05-04 12:53:45	219
activetest	275	English	2010-05-04 12:53:45	219
activewarehouse	275	English	2010-05-04 12:53:45	219
activitystreams	275	English	2010-05-04 12:53:46	219
activrecord2sdb	275	English	2010-05-04 12:53:46	219
acts-as-aln	275	English	2010-05-04 12:53:46	219
acts-as-cortado	275	English	2010-05-04 12:53:46	219
acts-as-secured	275	English	2010-05-04 12:53:46	219
acts-as-solr	275	English	2010-05-04 12:53:46	219
acts-as-toucher	275	English	2010-05-04 12:53:46	219
acts-as-tsearch	275	English	2010-05-04 12:53:46	219
acts-voteable	275	English	2010-05-04 12:53:46	219
actsasmodified	275	English	2010-05-04 12:53:46	219
actsasrenderer	275	English	2010-05-04 12:53:46	219
actsasresource	275	English	2010-05-04 12:53:46	219
actsassvn	275	English	2010-05-04 12:53:46	219
actsasupload	275	English	2010-05-04 12:53:46	219
ad4ruby	275	English	2010-05-04 12:53:46	219
adaptation	275	English	2010-05-04 12:53:46	219
addressable	275	English	2010-05-04 12:53:46	219
adesklets-ruby	275	English	2010-05-04 12:53:46	219
adhearsion	275	English	2010-05-04 12:53:46	219
adminpage	278	Japanese	2010-05-04 12:53:47	219
adminscaffold	275	English	2010-05-04 12:53:47	219
admob	275	English	2010-05-04 12:53:47	219
admreq	277	Spanish	2010-05-04 12:53:47	219
adocca-plugins	275	English	2010-05-04 12:53:47	219
adsense	275	English	2010-05-04 12:53:47	219
adsf	275	English	2010-05-04 12:53:47	219
advabest	275	English	2010-05-04 12:53:47	219
advabest	279	German	2010-05-04 12:53:47	219
advertnet	275	English	2010-05-04 12:53:47	219
advertnet	276	French	2010-05-04 12:53:47	219
advocasee	275	English	2010-05-04 12:53:47	219
adwallah	275	English	2010-05-04 12:53:47	219
aeditor	275	English	2010-05-04 12:53:47	219
aef	275	English	2010-05-04 12:53:47	219
aethyr	275	English	2010-05-04 12:53:47	219
affected-items	275	English	2010-05-04 12:53:47	219
afphelper	275	English	2010-05-04 12:53:47	219
agg4r	275	English	2010-05-04 12:53:47	219
