#  file: rfProjOpSys2010-May.txt
#  package: rfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of RubyForge project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw html data was inserted into database by running our java-based Rubyforge 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, code, description, date_collected, datasource_id
#  FROM rf_project_operating_system
#  WHERE datasource_id=219
#  ORDER BY proj_unixname
#
#  datasource_id = 219 is the 2010-May run on Rubyforge.

proj_unixname	code	description	date_collected	datasource_id
aaap	235	OS Independent	2010-05-04 12:53:43	219
aabytefield	200	POSIX	2010-05-04 12:53:43	219
aalib-ruby	200	POSIX	2010-05-04 12:53:43	219
aamm	235	OS Independent	2010-05-04 12:53:44	219
aapc	201	Linux	2010-05-04 12:53:44	219
aaserverbrowser	216	Windows	2010-05-04 12:53:44	219
aaserverbrowser	201	Linux	2010-05-04 12:53:44	219
abplotter	235	OS Independent	2010-05-04 12:53:44	219
absrenamer	235	OS Independent	2010-05-04 12:53:44	219
accelerator	235	OS Independent	2010-05-04 12:53:44	219
accounting	235	OS Independent	2010-05-04 12:53:44	219
accounts4free	201	Linux	2010-05-04 12:53:44	219
accra	235	OS Independent	2010-05-04 12:53:44	219
aclsystem	235	OS Independent	2010-05-04 12:53:44	219
act-as-debug	235	OS Independent	2010-05-04 12:53:44	219
actasenherit	235	OS Independent	2010-05-04 12:53:44	219
actionflow	235	OS Independent	2010-05-04 12:53:44	219
actionpool	235	OS Independent	2010-05-04 12:53:44	219
actiontimer	235	OS Independent	2010-05-04 12:53:44	219
actir4cdp	216	Windows	2010-05-04 12:53:44	219
actir4cdp	201	Linux	2010-05-04 12:53:44	219
active-lastfm	201	Linux	2010-05-04 12:53:44	219
active-lastfm	309	OS X	2010-05-04 12:53:44	219
active-lastfm	221	MacOS	2010-05-04 12:53:44	219
active-rbac	235	OS Independent	2010-05-04 12:53:45	219
active-relation	235	OS Independent	2010-05-04 12:53:45	219
activeacl	235	OS Independent	2010-05-04 12:53:45	219
activedirectory	201	Linux	2010-05-04 12:53:45	219
activeflow	201	Linux	2010-05-04 12:53:45	219
activeflow	216	Windows	2010-05-04 12:53:45	219
activeflow	221	MacOS	2010-05-04 12:53:45	219
