#  file: rfProjProgLang2010-May.txt
#  package: rfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of RubyForge project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw html data was inserted into database by running our java-based Rubyforge 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, code, description, date_collected, datasource_id
#  FROM rf_project_programming_language
#  WHERE datasource_id=219
#  ORDER BY proj_unixname
#
#  datasource_id = 219 is the 2010-May run on Rubyforge.

proj_unixname	code	description	date_collected	datasource_id
aaap	306	Ruby	2010-05-04 12:53:43	219
aabytefield	306	Ruby	2010-05-04 12:53:43	219
aafc	306	Ruby	2010-05-04 12:53:43	219
aalib-ruby	306	Ruby	2010-05-04 12:53:43	219
aamm	306	Ruby	2010-05-04 12:53:44	219
aapc	306	Ruby	2010-05-04 12:53:44	219
aargvark	306	Ruby	2010-05-04 12:53:44	219
aaserverbrowser	306	Ruby	2010-05-04 12:53:44	219
abplotter	306	Ruby	2010-05-04 12:53:44	219
absrenamer	306	Ruby	2010-05-04 12:53:44	219
abundance	306	Ruby	2010-05-04 12:53:44	219
accelerator	306	Ruby	2010-05-04 12:53:44	219
accounting	172	ML	2010-05-04 12:53:44	219
accounting	306	Ruby	2010-05-04 12:53:44	219
accounts4free	306	Ruby	2010-05-04 12:53:44	219
accra	306	Ruby	2010-05-04 12:53:44	219
aclport	306	Ruby	2010-05-04 12:53:44	219
aclsystem	306	Ruby	2010-05-04 12:53:44	219
act-as-debug	306	Ruby	2010-05-04 12:53:44	219
actasenherit	306	Ruby	2010-05-04 12:53:44	219
actionflow	306	Ruby	2010-05-04 12:53:44	219
actionpool	306	Ruby	2010-05-04 12:53:44	219
actiontimer	306	Ruby	2010-05-04 12:53:44	219
actir4cdp	306	Ruby	2010-05-04 12:53:44	219
active-lastfm	306	Ruby	2010-05-04 12:53:44	219
active-rbac	306	Ruby	2010-05-04 12:53:45	219
active-relation	306	Ruby	2010-05-04 12:53:45	219
activeacl	306	Ruby	2010-05-04 12:53:45	219
activedirectory	306	Ruby	2010-05-04 12:53:45	219
activeflow	280	JavaScript	2010-05-04 12:53:45	219
activeflow	306	Ruby	2010-05-04 12:53:45	219
activeform	306	Ruby	2010-05-04 12:53:45	219
activelocale	306	Ruby	2010-05-04 12:53:45	219
activemdb	306	Ruby	2010-05-04 12:53:45	219
activemerchant	306	Ruby	2010-05-04 12:53:45	219
activerdf	306	Ruby	2010-05-04 12:53:45	219
activerdf-rules	306	Ruby	2010-05-04 12:53:45	219
activeresources	306	Ruby	2010-05-04 12:53:45	219
activerest	306	Ruby	2010-05-04 12:53:45	219
activerevver	306	Ruby	2010-05-04 12:53:45	219
activerubic	306	Ruby	2010-05-04 12:53:45	219
activesearch	306	Ruby	2010-05-04 12:53:45	219
activesfdc	306	Ruby	2010-05-04 12:53:45	219
activesms	306	Ruby	2010-05-04 12:53:45	219
activesocial	306	Ruby	2010-05-04 12:53:45	219
activetest	306	Ruby	2010-05-04 12:53:45	219
activewarehouse	306	Ruby	2010-05-04 12:53:45	219
activeyahoo	306	Ruby	2010-05-04 12:53:45	219
activitystreams	306	Ruby	2010-05-04 12:53:46	219
activrecord2sdb	306	Ruby	2010-05-04 12:53:46	219
acts-as-aln	306	Ruby	2010-05-04 12:53:46	219
acts-as-cortado	306	Ruby	2010-05-04 12:53:46	219
acts-as-cortado	198	Java	2010-05-04 12:53:46	219
acts-as-matree	306	Ruby	2010-05-04 12:53:46	219
acts-as-secured	306	Ruby	2010-05-04 12:53:46	219
acts-as-solr	306	Ruby	2010-05-04 12:53:46	219
acts-as-toucher	306	Ruby	2010-05-04 12:53:46	219
acts-as-tsearch	306	Ruby	2010-05-04 12:53:46	219
acts-pollable	306	Ruby	2010-05-04 12:53:46	219
acts-voteable	306	Ruby	2010-05-04 12:53:46	219
actsascatalog	306	Ruby	2010-05-04 12:53:46	219
actsasferret	306	Ruby	2010-05-04 12:53:46	219
actsasformatted	306	Ruby	2010-05-04 12:53:46	219
