#  file: rfProjStatus2010-May.txt
#  package: rfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of RubyForge project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw html data was inserted into database by running our java-based Rubyforge 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, code, description, code_on_page, date_collected, datasource_id
#  FROM rf_project_status
#  WHERE datasource_id=219
#  ORDER BY proj_unixname
#
#  datasource_id = 219 is the 2010-May run on Rubyforge.

proj_unixname	code	description	date_collected	datasource_id
aaap	11	Production/Stable	2010-05-04 12:53:43	219
aabytefield	10	Beta	2010-05-04 12:53:43	219
aafc	10	Beta	2010-05-04 12:53:43	219
aalib-ruby	10	Beta	2010-05-04 12:53:44	219
aamm	9	Alpha	2010-05-04 12:53:44	219
aapc	10	Beta	2010-05-04 12:53:44	219
aargvark	9	Alpha	2010-05-04 12:53:44	219
aaserverbrowser	9	Alpha	2010-05-04 12:53:44	219
abplotter	7	Planning	2010-05-04 12:53:44	219
absrenamer	10	Beta	2010-05-04 12:53:44	219
abundance	11	Production/Stable	2010-05-04 12:53:44	219
accelerator	9	Alpha	2010-05-04 12:53:44	219
accounting	7	Planning	2010-05-04 12:53:44	219
accounts4free	7	Planning	2010-05-04 12:53:44	219
accra	7	Planning	2010-05-04 12:53:44	219
aclport	7	Planning	2010-05-04 12:53:44	219
aclsystem	10	Beta	2010-05-04 12:53:44	219
act-as-debug	8	Pre-Alpha	2010-05-04 12:53:44	219
actasenherit	9	Alpha	2010-05-04 12:53:44	219
actionflow	10	Beta	2010-05-04 12:53:44	219
actionpool	10	Beta	2010-05-04 12:53:44	219
actiontimer	10	Beta	2010-05-04 12:53:44	219
actir4cdp	9	Alpha	2010-05-04 12:53:44	219
active-lastfm	10	Beta	2010-05-04 12:53:44	219
active-rbac	9	Alpha	2010-05-04 12:53:45	219
active-relation	8	Pre-Alpha	2010-05-04 12:53:45	219
activeacl	10	Beta	2010-05-04 12:53:45	219
activedirectory	10	Beta	2010-05-04 12:53:45	219
activeflow	8	Pre-Alpha	2010-05-04 12:53:45	219
activeform	10	Beta	2010-05-04 12:53:45	219
activelocale	9	Alpha	2010-05-04 12:53:45	219
activemdb	9	Alpha	2010-05-04 12:53:45	219
activemerchant	11	Production/Stable	2010-05-04 12:53:45	219
activerdf	10	Beta	2010-05-04 12:53:45	219
activerdf-rules	9	Alpha	2010-05-04 12:53:45	219
activerecord	11	Production/Stable	2010-05-04 12:53:45	219
activeresources	9	Alpha	2010-05-04 12:53:45	219
activerest	10	Beta	2010-05-04 12:53:45	219
activerevver	10	Beta	2010-05-04 12:53:45	219
activerubic	10	Beta	2010-05-04 12:53:45	219
activesearch	9	Alpha	2010-05-04 12:53:45	219
activesfdc	11	Production/Stable	2010-05-04 12:53:45	219
activesms	9	Alpha	2010-05-04 12:53:45	219
activesocial	7	Planning	2010-05-04 12:53:45	219
activetest	8	Pre-Alpha	2010-05-04 12:53:45	219
activewarehouse	9	Alpha	2010-05-04 12:53:45	219
activeyahoo	9	Alpha	2010-05-04 12:53:45	219
activitystreams	10	Beta	2010-05-04 12:53:46	219
activrecord2sdb	8	Pre-Alpha	2010-05-04 12:53:46	219
acts-as-aln	8	Pre-Alpha	2010-05-04 12:53:46	219
acts-as-cortado	9	Alpha	2010-05-04 12:53:46	219
acts-as-matree	9	Alpha	2010-05-04 12:53:46	219
acts-as-secured	9	Alpha	2010-05-04 12:53:46	219
acts-as-solr	9	Alpha	2010-05-04 12:53:46	219
acts-as-toucher	10	Beta	2010-05-04 12:53:46	219
acts-as-tsearch	9	Alpha	2010-05-04 12:53:46	219
acts-pollable	9	Alpha	2010-05-04 12:53:46	219
acts-voteable	9	Alpha	2010-05-04 12:53:46	219
actsascatalog	10	Beta	2010-05-04 12:53:46	219
actsasferret	11	Production/Stable	2010-05-04 12:53:46	219
actsasformatted	11	Production/Stable	2010-05-04 12:53:46	219
actsasmodified	10	Beta	2010-05-04 12:53:46	219
actsasrenderer	11	Production/Stable	2010-05-04 12:53:46	219
actsasresource	10	Beta	2010-05-04 12:53:46	219
actsassvn	10	Beta	2010-05-04 12:53:46	219
actsasupload	8	Pre-Alpha	2010-05-04 12:53:46	219
ad4ruby	10	Beta	2010-05-04 12:53:46	219
adaptation	11	Production/Stable	2010-05-04 12:53:46	219
addressable	11	Production/Stable	2010-05-04 12:53:46	219
adesklets-ruby	9	Alpha	2010-05-04 12:53:46	219
adhearsion	10	Beta	2010-05-04 12:53:46	219
adminpage	9	Alpha	2010-05-04 12:53:47	219
adminscaffold	9	Alpha	2010-05-04 12:53:47	219
admob	11	Production/Stable	2010-05-04 12:53:47	219
admreq	8	Pre-Alpha	2010-05-04 12:53:47	219
adobeshare	8	Pre-Alpha	2010-05-04 12:53:47	219
adocca-plugins	11	Production/Stable	2010-05-04 12:53:47	219
