#  file: rfProjTopic2010-May.txt
#  package: rfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of RubyForge project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw html data was inserted into database by running our java-based Rubyforge 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, code, description, date_collected, datasource_id
#  FROM rf_project_topic
#  WHERE datasource_id=219
#  ORDER BY proj_unixname
#
#  datasource_id = 219 is the 2010-May run on Rubyforge.

proj_unixname	code	description	date_collected	datasource_id
aaap	20	Communications	2010-05-04 12:53:43	219
aaap	312	Rails	2010-05-04 12:53:43	219
aafc	68	Front-Ends	2010-05-04 12:53:43	219
aalib-ruby	100	Graphics	2010-05-04 12:53:44	219
aalib-ruby	156	Terminals	2010-05-04 12:53:44	219
aamm	45	Software Development	2010-05-04 12:53:44	219
aamm	68	Front-Ends	2010-05-04 12:53:44	219
aapc	312	Rails	2010-05-04 12:53:44	219
aargvark	45	Software Development	2010-05-04 12:53:44	219
aaserverbrowser	82	First Person Shooters	2010-05-04 12:53:44	219
abplotter	100	Graphics	2010-05-04 12:53:44	219
absrenamer	136	System	2010-05-04 12:53:44	219
abundance	45	Software Development	2010-05-04 12:53:44	219
accelerator	253	Systems Administration	2010-05-04 12:53:44	219
accounting	76	Accounting	2010-05-04 12:53:44	219
accounts4free	76	Accounting	2010-05-04 12:53:44	219
accra	129	Office/Business	2010-05-04 12:53:44	219
aclport	43	Security	2010-05-04 12:53:44	219
aclsystem	45	Software Development	2010-05-04 12:53:44	219
act-as-debug	47	Debuggers	2010-05-04 12:53:44	219
act-as-debug	148	Logging	2010-05-04 12:53:44	219
actasenherit	45	Software Development	2010-05-04 12:53:44	219
actionflow	312	Rails	2010-05-04 12:53:44	219
actionflow	45	Software Development	2010-05-04 12:53:44	219
actionpool	45	Software Development	2010-05-04 12:53:44	219
actiontimer	45	Software Development	2010-05-04 12:53:44	219
actir4cdp	97	Scientific/Engineering	2010-05-04 12:53:44	219
actir4cdp	91	Browsers	2010-05-04 12:53:44	219
actir4cdp	73	Testing	2010-05-04 12:53:44	219
active-lastfm	312	Rails	2010-05-04 12:53:44	219
active-rbac	43	Security	2010-05-04 12:53:45	219
active-relation	66	Database	2010-05-04 12:53:45	219
activeacl	312	Rails	2010-05-04 12:53:45	219
activedirectory	289	Authentication/Directory	2010-05-04 12:53:45	219
activeflow	312	Rails	2010-05-04 12:53:45	219
activeform	312	Rails	2010-05-04 12:53:45	219
activelocale	45	Software Development	2010-05-04 12:53:45	219
activemdb	68	Front-Ends	2010-05-04 12:53:45	219
activerdf	66	Database	2010-05-04 12:53:45	219
activerdf	312	Rails	2010-05-04 12:53:45	219
activerdf	50	Object Brokering	2010-05-04 12:53:45	219
activerdf-rules	45	Software Development	2010-05-04 12:53:45	219
activerdf-rules	133	Artificial Intelligence	2010-05-04 12:53:45	219
activerdf-rules	90	WWW/HTTP	2010-05-04 12:53:45	219
activerecord	66	Database	2010-05-04 12:53:45	219
activerecord	50	Object Brokering	2010-05-04 12:53:45	219
activeresources	312	Rails	2010-05-04 12:53:45	219
activerest	312	Rails	2010-05-04 12:53:45	219
activerevver	87	Internet	2010-05-04 12:53:45	219
activerubic	312	Rails	2010-05-04 12:53:45	219
activerubic	93	Indexing/Search	2010-05-04 12:53:45	219
activesearch	66	Database	2010-05-04 12:53:45	219
activesearch	312	Rails	2010-05-04 12:53:45	219
activesfdc	45	Software Development	2010-05-04 12:53:45	219
activesms	247	Telephony	2010-05-04 12:53:45	219
activesms	312	Rails	2010-05-04 12:53:45	219
activesocial	234	Other/Nonlisted Topic	2010-05-04 12:53:45	219
activetest	45	Software Development	2010-05-04 12:53:45	219
activewarehouse	66	Database	2010-05-04 12:53:45	219
activewarehouse	312	Rails	2010-05-04 12:53:45	219
activewarehouse	129	Office/Business	2010-05-04 12:53:45	219
activeyahoo	93	Indexing/Search	2010-05-04 12:53:45	219
activitystreams	312	Rails	2010-05-04 12:53:46	219
activrecord2sdb	66	Database	2010-05-04 12:53:46	219
acts-as-aln	312	Rails	2010-05-04 12:53:46	219
acts-as-cortado	312	Rails	2010-05-04 12:53:46	219
acts-as-cortado	125	Video	2010-05-04 12:53:46	219
acts-as-matree	66	Database	2010-05-04 12:53:46	219
acts-as-matree	312	Rails	2010-05-04 12:53:46	219
acts-as-secured	312	Rails	2010-05-04 12:53:46	219
acts-as-solr	312	Rails	2010-05-04 12:53:46	219
acts-as-toucher	45	Software Development	2010-05-04 12:53:46	219
acts-as-tsearch	45	Software Development	2010-05-04 12:53:46	219
acts-as-tsearch	66	Database	2010-05-04 12:53:46	219
acts-pollable	92	Dynamic Content	2010-05-04 12:53:46	219
acts-voteable	87	Internet	2010-05-04 12:53:46	219
actsascatalog	66	Database	2010-05-04 12:53:46	219
actsasferret	93	Indexing/Search	2010-05-04 12:53:46	219
actsasformatted	45	Software Development	2010-05-04 12:53:46	219
actsasmodified	312	Rails	2010-05-04 12:53:46	219
actsasrenderer	312	Rails	2010-05-04 12:53:46	219
actsasresource	66	Database	2010-05-04 12:53:46	219
actsasresource	312	Rails	2010-05-04 12:53:46	219
actsassvn	52	Version Control	2010-05-04 12:53:46	219
actsastrashable	137	Backup	2010-05-04 12:53:46	219
actsasupload	312	Rails	2010-05-04 12:53:46	219
ad4ruby	291	LDAP	2010-05-04 12:53:46	219
adaptation	45	Software Development	2010-05-04 12:53:46	219
addressable	87	Internet	2010-05-04 12:53:46	219
adesklets-ruby	55	Desktop Environment	2010-05-04 12:53:46	219
adhearsion	40	Internet Phone	2010-05-04 12:53:46	219
adhearsion	247	Telephony	2010-05-04 12:53:46	219
adhearsion	150	Networking	2010-05-04 12:53:46	219
adminpage	259	Code Generators	2010-05-04 12:53:47	219
adminscaffold	259	Code Generators	2010-05-04 12:53:47	219
admob	270	WAP	2010-05-04 12:53:47	219
admreq	45	Software Development	2010-05-04 12:53:47	219
adobeshare	251	File Sharing	2010-05-04 12:53:47	219
adobeshare	90	WWW/HTTP	2010-05-04 12:53:47	219
adocca-plugins	312	Rails	2010-05-04 12:53:47	219
adsense	45	Software Development	2010-05-04 12:53:47	219
adsf	250	HTTP Servers	2010-05-04 12:53:47	219
advabest	234	Other/Nonlisted Topic	2010-05-04 12:53:47	219
advabest	130	Scheduling	2010-05-04 12:53:47	219
advabest	76	Accounting	2010-05-04 12:53:47	219
advertnet	20	Communications	2010-05-04 12:53:47	219
advertnet	87	Internet	2010-05-04 12:53:47	219
advocasee	234	Other/Nonlisted Topic	2010-05-04 12:53:47	219
adwallah	234	Other/Nonlisted Topic	2010-05-04 12:53:47	219
aeditor	63	Text Editors	2010-05-04 12:53:47	219
aeditor	45	Software Development	2010-05-04 12:53:47	219
aethyr	253	Systems Administration	2010-05-04 12:53:47	219
affected-items	66	Database	2010-05-04 12:53:47	219
afphelper	154	Printing	2010-05-04 12:53:47	219
agg4r	100	Graphics	2010-05-04 12:53:47	219
ago	45	Software Development	2010-05-04 12:53:47	219
agora	20	Communications	2010-05-04 12:53:47	219
agora	66	Database	2010-05-04 12:53:47	219
agora	75	Financial	2010-05-04 12:53:47	219
agoraruby	90	WWW/HTTP	2010-05-04 12:53:47	219
agoraruby	21	BBS	2010-05-04 12:53:47	219
agtools	312	Rails	2010-05-04 12:53:47	219
ahft	71	Education	2010-05-04 12:53:47	219
ai-app-prog	133	Artificial Intelligence	2010-05-04 12:53:47	219
ai4r	45	Software Development	2010-05-04 12:53:47	219
ai4r	282	Sociology	2010-05-04 12:53:47	219
ai4r	133	Artificial Intelligence	2010-05-04 12:53:47	219
aikidosalvador	90	WWW/HTTP	2010-05-04 12:53:47	219
aiml-programr	133	Artificial Intelligence	2010-05-04 12:53:47	219
airport	292	Hardware Drivers	2010-05-04 12:53:47	219
airport	150	Networking	2010-05-04 12:53:47	219
airscript-fe	43	Security	2010-05-04 12:53:47	219
airscript-fe	58	Gnome	2010-05-04 12:53:47	219
ajax-grid	68	Front-Ends	2010-05-04 12:53:48	219
ajax-grid	90	WWW/HTTP	2010-05-04 12:53:48	219
ajaxscaffold	259	Code Generators	2010-05-04 12:53:48	219
akiba	133	Artificial Intelligence	2010-05-04 12:53:48	219
akiba	287	Board Games	2010-05-04 12:53:48	219
alacarte	72	Computer Aided Instruction (CAI)	2010-05-04 12:53:48	219
alexandria	58	Gnome	2010-05-04 12:53:48	219
alexandria	93	Indexing/Search	2010-05-04 12:53:48	219
alexandria	112	Viewers	2010-05-04 12:53:48	219
algorithms	45	Software Development	2010-05-04 12:53:48	219
allegro4r	80	Games/Entertainment	2010-05-04 12:53:48	219
allegro4r	99	Multimedia	2010-05-04 12:53:48	219
allinoneruby	257	Software Distribution	2010-05-04 12:53:48	219
allinoneruby	48	Compilers	2010-05-04 12:53:48	219
allinoneruby	46	Build Tools	2010-05-04 12:53:48	219
alogr	45	Software Development	2010-05-04 12:53:48	219
alph	46	Build Tools	2010-05-04 12:53:48	219
alphabar	312	Rails	2010-05-04 12:53:48	219
alumina	65	Integrated Development Environments (IDE)	2010-05-04 12:53:48	219
alumina	49	Interpreters	2010-05-04 12:53:48	219
alumina	47	Debuggers	2010-05-04 12:53:48	219
alumnionrails	20	Communications	2010-05-04 12:53:48	219
alumnionrails	87	Internet	2010-05-04 12:53:48	219
aman	43	Security	2010-05-04 12:53:48	219
aman	66	Database	2010-05-04 12:53:48	219
amatch	285	Text Processing	2010-05-04 12:53:48	219
amazing	56	Window Managers	2010-05-04 12:53:48	219
amazon	137	Backup	2010-05-04 12:53:48	219
amazon-ec2	45	Software Development	2010-05-04 12:53:48	219
amazon-ec2	312	Rails	2010-05-04 12:53:48	219
amazon-ec2	96	CGI Tools/Libraries	2010-05-04 12:53:48	219
amazon-fps-ruby	75	Financial	2010-05-04 12:53:48	219
amber	46	Build Tools	2010-05-04 12:53:48	219
ambient	20	Communications	2010-05-04 12:53:48	219
ambling	312	Rails	2010-05-04 12:53:48	219
amqp	141	Clustering/Distributed Networks	2010-05-04 12:53:49	219
