#  file: sfRawDbEnvData2009-Dec.txt
#  package: sfRawData2009-Dec
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Dec
#
#  Raw data was inserted into database by running the scripts:
#  parseHtmlDBEnvSF.pl
#
#  This particular file includes raw "DB Environment" data for each project 
#  that shows this info on their SF project pages. (Not every project lists this 
#  information.)
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2009) SourceForge Available at: 
#  http://flossmole.org
#
#  SELECT * FROM `project_db_environment` WHERE datasource_id=206
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  code: the code number (given by SF) for the database environment (PK)
#  description: what that code number means currently, as defined by SF
#  date_collected: this is the date the data was inserted
#  datasource_id: when was this data gathered, and on which run? (PK)
proj_unixname	code	description	date_collected	datasource_id
a-aio	524	MySQL	2010-01-19 11:56:36	206
a-bot	522	Proprietary file format	2010-01-19 11:56:36	206
a-erp	526	Oracle	2010-01-19 11:56:36	206
a-f	508	SQL-based	2010-01-19 11:56:36	206
a-overhoor	521	Flat-file	2010-01-19 11:56:36	206
a-plus	524	MySQL	2010-01-19 11:56:36	206
a-shop	518	Microsoft Access	2010-01-19 11:56:36	206
a1s22	524	MySQL	2010-01-19 11:56:36	206
a247dialer	524	MySQL	2010-01-19 11:56:36	206
a247dialer	502	JDBC	2010-01-19 11:56:36	206
a2bastetc	508	SQL-based	2010-01-19 11:56:36	206
a2h2	524	MySQL	2010-01-19 11:56:36	206
a2h2	508	SQL-based	2010-01-19 11:56:36	206
a2lib	530	Microsoft SQL Server	2010-01-19 11:56:36	206
a2o	524	MySQL	2010-01-19 11:56:36	206
a2p2	524	MySQL	2010-01-19 11:56:36	206
a3at-rep	507	XML-based	2010-01-19 11:56:36	206
a3at-rep	508	SQL-based	2010-01-19 11:56:36	206
a3at-rep	525	PostgreSQL (pgsql)	2010-01-19 11:56:36	206
a3at-rep	524	MySQL	2010-01-19 11:56:36	206
a3dx	524	MySQL	2010-01-19 11:56:36	206
a6fw	502	JDBC	2010-01-19 11:56:36	206
a8e-dev	508	SQL-based	2010-01-19 11:56:36	206
a9w3	521	Flat-file	2010-01-19 11:56:36	206
aaaconta	503	ADOdb	2010-01-19 11:56:37	206
aaaconta	505	PHP Pear::DB	2010-01-19 11:56:37	206
aaatranstest	508	SQL-based	2010-01-19 11:56:37	206
aaatranstest	515	Project is a database conversion tool	2010-01-19 11:56:37	206
aaatranstest	526	Oracle	2010-01-19 11:56:37	206
aaatranstest	503	ADOdb	2010-01-19 11:56:37	206
aabha	508	SQL-based	2010-01-19 11:56:37	206
aabsnorm	530	Microsoft SQL Server	2010-01-19 11:56:37	206
aabsnorm	516	Project is a relational object mapper	2010-01-19 11:56:37	206
aacms	524	MySQL	2010-01-19 11:56:37	206
aadext	524	MySQL	2010-01-19 11:56:37	206
aadwpmuthemes	524	MySQL	2010-01-19 11:56:37	206
aaftx	512	Project is a file-based DBMS (database system)	2010-01-19 11:56:37	206
aageotag	524	MySQL	2010-01-19 11:56:37	206
aaleprojects	508	SQL-based	2010-01-19 11:56:37	206
aaleprojects	502	JDBC	2010-01-19 11:56:37	206
aami	524	MySQL	2010-01-19 11:56:37	206
aapd	531	SQLite	2010-01-19 11:56:37	206
aaphpbb	524	MySQL	2010-01-19 11:56:37	206
aapp	518	Microsoft Access	2010-01-19 11:56:37	206
aapp	524	MySQL	2010-01-19 11:56:37	206
aappt	516	Project is a relational object mapper	2010-01-19 11:56:37	206
aardvarkcms	502	JDBC	2010-01-19 11:56:37	206
aardvarkcms	522	Proprietary file format	2010-01-19 11:56:37	206
aardvertiser	524	MySQL	2010-01-19 11:56:37	206
aarton	524	MySQL	2010-01-19 11:56:37	206
aas	524	MySQL	2010-01-19 11:56:37	206
aas	508	SQL-based	2010-01-19 11:56:37	206
aasc	524	MySQL	2010-01-19 11:56:37	206
aase	508	SQL-based	2010-01-19 11:56:37	206
aasmot	522	Proprietary file format	2010-01-19 11:56:37	206
aatcalendario	524	MySQL	2010-01-19 11:56:37	206
aatrade	524	MySQL	2010-01-19 11:56:37	206
aaventures	507	XML-based	2010-01-19 11:56:37	206
aaventures	508	SQL-based	2010-01-19 11:56:37	206
aavso-vsr	524	MySQL	2010-01-19 11:56:37	206
aawa	508	SQL-based	2010-01-19 11:56:37	206
aawebgui	524	MySQL	2010-01-19 11:56:37	206
abaco	504	Perl DBI/DBD	2010-01-19 11:56:37	206
abacusappgen	530	Microsoft SQL Server	2010-01-19 11:56:37	206
