#  file: sfRawDonorsData2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseHtmlDonorsSF.pl
#
#  This particular file includes raw "Donors" data for each project 
#  that shows this info on their SF project pages. (Not every project lists this 
#  information.)
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  SELECT * FROM `project_donors` WHERE datasource_id=172
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  donor_id: the donor's name (PK)
#  date_collected: this is the date the data was inserted
#  datasource_id: when was this data gathered, and on which run? (PK)
proj_unixname	donor_id	datasource_id	date_collected
a-k-i-r-a	gianguz	172	2009-06-11 22:12:05
aatrade	Anonymous donor(s)	172	2009-06-11 22:12:08
abducted-irc	asphixia	172	2009-06-11 22:12:09
abiword	karnesky	172	2009-06-11 22:12:09
abiword	Anonymous donor(s)	172	2009-06-11 22:12:09
abrviewer	Anonymous donor(s)	172	2009-06-11 22:12:10
abrviewer	craymond	172	2009-06-11 22:12:10
acalproj	Anonymous donor(s)	172	2009-06-11 22:12:11
acemulator	stantuna	172	2009-06-11 22:12:13
achat	bptrain	172	2009-06-11 22:12:14
achat	Anonymous donor(s)	172	2009-06-11 22:12:14
actiongame	davitomon	172	2009-06-11 22:12:15
actiongame	mybugaccount	172	2009-06-11 22:12:15
actiongame	jamz_26things	172	2009-06-11 22:12:15
activeagenda	billrobo	172	2009-06-11 22:12:16
activelock	Anonymous donor(s)	172	2009-06-11 22:12:16
activityindicat	konstadi73	172	2009-06-11 22:12:16
afick	Anonymous donor(s)	172	2009-06-11 22:12:20
afpfs-ng	jmelby	172	2009-06-11 22:12:21
agar	Anonymous donor(s)	172	2009-06-11 22:12:21
agiletrack	mitcheljh	172	2009-06-11 22:12:24
agx-ast-addons	mixvoip	172	2009-06-11 22:12:25
ahk	leemeng	172	2009-06-11 22:12:25
ajax	gevely	172	2009-06-11 22:12:29
ajaxfilmdb	tuxinside	172	2009-06-11 22:12:29
ajaxplorer	dlmfisher	172	2009-06-11 22:12:30
