#  file: sfRawDownloads2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseStats60.pl
#
#  ===IMPORTANT===
#  This particular file includes downloads data for each project. This info 
#  is summed from the daily download data for the previous 60 days.
#  ===============
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  The SQL used to generate this data is as follows:
#
#  SELECT proj_unixname, sum(downloads) 
#  FROM `project_statistics_60` 
#  WHERE datasource_id=172
#  GROUP BY proj_unixname
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  downloads: the sum of downloads for this 60-day period 
proj_unixname	sum(downloads)
a-a-p	315
a-accessvnm	0
a-ads-xml	16
a-aio	0
a-blog	13
a-bot	0
a-chat	0
a-f	0
a-gen	0
a-helper	3
a-k-i-r-a	45
a-league-t	0
a-lemmings	0
a-lms	345
a-m-s	9
a-monolit	0
a-muse	0
a-muse-3d	0
a-muse-d	1
a-not-bc	0
a-note	2964
a-one	0
a-overhoor	0
a-plus	0
a-r-a-p	0
a-r-e-a	0
a-renet	40
a-rpg	0
a-s-k	406
a-s-m	12
a-s-t	0
a-shop	663
a-writer	0
a1kbms	0
a1s22	0
a1sfeathers	0
a1wiretempcontr	0
a247dialer	0
a2bastetc	0
a2bformat	1
a2billing	0
a2bitblog	0
a2c	0
a2d	0
a2dp-python	12
a2dtestrpg	0
a2gameserver	62
a2h2	0
a2ixlibrary	1
a2j	52
a2kmp	0
a2l	204
a2lib	0
a2open	0
a2p2	0
a2pix	0
a2png	40
a2speedholder	0
a2x	0
a2z	158
a340gc	281
a3b	13
a3dge	41
a3dx	13
a3x-3d-engine	0
a4codegen	4
a4e5	0
a4fighter	0
a4j	0
a4java	0
a4l	0
a4xmessage	2
a5000	0
a52source	0
a5wear	0
a6d4	0
a6driver	75
a6fw	105
a760	15
a78tools	0
a7xpg	335
a8e	289
a8e-dev	0
a9text	3
a9w3	0
aa-plugins	0
aa-project	3661
aa25deploy	74
aa33code	8
aa3d	19
aaa	7
aaa-nameless	0
aaa4avalon	8
aaaaaaaaaa	0
aaaadmin	0
aaaconta	0
aaaeditor	0
aaapage	0
aaarf	38
aaasoai	0
aaatranstest	0
aab	6
aabha	0
aabrowse	84
aabsdbc	1
aabsnorm	1
aac4ds	48
aaccountmon	2
aacheatscan	0
aaclock	4
aacms	0
aacplayer	53
aacplugin	25
aacraid-22	4
aactsi	0
aadataminer	25
aadext	0
aadit	0
aadl2xml	0
aadml	12
aadms	2
aae	2
aaec-2000	5
aaf	566
aaf-edit-pack	39
aafftannarborfa	90
aaforum	0
aafreet	0
aaftx	1
aafw	30
