#  file: sfRawForumPosts2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseStats60.pl
#
#  ===IMPORTANT===
#  This particular file includes forum post data for each project. This info 
#  is summed from the daily data for the previous 60 days. 
#  ===============
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  The SQL used to generate this data is as follows:
#
#  SELECT proj_unixname, sum(forum_posts)
#  FROM `project_statistics_60` 
#  WHERE datasource_id=172
#  GROUP BY proj_unixname
#  ORDER BY proj_unixname
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  forum_posts: the sum of forum_posts for this 60-day period 
proj_unixname	sum(forum_posts)
a-a-p	0
a-accessvnm	0
a-ads-xml	0
a-aio	0
a-blog	0
a-bot	0
a-chat	0
a-f	0
a-gen	0
a-helper	0
a-k-i-r-a	0
a-league-t	0
a-lemmings	0
a-lms	0
a-m-s	0
a-monolit	0
a-muse	0
a-muse-3d	0
a-muse-d	0
a-not-bc	0
a-note	8025
a-one	0
a-overhoor	0
a-plus	0
a-r-a-p	0
a-r-e-a	0
a-renet	0
a-rpg	0
a-s-k	4
a-s-m	0
a-s-t	0
a-shop	0
a-writer	0
a1kbms	0
a1s22	0
a1sfeathers	0
a1wiretempcontr	0
a247dialer	0
a2bastetc	0
a2bformat	0
a2billing	0
a2bitblog	0
a2c	0
a2d	0
a2dp-python	0
a2dtestrpg	0
a2gameserver	0
a2h2	0
a2ixlibrary	0
a2j	0
a2kmp	0
a2l	0
a2lib	0
a2open	0
a2p2	0
a2pix	0
a2png	0
a2speedholder	0
a2x	0
a2z	0
a340gc	0
a3b	0
a3dge	0
a3dx	0
a3x-3d-engine	0
a4codegen	0
a4e5	0
a4fighter	0
a4j	0
a4java	0
a4l	0
a4xmessage	0
a5000	0
a52source	0
a5wear	0
a6d4	0
a6driver	0
a6fw	0
a760	0
a78tools	0
a7xpg	0
a8e	0
a8e-dev	0
a9text	0
a9w3	0
aa-plugins	0
aa-project	0
aa25deploy	0
aa33code	0
aa3d	0
aaa	0
aaa-nameless	0
aaa4avalon	0
aaaaaaaaaa	0
aaaadmin	0
aaaconta	0
aaaeditor	0
aaapage	0
aaarf	0
aaasoai	0
aaatranstest	0
aab	0
aabha	0
aabrowse	0
aabsdbc	0
aabsnorm	0
aac4ds	0
aaccountmon	0
aacheatscan	0
aaclock	0
aacms	0
aacplayer	0
aacplugin	0
aacraid-22	0
aactsi	0
aadataminer	0
aadext	0
aadit	0
aadl2xml	0
aadml	0
aadms	0
aae	0
aaec-2000	0
aaf	2
aaf-edit-pack	1
aafftannarborfa	0
aaforum	0
aafreet	0
aaftx	0
aafw	0
aagam	0
aagaming	0
aageotag	0
aai-portal	0
aaid	0
aaini	0
aaio	0
aajax	0
aakruthi	0
aalan	0
aaleprojects	0
aalib	0
aalib-perl	0
aalog	0
aaloha	0
aam	0
aam6000ug	0
aamarok	0
aambuilder	0
aambuilding	0
aameditor	0
aamfetch	0
aami	0
aamirplayer	0
aamon	0
aamp	0
aams	0
aamt3dgame	0
aaniharava	0
aanipelit	0
aanthill	0
aanval	0
aaoo	0
aap	0
aap-ugr	0
aapbem	0
aapbss	0
aapd	0
aapdep	0
aaphpbb	0
aapje	0
aapp	0
aappt	0
aaps	0
aarchitect	0
aardbuilder	0
aardvark	0
aardvarkcms	0
aardvarkjava	0
aardvarktool	0
aareport	0
aarmed	0
aaron	0
aarpg	0
aart	0
aarton	0
aartsprojetia	0
aas	0
aasc	0
aase	1
aasecurity	0
aasgard	0
aasmot	0
aaspring-transl	0
aast	0
aat	0
aatcalendario	0
aatools	0
aatopendcd	0
aatrade	0
aatraders	0
aatv	0
aauadvprog	0
aav	0
aavalanche	0
aaventures	0
aaviewer	0
aavso-vsr	0
aawa	0
aawebgui	0
aaxed	0
ab-conv	0
ab-toolbox	0
ab2foaf	0
ab2phpnuke	0
aba	0
aba-curling	0
abaci	0
abackgammon	0
abackup	0
abackupservice	0
abaco	0
abacom	0
abacs	0
abacus	0
abacusappgen	0
abacuscm	0
abacuses	0
abacusvm	0
abaguibuilder	0
abahelpers	0
abakus	0
abamaxa	0
abandonedlands	0
abanq	0
abanqpv	0
abaque	0
abarbozateste	0
abase	0
abashe	0
abashtoolbox	0
abasinfosystemw	0
abat	0
abatarmailer	0
abatools	0
abatornet	0
abax	0
abbackup	0
abbey	0
abbot	2
abbotforswt	0
abbott	0
abbruch	0
abbtexrep	0
abc	0
abc-123	0
abc-elp	0
abc-shell	0
abc-unix	0
abc2php	0
abcb	0
abcclassifieds	0
abccreator	0
abcdiary	0
abcdoppelganger	0
abcdp	0
abcgrid	0
abchr	0
abci	0
abcl	0
abcl-web	0
abclinux	0
abcmr	0
abcmusiex	0
abco	0
abcommerce	0
abconfig	0
abcp	0
abcpaint	0
abcpeter	0
abcphp	0
abcplus	0
abcremotedotnet	0
abcrypt	0
abcsync	0
abcwebclient	0
abd	0
abdb	0
abdbcommerce	0
abdcalendar	0
abdf1	0
abdict	0
abducted-irc	0
abdymok	0
abeam	0
abecedarian	0
abegroup	0
abelard	0
abelcrm	0
abele	0
abelliaam	0
abelo	0
aben	0
abendasphpframe	0
abercrombiefile	0
aberdeen	0
aberpubchooser	0
aberquest	0
abes	0
abesoft	0
abethernet	0
abettor	0
abfallkalender	0
abfm	0
abgdhowz	0
abgraph	0
abhijna	0
abhmanager	0
abhyaas	0
abi	0
abi2006	0
abi2xml	0
abia	0
abiblia	0
abicheck	0
abicloud	0
abidump	0
abifportal	0
abigail	0
abilities	0
abill	0
abills	0
abinfo	0
abios-rtool	0
abiquo	0
abir	0
abirom	0
abiss	0
abisum	0
abits-fipa-mesg	0
abitsfipatools	0
abiword	0
abiwordftd	0
abj	0
abk	0
abkcodebeauty	0
abkey	0
abkit	0
abkorkuteditor	0
abl	0
abl2001	0
abl4glextension	0
ablauncher	0
ablazespace	0
abldap	0
ablog	0
abm	0
abmlocator	0
abmmanager-net	0
abms	0
abn	0
abnet	0
abnf2c	0
abnimm	0
abnorm	0
aboard	0
abook	0
abookkeep	0
abooo	0
aboot	0
abort	0
abot	0
about-server	0
aboutme	0
aboutosic	0
aboutyou	0
abp	0
abp2pbaby	0
abpchess	0
abplc5	0
abpm	0
abprolog	0
abps	0
abptools	0
abqs	0
abr	0
abra	0
abracats	0
abraham	0
abrain	0
abrams	0
abrasax	0
abrecorder	0
abreeze	0
abrick	0
abrowse	0
abruzzo-linux	0
abrviewer	0
abs	0
abs-ro	0
absboat	0
abscnc	0
abscommander	0
absear	0
abseep	0
absencecalc	0
absencesmanager	0
absf	0
absim	0
absinth	0
absinth-chat	0
absinthe	0
absk	0
absolut-library	0
absolut-xtranet	0
absolute	0
absolute-linux	0
absolutefreedom	0
absolutemeeting	0
absolutengine	0
absoluteptran	0
absoluteurl	0
absolutevirtue	0
absolutewar	0
absolutex	0
absolver	0
absolvia	0
absorbx	0
abspra	0
absretail	0
absschoolessman	0
absstrata	0
abstract	0
abstractadonet	0
abstractalgebra	0
abstractalm	0
abstractcache	0
abstractcall	0
abstractdb-php	0
abstractdbnet	0
abstraction	0
abstractminds	0
abstractmodeler	0
abstractoffice	0
abstractplugin	0
abstractrecords	0
abstrivia	0
abstromatic	0
absync	0
absynch	0
absynth	0
absynth-ftp	0
abt-oz	0
abtchat	0
abtlinux	0
abtomutt	0
abtools	0
abtrack	0
abu	0
abubalay-rts	0
abugraph	0
abuild	0
abulafia	0
aburatan	0
aburrido	0
abuse2	0
abuseemail	0
abusenetstreamr	0
abvclient	0
abw	0
abwows	0
abx	0
abydos	0
abyle	0
abysmal	0
abyss	0
abyss-system	0
abyssstudio	0
ac-software	0
ac2memomaster	0
ac3d	0
ac3encode	0
ac4ngos	0
acacia	0
acaclick	0
acad	0
acad-genealogy	0
acadehelp	0
academia	0
academic-board	0
academic-games	0
academic-web	0
academicaidscho	0
academicappoint	0
academiccrm	0
academicedge	0
academicgroupsm	0
academicsource	0
academictalk	0
academy	0
acadex	0
acadidropwebpg	0
acadmap2pgsql	0
acadnuke	0
acafe	0
acago	0
acai	0
acal	0
acalproj	0
acami	0
acap-val-parser	0
acapd	0
acara	0
acarsdec	0
acarsxx	0
acaschedulecode	0
acasha	0
acassist	0
acb	0
acbic	0
acbr	0
acbuild	0
acc	0
acc-attack	0
acc-vip-iop	0
accada	0
accada-ale	0
accada-epcis	0
accada-hal	0
accada-reader	0
accada-tdt	0
accadict	0
accat	0
accc	0
accdatatable	0
accedit	0
acceditor	0
accel	0
accel-fb	0
accel-pptp	0
accela	0
acceldirection	0
acceleratedcc	0
acceleratedwinx	0
acceleration	0
accelerator	0
accelerator-ml	0
accelerator3d	0
accelerobeta	0
accell4d	0
accentplugin	0
acceptance	0
accesctr	0
access-svn	0
access2psql	0
access2sql	0
accesscontrol	0
accessdb	0
accessdbf	0
accessgrid	0
accessibility	0
accesslib	0
accesslos	0
