#  file: sfRawTracker2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseStats60.pl
#
#  ===IMPORTANT===
#  This particular file includes tracker data for each project. This info 
#  is summed based on the daily tracker data for the previous 60 days.
#  ===============
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  The SQL used to generate this data is as follows:
#
#  SELECT  proj_unixname, sum(tracker_opened), sum(tracker_closed)
#  FROM project_statistics_60 
#  WHERE datasource_id=172  
#  GROUP BY proj_unixname
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  tracker opened: the sum of all opened tracker items for this 60-day period 
#  tracker closed: the sum of all closed tracker items for this 60-day period
proj_unixname	sum(tracker_opened)	sum(tracker_closed)
a-a-p	0	0
a-accessvnm	0	0
a-ads-xml	0	0
a-aio	0	0
a-blog	0	0
a-bot	0	0
a-chat	0	0
a-f	0	0
a-gen	0	0
a-helper	0	0
a-k-i-r-a	0	0
a-league-t	0	0
a-lemmings	0	0
a-lms	0	0
a-m-s	0	0
a-monolit	0	0
a-muse	0	0
a-muse-3d	0	0
a-muse-d	0	0
a-not-bc	0	0
a-note	0	0
a-one	0	0
a-overhoor	0	0
a-plus	0	0
a-r-a-p	0	0
a-r-e-a	0	0
a-renet	0	0
a-rpg	0	0
a-s-k	0	0
a-s-m	0	0
a-s-t	0	0
a-shop	0	0
a-writer	0	0
a1kbms	0	0
a1s22	0	0
a1sfeathers	0	0
a1wiretempcontr	0	0
a247dialer	0	0
a2bastetc	0	0
a2bformat	0	0
a2billing	0	0
a2bitblog	0	0
a2c	0	0
a2d	0	0
a2dp-python	0	0
a2dtestrpg	0	0
a2gameserver	1	0
a2h2	0	0
a2ixlibrary	0	0
a2j	0	0
a2kmp	0	0
a2l	0	0
a2lib	0	0
a2open	0	0
a2p2	0	0
a2pix	0	0
a2png	0	0
a2speedholder	0	0
a2x	0	0
a2z	0	0
a340gc	0	0
a3b	0	0
a3dge	0	0
a3dx	0	0
a3x-3d-engine	0	0
a4codegen	0	0
a4e5	0	0
a4fighter	0	0
a4j	NULL	NULL
a4java	NULL	NULL
a4l	0	0
a4xmessage	0	0
a5000	0	0
a52source	0	0
a5wear	0	0
a6d4	0	0
a6driver	0	0
a6fw	0	0
a760	0	0
a78tools	0	0
a7xpg	0	0
a8e	0	0
a8e-dev	0	0
a9text	0	0
a9w3	0	0
aa-plugins	0	0
aa-project	0	0
aa25deploy	0	0
aa33code	0	0
aa3d	0	0
aaa	0	0
aaa-nameless	0	0
aaa4avalon	0	0
aaaaaaaaaa	0	0
aaaadmin	0	0
aaaconta	0	0
aaaeditor	0	0
aaapage	0	0
aaarf	0	0
aaasoai	0	0
aaatranstest	0	0
aab	0	0
aabha	0	0
aabrowse	0	0
aabsdbc	0	0
aabsnorm	0	0
aac4ds	0	0
aaccountmon	0	0
aacheatscan	0	0
aaclock	0	0
aacms	0	0
aacplayer	0	0
aacplugin	0	0
aacraid-22	0	0
aactsi	0	0
aadataminer	0	0
aadext	0	0
aadit	0	0
aadl2xml	0	0
aadml	0	0
aadms	0	0
aae	0	0
aaec-2000	0	0
aaf	0	0
aaf-edit-pack	0	0
aafftannarborfa	0	0
aaforum	0	0
aafreet	0	0
aaftx	0	0
aafw	0	0
aagam	0	0
aagaming	0	0
aageotag	0	0
aai-portal	0	0
aaid	0	0
aaini	0	0
aaio	0	0
aajax	0	0
aakruthi	0	0
aalan	0	0
aaleprojects	0	0
aalib	0	0
aalib-perl	0	0
aalog	0	0
aaloha	0	0
aam	0	0
aam6000ug	0	0
aamarok	0	0
aambuilder	0	0
aambuilding	0	0
aameditor	0	0
aamfetch	0	0
aami	0	0
aamirplayer	0	0
aamon	0	0
aamp	1	1
aams	0	0
aamt3dgame	0	0
aaniharava	0	0
aanipelit	0	0
aanthill	0	0
aanval	0	0
aaoo	0	0
aap	0	0
aap-ugr	0	0
aapbem	0	0
aapbss	0	0
aapd	0	0
aapdep	0	0
aaphpbb	0	0
aapje	0	0
aapp	0	0
aappt	0	0
aaps	0	0
aarchitect	0	0
aardbuilder	0	0
aardvark	0	0
aardvarkcms	0	0
aardvarkjava	0	0
aardvarktool	0	0
aareport	0	0
aarmed	0	0
aaron	0	0
aarpg	0	0
aart	0	0
aarton	0	0
aartsprojetia	0	0
aas	0	0
aasc	0	0
aase	3	0
aasecurity	0	0
aasgard	0	0
aasmot	0	0
aaspring-transl	0	0
aast	0	0
aat	0	0
aatcalendario	0	0
aatools	0	0
aatopendcd	0	0
aatrade	0	0
aatraders	0	0
aatv	0	0
aauadvprog	0	0
aav	0	0
aavalanche	0	0
aaventures	0	0
aaviewer	0	0
aavso-vsr	0	0
aawa	0	0
aawebgui	0	0
aaxed	0	0
ab-conv	0	0
ab-toolbox	0	0
ab2foaf	0	0
ab2phpnuke	0	0
aba	0	0
aba-curling	0	0
abaci	0	0
abackgammon	0	0
abackup	0	0
abackupservice	0	0
abaco	0	0
abacom	0	0
abacs	0	0
abacus	0	0
abacusappgen	0	0
abacuscm	0	0
abacuses	0	0
abacusvm	0	0
abaguibuilder	0	0
abahelpers	NULL	NULL
abakus	0	0
abamaxa	0	0
abandonedlands	0	0
abanq	0	0
abanqpv	0	0
abaque	0	0
abarbozateste	0	0
abase	0	0
abashe	0	0
abashtoolbox	0	0
abasinfosystemw	0	0
abat	0	0
abatarmailer	0	0
abatools	0	0
abatornet	0	0
abax	0	0
abbackup	0	0
abbey	0	0
abbot	0	0
abbotforswt	4	0
abbott	0	0
abbruch	NULL	NULL
abbtexrep	0	0
abc	NULL	NULL
abc-123	NULL	NULL
abc-elp	0	0
abc-shell	0	0
abc-unix	NULL	NULL
abc2php	0	0
abcb	0	0
abcclassifieds	0	0
abccreator	0	0
abcdiary	0	0
abcdoppelganger	0	0
abcdp	0	0
abcgrid	0	0
abchr	0	0
abci	0	0
abcl	0	0
abcl-web	0	0
abclinux	0	0
abcmr	0	0
abcmusiex	0	0
abco	0	0
abcommerce	0	0
abconfig	0	0
abcp	0	0
abcpaint	0	0
abcpeter	0	0
abcphp	0	0
abcplus	0	0
abcremotedotnet	0	0
abcrypt	0	0
abcsync	0	0
abcwebclient	0	0
abd	0	0
abdb	0	0
abdbcommerce	0	0
abdcalendar	0	0
abdf1	0	0
abdict	0	0
abducted-irc	0	0
abdymok	0	0
abeam	0	0
abecedarian	0	0
abegroup	0	0
abelard	0	0
abelcrm	0	0
abele	0	0
abelliaam	0	0
abelo	0	0
aben	0	0
abendasphpframe	0	0
abercrombiefile	0	0
aberdeen	0	0
aberpubchooser	0	0
aberquest	0	0
abes	0	0
abesoft	0	0
abethernet	0	0
abettor	0	0
abfallkalender	0	0
abfm	0	0
abgdhowz	0	0
abgraph	0	0
abhijna	0	0
abhmanager	0	0
abhyaas	0	0
abi	0	0
abi2006	0	0
abi2xml	0	0
abia	0	0
abiblia	0	0
abicheck	0	0
abicloud	0	0
abidump	0	0
abifportal	0	0
abigail	0	0
abilities	0	0
abill	0	0
abills	0	0
abinfo	0	0
abios-rtool	0	0
abiquo	0	0
abir	0	0
abirom	0	0
abiss	0	0
abisum	0	0
abits-fipa-mesg	0	0
abitsfipatools	0	0
abiword	0	0
abiwordftd	0	0
abj	0	0
abk	0	0
abkcodebeauty	0	0
abkey	0	0
abkit	0	0
abkorkuteditor	0	0
abl	0	0
abl2001	0	0
abl4glextension	0	0
ablauncher	0	0
ablazespace	0	0
abldap	0	0
ablog	0	0
abm	0	0
abmlocator	0	0
abmmanager-net	0	0
abms	0	0
abn	0	0
abnet	0	0
abnf2c	0	0
abnimm	0	0
abnorm	0	0
aboard	0	0
abook	0	0
abookkeep	0	0
abooo	0	0
aboot	0	0
abort	0	0
abot	0	0
about-server	0	0
aboutme	0	0
aboutosic	0	0
aboutyou	0	0
abp	0	0
abp2pbaby	0	0
abpchess	0	0
abplc5	0	0
abpm	0	0
abprolog	0	0
abps	0	0
abptools	0	0
abqs	0	0
abr	0	0
abra	0	0
abracats	0	0
abraham	0	0
abrain	0	0
abrams	0	0
abrasax	0	0
abrecorder	0	0
abreeze	0	0
abrick	0	0
abrowse	0	0
abruzzo-linux	0	0
abrviewer	0	0
abs	0	0
abs-ro	0	0
absboat	0	0
abscnc	0	0
abscommander	0	0
absear	0	0
abseep	0	0
absencecalc	0	0
absencesmanager	0	0
absf	0	0
absim	0	0
absinth	0	0
absinth-chat	0	0
absinthe	0	0
absk	0	0
absolut-library	0	0
absolut-xtranet	0	0
absolute	0	0
absolute-linux	0	0
absolutefreedom	0	0
absolutemeeting	0	0
absolutengine	0	0
absoluteptran	0	0
absoluteurl	0	0
absolutevirtue	0	0
absolutewar	0	0
absolutex	0	0
absolver	0	0
absolvia	0	0
absorbx	0	0
abspra	0	0
absretail	0	0
absschoolessman	0	0
absstrata	0	0
abstract	0	0
abstractadonet	0	0
abstractalgebra	0	0
abstractalm	0	0
abstractcache	0	0
abstractcall	0	0
abstractdb-php	0	0
abstractdbnet	0	0
abstraction	0	0
abstractminds	0	0
abstractmodeler	0	0
abstractoffice	0	0
abstractplugin	0	0
